Term,C-Code
Brain,C12439
Digestive System,C12378
Pancreas,C12393
Prostate,C12410
Male Reproductive System,C12722
Bladder,C12414
Female Reproductive System,C12402
Acute Myeloid Leukemia,C3171
Anus,C43362
Biliary Tract,C12678
Breast,C12971
Cervical,C12844
Chronic Lymphocytic Leukemia,C3163
Chronic Myelogenous Leukemia,C3174
Colorectal,C13363
Endometrial,C13322
Esophageal,C37950
Head and Neck,C12418
Liver,C12392
Lung and Bronchus,C12283
Melanoma,C3224
Plasma Cell Myeloma,C3242
Non-Hodgkin Lymphoma,C3211
Endocrine System,C12705
Hematologic,C62780
Lymphoma,C3208
Musculoskeletal,C25348
Ovarian,C28047
Renal Pelvis,C12887
Renal,C25225
Small Intestine,C12386
Soft Tissue,C12471
Stomach,C12391
Recurrent,C14173
Stage 0,C28051
Stage 1,C27966
Stage 2,C28054
Stage 3,C27970
Stage 4,C27971
Advanced,C25411
Localized,C14146
Metastatic,C14174
Metastatic Malignant Neoplasm in the Bone,C3580
Refractory,C38014
Unknown,C17998
Colon,C12382
Rectal,C25224
Adenocarcinoma,C2852
Clear Cell,C12478
Epithelioid Cell,C12559
Glioblastoma,C3058
Glioma,C3059
Malignant Mixed Mesodermal (Mullerian) Tumor,C8975
Carcinosarcoma,C34448
Small Cell,C12488
Bladder Small Cell Neuroendocrine Carcinoma,C9461
Squamous Cell,C12849
Transitional Cell,C12866
Cancer Treatment Trial,C16096
Cancer Prevention Trial,C15790
Age,C25150
Gleason Score 6,C28090
Gleason Score 7,C28091
Gleason Score 8,C28092
Gleason Score 9,C28093
Gleason Score 3,C28096
High Grade,C14158
Low Grade,C14161
Gleason Score 4,C28097
Tennessee,C43476
Canada,C16380
Michigan,C43481
Washington,C43507
Ohio,C43482
New York,C43468
California,C43509
National Institutes of Health,C16895
Maryland,C43471
Pennsylvania,C43469
Connecticut,C43466
Texas,C43498
Virginia,C43472
North carolina,C43474
Utah,C43502
New Jersey,C43467
United Kingdom,C17233
City of Hope Comprehensive Cancer Center,C39355
West Virginia,C43473
Delaware,C43470
District of Columbia,C108007
Maine,C43457
New Hampshire,C43460
Vermont,C43462
Rhode Island,C43464
Chimeric Antigen Receptor T-cells,C137999
Methionine,C29600
Selumetinib Sulfate,C95225
White Button Mushroom Extract,C78490
Immunotherapy,C15262
Gene Therapy,C15238
T-cell depletion therapy,C15699
Proton beam radiation therapy,C66897
Immunology,C18011
Anti-CD19 Monoclonal Antibody,C112889
KRAS gene mutation,C41361
Cryotherapy,C40030
Pembrolizumab,C106432
Cryosurgery,C15215
cryoablation,C61129
Irreversible electroporation,C131483
Radium Ra 223 Dichloride,C62535
Adjuvant Therapy,C15675
Zip Code,C25720
