Term,C code,
HIV Positivity,C15175,
AIDS ,C2851,
Immunocompromised  ,C14139,
highly active antiretroviral therapy (HAART),C94631,
CD4 Expressing Cell Count (CD4), C103810,
AIDS-Related Disorder , C4991,
Healthy ,C115935,
Hepatitis B Virus Postivie,C141405,
Hepatitis C Virus Positive,C129452,
Cytochrome P450 3A4 Inhibitor,C111373,
Cytochrome P450 3A4 Inducer ,C111374,
HIV Viral Load Measurement,C92544,
Hepatitis,C3095,
Hepatitis A Infection,C3096,
Zidovudine,C947,
Stavudine,C1428,
HIV-1 Load,C19554,
Erythropoietin,C20429,
Granulocyte Colony Stimulating Factor,C26078,
HIV Protease Inhibitor,C97366,
Treatment-sensitive HIV,No C code,
Cobicistat,C97360,
Prevention and Treatment of Opportunistic Infection ,C15840,
Diagnosis,C15220,
Unknown,C17998,
Therapeutic Corticosteroid,C211,
Sufficient,C63351,
Investigational Treatment,C142589,
Lower Limit of Normal,C25555,
Efavirenz,C29027,
AIDS Encephalopathy, C3715,
HAART Treatment Duration,No C code,
Opportunistic Infection,C3289,
Other Malignancy,No C code,
3-drugs-in-1 pill,No C code,
Non-nucleoside Reverse Transcriptase Inhibitor,C97453,
Combination Pills with Pharmacologic Boosters,No C code,
Ritonavir,C1609,
Acceptable,C63350,
Undetectable,C111568,
Adult T-Cell Leukemia/Lymphoma, C3184,
Abnormal Liver Function Test,C122516,
Cytochrome P450 2C19 Inducer,No C code,
Cytochrome P450 2C19 Inhibitor,No C code,
