Term,Code
Hemoglobin Measurement,C64848
Hemoglobin,C16676
Blood Transfusion,C15192
Hemoglobin A1C to Hemoglobin Ratio Measurement,C111207
Blood Glucose Measurement,C92744
Serum Glucose Measurement,C61027
Age-Years,C37908
Autoimmune Hemolytic Anemia,C34378
Idiopathic Thrombocytopenic Purpura,C3446
Hemorrhage,C26791
Hemoglobin Decreased,C80085
Glucose Measurement,C105585
Fasting Blood Sugar Measurement,C80400
Hemolysis,C37965
Glucose-6-Phosphate Dehydrogenase Deficiency,C98933
Pyruvate Kinase Deficiency ,C99037
Hemoglobinopathy ,C3092
Hereditary Spherocytosis ,C97074
Thalassemia C35069,C35069
Haptoglobin Protein Measurement ,C74740
Bone Marrow Involvement ,C8288
Solid Neoplasm ,C9292
Refractory Plasma Cell Myeloma ,C7024
Recurrent Plasma Cell Myeloma,C7025
Diabetes Mellitus,C2985
Past 2 Weeks,C126890
Within,C25282
Lower Limit of Normal,C25555
Anemia,C2869
