Term,Code
Zubrod Performance Status 0,C19998
Zubrod Performance Status 1,C19999
Zubrod Performance Status 2,C17846
Zubrod Performance Status 3,C17847
Zubrod Performance Status 4,C17848
Zubrod Performance Status 5,C20000
Zubrod Performance Status,C25400
Karnofsky Performance Status,C28013
Karnofsky Performance Status 0,C105720
Karnofsky Performance Status 10,C105718
Karnofsky Performance Status 20,C105716
Karnofsky Performance Status 30,C105715
Karnofsky Performance Status 40,C105714
Karnofsky Performance Status 50,C105713
Karnofsky Performance Status 60,C105712
Karnofsky Performance Status 70,C105711
Karnofsky Performance Status 80,C105710
Karnofsky Performance Status 90,C105709
Karnofsky Performance Status 100,C105707
Lansky Play-Performance Status,C38144
Lansky Performance Status 0,C70538
Lansky Performance Status 10,C70539
Lansky Performance Status 20,C70540
Lansky Performance Status 30,C70541
Lansky Performance Status 40,C70542
Lansky Performance Status 50,C69421
Lansky Performance Status 60,C69422
Lansky Performance Status 70,C69423
Lansky Performance Status 80,C69424
Lansky Performance Status 90,C69425
Lansky Performance Status 100,C69426
ECOG Performance Status 0,C105722
ECOG Performance Status 1,C105723
ECOG Performance Status 2,C105725
ECOG Performance Status 3,C105726
ECOG Performance Status 4,C105727
ECOG Performance Status 5,C105728
AGE,C25150
Physical Examination,C20989
Life Expectancy Greater than Six Months,C143160
Hospitalization,C25179
Life Expectancy of an Individual,C99547
History and Physical Exam,C135566
ECOG performance Status,C102408
KPS Scale - Karnofsky Performance Status ,C100417
Plasma Cell Myeloma ,C3242
Central Nervous System Lymphoma , C9301
