nci_id,nct_id,official_title,inclusion_indicaInclusionor,description,NCIT
NCI-2014-01497,NCT02270450,Prospective Comparative Effectiveness Trial for Malignant Bowel Obstruction,Inclusion,"Patients must be registered to the study within 3 days after being seen by surgical team for MBO or within 3 days after completion of indicated treatment (e.g. total parenteral nutrition [TPN], anticoagulation reversal) to make them eligible for surgical intervention, whichever is later, and prior to any treatment (surgical or non-surgical) for MBO; treatment is defined as any medication or invasive interventions beyond nasogastric decompression, hydration, pain medications or antiemetic medications; NOTE: somatostatin analogues may be used prior to registration if that use is limited to not more than the two days just prior to registration",N/A
NCI-2014-02559,NCT01885455,"Improving Resection Rates Among African Americans with NSCLC (""Southern Lung Cancer Study"")",Exclusion,Status post-surgical resection or definitive radiotherapy for recently diagnosed clinically suspicious or biopsy-proven early stage NSCLC,(C16169 = NO OR (C16169 = YES AND C2926 = NO)) AND (C15477= NO OR (C15477= YES AND C2926 = NO))
NCI-2015-00128,NCT02488967,A Randomized Phase III Trial of Adjuvant Therapy Comparing Doxorubicin plus Cyclophosphamide Followed by Weekly Paclitaxel with or without Carboplatin for Node-Positive or High-Risk Node-Negative Triple-Negative Invasive Breast Cancer,Exclusion,"EXCLUSION
Chemotherapy administered for the currently diagnosed breast cancer prior to randomization
Previous therapy with anthracyclines or taxanes for any malignancy
INCLUSION
The interval between the last surgery for breast cancer (including re-excision of margins) and randomization must be no more than 60 days
The patient must have undergone either a mastectomy (total, skin-sparing, or nipple-sparing) or lumpectomy",(C16171 = NO OR (C16171 = YES AND PRIOR TREATMENT OF CURRENT CANCER = NO) AND C16169 = YES AND C15451 = NO AND (C16124 = YES AND C149 = NO)
NCI-2016-01844,,A Phase I Study of Tailmogene Laheparepvec (Talimogene Laherparepvec) with Neoadjuvant Chemotherapy and Radiation in Adenocarcinoma of the Rectum,Exclusion,"Patients with a major surgical procedure, open biopsy, or significant traumatic injury within 28 days prior to initiation of therapy, or anticipation of need for major surgical procedure during the course of the study other than that defined by protocol are ineligible
Patients with evidence of clinically significant immunosuppression such as the following are ineligible:
* Receiving systemic immunosuppressive therapy (> 2 weeks) including oral steroid doses > 10 mg/day of prednisone or equivalent within 2 months prior to enrollment
Patients who have not recovered from adverse events due to prior anti-cancer therapy (i.e., have residual toxicities > grade 1) except alopecia are ineligible",C16124 = NO OR C16124 = YES
NCI-2017-00178,NCT03067181,A Phase 3 Study of Active Surveillance for Low Risk and a Randomized Trial of Carboplatin vs. Cisplatin for Standard Risk Pediatric and Adult Patients with Germ Cell Tumors,Exclusion/INCLUSION,"EXCLUSION
Patients must have had no prior radiation therapy with the exception of CNS irradiation of brain metastases; (this exception only applies to SR1 patients; any patients over age 11 with distant metastases to brain [stage IV disease] would be considered poor risk and therefore not eligible for this trial)
Patients must have had no prior systemic therapy
INCLUSION
Has experienced prior or ongoing hearing impairment due to chemotherapy or radiotherapy as defined by one of the following: 
* Society of Pediatric Oncology (SIOP) grade 1 hearing loss
* Subjective (patient-reported) hearing difficulties
* Subjective (patient-reported) tinnitus
Has received prior cisplatin- or carboplatin-based chemotherapy regimen for malignancy including diagnoses other than germ cell tumor",(C15477= NO OR C15477= YES AND C3813 = YES) AND (C16124 = YES AND C15698 = NO) AND (C16171 = NO OR (C16171 = YES AND (C376 = YES OR C1282 = YES)))
NCI-2009-00336,NCT00392327,Efficacy of Carboplatin Administered Concomitantly with Radiation and Isotretinoin as a Pro-apoptotic Agent in Other than Average Risk Medulloblastoma/PNET Patients,Inclusion,No previous chemotherapy or radiation therapy,C16171 = NO AND C15477= NO
NCI-2009-00470,NCT00632853,Phase III Comparison of Thoracic Radiotherapy Regimens in Patients with Limited Small Cell Lung Cancer Also Receiving Cisplatin or Carboplatin and Etoposide,Inclusion,"Patients with complete surgical resection of disease are not eligible
No prior radiotherapy or chemotherapy (except for the chemotherapy described in the bullet above) for small cell lung cancer (SCLC)
Patients may have received one and only one cycle of chemotherapy prior to enrolling on Cancer and Leukemia Group B (CALGB) 30610, which must have included carboplatin or cisplatin and etoposide; if a patient has had one cycle of cisplatin (or carboplatin)/etoposide prior to registration, the patient must have had all of the prior to registration tests prior to starting their first cycle of chemotherapy; additionally, these patients also must have met all of the eligibility criteria prior to receiving the first cycle of chemotherapy; registration to CALGB 30610 must take place within 7-21 days after the start of the non-protocol therapy; failing to do all of the above will make the patient NOT eligible for CALGB 30610
No prior mediastinal or thoracic radiotherapy",(C16171 = NO OR C16171 = YES) AND (C15477= NO OR (C15477= YES AND C12748 = NO AND C12799 = NO)) AND C16169 = NO
NCI-2009-00595,NCT00719303,"Can Diet and Physical Activity Modulate Ovarian, Fallopian Tube and Primary Peritoneal Cancer Progression-Free Survival?",Exclusion/Inclusion,"Exclusion:
Patients who are currently undergoing treatment (primary or consolidation) for stage II, III or IV ovarian, fallopian tube or primary peritoneal cancer or who completed treatment less than six weeks ago
Inclusion:
Patients must have completed all primary chemotherapy and consolidation therapy (if administered) at least 6 weeks, and no more than 6 months and 2 weeks, prior to enrollment and must be in complete remission; consolidation therapy is defined as any chemotherapy or biological therapy used for a patient who has completed at least four courses of primary chemotherapy and had documented complete remission prior to initiation of such chemotherapy (chemo) or biological therapy",C16171 = YES AND C4870 = YES
NCI-2009-00603,NCT00492778,A Randomized Trial of Pelvic Irradiation with or without Concurrent Weekly Cisplatin in Patients with Pelvic-Only Recurrence of Carcinoma of the Uterine Corpus,Exclusion/Inclusion,"Exclusion: 
Patients who have received previous vaginal, pelvic, or abdominal irradiation
Patients who received chemotherapy directed at the present recurrence
Patients who have undergone complete surgical resection of the recurrent tumor and have no evidence of residual disease evaluable clinically and by CT or MRI imaging, following resection
Inclusion: 
Primary surgical debulking before protocol therapy is permissible; this would include removal of gross symptomatic disease in the pelvis and/or vagina
* Exenterative surgery is not permissible; patients with complete resection of gross recurrent disease are eligible
All patients must have undergone complete hysterectomy and bilateral salpingo-oophorectomy at the time of original therapy for their uterine carcinoma
Patients may have received prior hormone therapy and/or systemic chemotherapy; such therapy must have been completed at least 6 months prior to study entry and the patient has clear evidence of disease subsequent to such therapy; patients must not have received neoadjuvant chemotherapy for the present recurrent disease",(C16171 = YES OR ((C15477= NO OR (C15477= YES AND C12407 = NO AND C12767 = NO AND C12664 = NO)) AND (C16169 = NO OR  (C16169 = YES AND C91837 = NO) OR (C16175 = YES)
NCI-2009-00817,NCT00001337,Dose-Adjusted EPOCH Chemotherapy and Rituximab (Cd20+) in Adults and Children with Previously Untreated Aggressive Non-Hodgkin's Lymphoma,Inclusion,"No prior systemic chemotherapy; patients may be entered if they have had prior limited-field radiotherapy, a short course of glucocorticoids and/or cyclophosphamide for an urgent problem at diagnosis (e.g. epidural cord compression, superior vena cava syndrome)",C16171 = NO AND (C15477= NO OR (C15477= YES AND C54225 = YES)) 
