"","Blank 1","Frequency","Blank 2","Frequency"
"25","",7,"1a endometrioid adenocarcinoma of the uterus                                                                                                                                                                                                       ",1
"14","patients with",4,"t1a prostate cancer or carcinoma in situ of the uterine cervix or a urothelial carcinoma of the upper urinary tract stage pta ptis or pt1 that has not been free of disease after treatment for more than a 2 year period                                                                                                                                                            ",1
"39","for",4,"iv disease patients with multifocal multicentric and synchronous bilateral and primary inflammatory breast cancers are allowed multifocal disease is defined as more than one invasive cancer < 2 cm from the largest lesion within the same breast quadrant multicentric disease is defined as more than one invasive cancer > = 2 cm from the largest lesion within the same breast quadrant or more than one lesion in different quadrants synchronous bilateral disease is defined as invasive breast cancer with positive lymph nodes axillary or intramammary in at least one breast diagnosed within 30 days of each other note the tumor with the highest recurrence score should be used                                                                                                                  ",1
"21","patients who are treatment naï ve high risk",2,"1 grade 1 endometrial carcinoma other solid tumors and lymphomas without bone marrow involvement diagnosed > = 5 years prior to randomization and treated with no evidence of disease recurrence and for whom no more than one line of chemotherapy was applied                                                                                                                                                              ",1
"47","patients must have unresectable",2,"i iii endocrine responsive i . e . estrogen and / or progesterone receptor positive according to local definition of positive determined using immunohistochemistry ihc and treated with curative intent note patients with synchronous bilateral invasive breast cancer diagnosed histologically within 2 months are eligible patient with invasive breast cancer or synchronous bilateral invasive breast cancer diagnosed histologically within 2 months during pregnancy are eligible patients with breast cancer 1 / 2 early onset brca1 / 2 mutations are eligible patients could have received neo / adjuvant chemotherapy or other systemic therapy e . g . neo / adjuvant human epidermal growth factor receptor 2 her2 targeted therapy according to institutional policy and patientï s desire                                                                                                   ",1
"75","low risk",2,"o and does not require systemic treatment for ï bï symptoms richterï s transformation lymphocyte doubling time < 6 months lymphadenopathy or hepatosplenomegaly lymphoma of any type of hairy cell leukemia provided patient is not on active systemic treatment and is in complete remission as evidenced by pet / ct scans and bone marrow biopsies for at least 3 months history of malignancy provided that patient has completed therapy and is free of disease for > = 2 years if patient had other malignancy within the last 2 years from which he may have been completely cured by surgery alone he may be considered to be enrolled on condition that the risk of development of distant metastatic disease based on american joint committee on cancer ajcc staging system is less than 30                               ",1
"1","patients may not have a history of other invasive malignancies within the last five years with the exception of non melanoma skin cancer or",1,"prior to therapy or pathologic stage at surgery if patient is eligible based on either they are eligible for the study bilateral breast carcinoma is allowed provided either diagnoses are synchronous ï that is within 3 months of one another ï and at least one of the two breast carcinomas meet the eligibility criteria and neither is her 2 positive or inflammatory or the contralateral breast cancer was at least 5 years prior to the current diagnosis no evidence of metastatic disease                                                            ",1
"2","a prior or concurrent malignancy of any other site or histology unless the patient has been disease free for > = 5 years except for non melanoma skin cancer and / or",1,"ta bladder cancer unless disease free for a minimum of 2 years                                                                                                                                                                                                           ",1
"3","patients must not have metastatic breast cancer",1,"ii iii or iv at diagnosis                                                                                                                                                                                                               ",1
"4","patients with second primary malignancy exceptions are adequately treated non melanoma skin cancer curatively treated in situ cancer of the cervix ductal carcinoma in situ dcis of the breast",1,"i epithelial ovarian cancer fallopian tube or primary peritoneal carcinoma                                                                                                                                                                                                                    ",1
"5","breast cancer for which patient is receiving endocrine therapy must have been histologically proven",1,"ii iii or iv ovarian fallopian tube or primary peritoneal cancer or who completed treatment less than six weeks ago                                                                                                                                                                                                       ",1
"6","history of prior malignancy with the exception of the following non melanoma skin cancers non invasive bladder cancer and carcinoma in situ of the cervix prostate cancer not under active systemic treatment other than hormonal therapy and with documented undetectable prostate specific antigen psa < 0 . 2 ng / ml chronic lymphocytic leukemia cll / small lymphocytic lymphoma sll provided patient has isolated lymphocytosis rai",1,"t1 or a high grade stage ta urothelial carcinoma without hydronephrosis patients who have involvement of the prostatic urethra with urothelial carcinoma and have no evidence of stromal invasion of the prostate remain eligible if the patientï s initial tumor was a high grade stage ta urothelial carcinoma then his / her recurrent tumor must be a high grade stage t1 urothelial carcinoma to be eligible                                                                                                                           ",1
"7","subjects must have histologically confirmed invasive breast cancer and registration must occur within 12 months after the first histologic diagnosis of invasive breast cancer a core biopsy interpreted as invasive cancer meets this criterion if no core biopsy is performed the date of first histologic diagnosis will be the date of first surgical procedure that identifies invasive cancer biopsy lumpectomy or mastectomy neoadjuvant subjects should have no evidence of clinical t4 disease prior to chemotherapy and surgery eligibility for neoadjuvant patients can be defined by either clinical",1,"i pfh and will not be receiving chemotherapy                                                                                                                                                                                                                  ",1
"8","prior invasive malignancy except non melanomatous skin cancer or other in situ malignancies or",1,"i or ii disease who do not have specimens submitted for rapid central pathology review by day 14 after initial surgical resection                                                                                                                                                                                                             ",1
"9","patients with a histological diagnosis of epithelial ovarian cancer fallopian tube or primary peritoneal carcinoma clinical",1,"i disease who have not undergone a staging procedure                                                                                                                                                                                                                         ",1
"10","patients with a histological diagnosis of clinical",1,"ii iii or iv disease with optimal = < 1 cm residual disease or suboptimal residual disease all patients must have a procedure for determining diagnosis of epithelial ovarian fallopian tube primary peritoneal with appropriate tissue for histologic evaluation the minimum surgery required is an abdominal surgery providing tissue for histologic evaluation and establishing and documenting the primary site and stage as well as a maximal effort at tumor debulking if additional surgery was performed it should have been in accordance with appropriate surgery for ovarian or peritoneal carcinoma described in the gynecologic oncology group gog surgical procedures manual                                                                                                                        ",1
"11","patients who are currently undergoing treatment primary or consolidation for",1,"i or ii disease by ann arbor classification this staging excludes fludeoxyglucose f 18 fdg pet evaluation patients who have stage i or ii non bulky disease based on diagnostic ct scan but are upstaged to stage iii or iv based on fdg pet evaluation are also eligible stage and bulk are assigned using measurements obtained prior to biopsy                                                                                                                                                                     ",1
"12","pathologically proven diagnosis of carcinoma of the bladder within 105 days prior to registration operable patients whose initial tumor is a primary high grade urothelial carcinoma of the bladder exhibiting histologic evidence of invasion into the lamina propria disease clinical",1,"ia1 disease who are lvsi negative                                                                                                                                                                                                                             ",1
"13","organ function requirements are not required for enrolled patients who are",1,"ib1 with tumor size maximum visible or palpable > = 2 cm                                                                                                                                                                                                                       ",1
"15","patients with apparent",1,"ib2 disease                                                                                                                                                                                                                               ",1
"16","diagnosis of ovarian epithelial fallopian tube or primary peritoneal carcinoma",1,"iva / ivb all other sites and histologically proven squamous cell carcinoma of the head and neck scchn with no definitive evidence of metastatic disease excluding patients with oropharynx human papillomavirus hpv positive tumors in summary those patients eligible are newly diagnosed and treatment naive stage iva b squamous cell carcinoma other than oropharyngeal cancer opc or oropharyngeal cancer opc hpv negative stage iva b                                                                                                                                                            ",1
"17","patients must have non bulky",1,"iva / ivb all other sites histologically proven scchn with no definitive evidence of metastatic disease in summary those patients eligible are stage iva b scchn other than opc or opc hpv negative iva b or opc hpv positive with greater than 10 pack year smoking history and n2b n3 disease                                                                                                                                                                          ",1
