"","Blank 1","Frequency","Blank 2","Frequency"
"20","shortening fraction of",13,"27 by echocardiogram or                                                                                                         ",4
"5","lvef",8,"institutional lower limit of normal lln by echocardiogram echo or multi gated acquisition scan muga                                                                                                ",3
"10","lvef lvef",8,"27 by echocardiogram or ejection fraction of > = 50 by radionuclide angiogram                                                                                                ",3
"26","ejection fraction of",6,"50                                                                                                          ",3
"1","ejection fraction",2,"27 by echocardiogram or ejection fraction of > = 50 by gated radionuclide study                                                         ",3
"2","cardiac ejection fraction",2,"50 by radionuclide angiogram or echocardiogram                                                                                                       ",3
"9","patients must have a lvef lvef",2,"institutional lower limit of normal lln by echocardiogram echo                                                                                                      ",3
"3","patients must have a cardiac ejection fraction",1,"45                                                                                         ",2
"4","cardiac function normal ejection fraction",1,"27 by echocardiogram                                                                                                           ",2
"7","patients must have a lvef",1,"50 by radionuclide angiogram                                                                                                         ",2
"12","lvef lvef assessment must be performed within 90 days prior to randomization lvef assessment performed by 2 dimensional d echocardiogram is preferred however multi gated acquisition muga scan may be substituted based on institutional preferences the lvef must be",1,"47 by radionuclide angiogram multi gated acquisition scan muga note the echocardiogram or muga may be done within 28 days prior to enrollment                                                                                       ",1
"13","new york heart association class i or less ordinary physical activity does not cause undue fatigue palpitations dyspnea or angina pain patients 60 years or older must have a lvef lvef at rest",1,"45 or within institutional normal limits a nuclear medicine gated blood pool examination is preferred a two dimensional 2 d echocardiogram echo scan is acceptable if a calculated ejection fraction is obtained and follow up measurement of the cardiac ejection fraction will also be performed by echocardiography measurement of cardiac ejection fraction should be within two weeks prior to receiving treatment note when a multi gated acquisition scan muga or echocardiogram cannot be obtained due to weekend or holiday then patients may be enrolled provided there is no history of significant cardiovascular disease and a measurement of cardiac ejection fraction will be performed within 5 days of study enrollment",1
"14","lvef of",1,"institutional lower limit of normal illn by multi gated acquisition muga scan or 2 dimensional d echocardiogram echo within 42 days prior to registration                                                                                 ",1
"16","clinical / laboratory criteria patients must have a lvef lvef",1,"55 documented by either echocardiogram or radionuclide multi gated acquisition scan muga evaluation or normal fractional shortening > = 27 documented by echocardiogram                                                                                    ",1
"17","patients must have an echocardiogram echo or multigated acquisition muga scan within 42 days prior to registration with a cardiac ejection fraction",1,"lower limit of normal by echocardiogram echo or multigated acquisition scan muga                                                                                               ",1
"18","shortening fraction",1,"institutional lower limit of normal illn by echocardiogram echo or multi gated acquisition scan muga within 28 days prior to registration                                                                                     ",1
"19","patients must have a cardiac ejection fraction of",1,"40 as assessed by echocardiogram or multi gated acquisition scan muga                                                                                                   ",1
"24","normal baseline cardiac ejection fraction",1,"50 by either multigated acquisition muga or 2 dimensional 2 d echocardiogram within 28 days of registration                                                                                         ",1
"27","patient must have a normal cardiac ejection fraction by pretreatment multigated acquisition scan muga or echocardiogram within 4 weeks prior to registration resting ejection fraction",1,"50 regardless of the cardiac imaging facility s lower limit of normal                                                             ",1
"30","patients must have ejection fraction",1,"40 measured by echocardiogram or multi gated acquisition muga                                                                      ",1
"31","patients with a history of congestive heart failure chf or are at risk because of underlying cardiovascular disease or exposure to cardiotoxic drugs must have adequate cardiac function as clinically indicated corrected qtc qtc = < 480 msec shortening fraction of",1,"50 on baseline echocardiography or multi gated acquisition muga scan                                                                                                    ",1
"36","normal ejection fraction echocardiogram echo",1,"50 by 2 dimensional 2d echocardiogram echo or multigated acquisition muga scan timeline within 4 weeks prior to enrollment                                                                                           ",1
"42","recurrent / progressive dipg stratum 1 cardiac function lvef",1,"institutional lower limit of normal illn by echocardiography echo or multi gated acquisition scan muga within 42 days prior to registration                                                                                 ",1
"43","non progressed dipg stratum 2 lvef",1,"40 or within institutional normal limits a nuclear medicine gated blood pool examination is preferred a 2 d echo scan is acceptable if a calculated ejection fraction is obtained and follow up measurement of the cardiac ejection fraction will also be performed by echocardiography measurement of cardiac ejection fraction should be within two weeks prior to allogeneic transplantation                                              ",1
"49","pediatric patients normal left ventricular function with ejection fraction",1,"50 as determined by screening echocardiogram                                                                                                       ",1
"52","systolic cardiac function will be assessed at screening if clinically indicated by history and physical only patients with lvef lvef",1,"27 by echocardiogram echo or                                                                                                        ",1
"54","patients must have lvef lvef",1,"50 by echo or gated radionuclide study                                                                                                       ",1
"56","patient must have a lvef",1,"40 or > = 5 increase with exercise shortening fraction by echocardiogram > = 24 or to within the normal range of values for the institution                                                             ",1
"61","left ventricular",1,"45 based on echocardiogram performed within 28 days prior to registration                                                                                                ",1
"6","",NA,"27 or                                                                                                           ",1
"8","",NA,"53 if a range is given then the upper value of the range will be used or cardiac mri                                                                                        ",1
"11","",NA,"50 by gated radionuclide study or shortening fraction of > = 27 by echocardiogram patient has no ventricular arrhythmias except for benign premature ventricular contractions patient has a corrected qt qtc interval = < 450 ms                                                                   ",1
"15","",NA,"50 by gated radionuclide study or shortening fraction of > = 27 by echocardiogram                                                                                            ",1
"21","",NA,"27 by echocardiogram or ejection fraction of > = 50 by gated radionuclide study within 7 days prior to enrollment                                                                                         ",1
"22","",NA,"55                                                                                                             ",1
"23","",NA,"55 or shortening fraction > = 27                                                                                                ",1
"25","",NA,"institutional lower limit of normal                                                                                                         ",1
"28","",NA,"50 will be eligible for enrollment                                                                                      ",1
"29","",NA,"50 measured within 28 days of study entry                                                                                                      ",1
"32","",NA,"45 or within institutional normal limits                                                                                                     ",1
"33","",NA,"institutional lower limit of normal lln by echocardiogram echo or multigated acquisition muga within 28 days prior to registration                                                                                        ",1
"34","",NA,"institutional lower limit of normal lln by echocardiogram echo within 2 weeks of the first dose of study treatment                                                                                            ",1
"35","",NA,"institutional lower limit of normal lln by echocardiogram echo or multigated acquisition scan muga                                                                                                ",1
"37","",NA,"institutional lower limit of normal lln by echocardiogram echo ejection fraction                                                                                                   ",1
"38","",NA,"institutional lower limit of normal lln by echocardiogram echo or multigated acquisition scan muga within 30 days of day 1 of study                                                                                        ",1
