"","Blank 1","Frequency","Blank 2","Frequency"
"1","",138,"9 g / dl                                                                                                                                                                                                                                                                                                       ",40
"110","for patients with solid tumors without known bone marrow involvement",2,"9 . 0 g / dl                                                                                                                                                                                                                                                                                                     ",13
"130","obtained within 28 days prior to registration",2,"8 g / dl                                                                                                                                                                                                                                                                                                       ",9
"133","within 14 days prior to registration",2,"10 g / dl                                                                                                                                                                                                                                                                                                       ",8
"6","within 28 days prior to administration of study treatment",1,"8 . 0 g / dl note the use of transfusion or other intervention to achieve hgb hgb > = 8 . 0 g / dl is acceptable                                                                                                                                                                                                                                                                               ",7
"7","within 28 days prior to administration of therapy",1,"8 . 0 g / dl                                                                                                                                                                                                                                                                                                     ",5
"90","within 60 days prior to registration on study",1,"10 . 0 g / dl note the use of transfusion or other intervention to achieve hgb hgb > = 10 . 0 g / dl is acceptable                                                                                                                                                                                                                                                                               ",3
"114","inclusion criteria for stratum c",1,"8 . 0 g / dl may receive rbc rbc transfusions                                                                                                                                                                                                                                                                                                ",3
"121","registration 2 prior to consolidation chemotherapy",1,"8 g / dl may receive transfusions                                                                                                                                                                                                                                                                                                    ",3
"124","step i",1,"9 . 0 mg / dl                                                                                                                                                                                                                                                                                                     ",2
"131","within 14 days of registration",1,"9 g / dl patients may be transfused to this level                                                                                                                                                                                                                                                                                                ",2
"134","clinical / laboratory criteria",1,"9 . 0 g / dl note the use of transfusion or other intervention to achieve hgb hgb > = 9 . 0 g / dl is acceptable                                                                                                                                                                                                                                                                               ",2
"136","within 28 days prior to registration",1,"8 . 0 g / dl at baseline may receive rbc rbc transfusions                                                                                                                                                                                                                                                                                              ",2
"137","within less than or equal to 14 days prior to registration",1,"10 g / dl not requiring rbc rbc transfusions                                                                                                                                                                                                                                                                                                  ",2
"145","procurement",1,"9 g / dl within 28 days prior to registration                                                                                                                                                                                                                                                                                                 ",2
"146","treatment",1,"9                                                                                                                                                                                                                                                                                                          ",2
"147","obtained = < 7 days prior to registration",1,"8 g / dl 5 . 0 mmol / l                                                                                                                                                                                                                                                                                                 ",1
"150","eligibility criteria for randomization step 1",1,"9 g / dl or > = 5 . 6 mmol / l                                                                                                                                                                                                                                                                                              ",1
"2","",NA,"10 g / dl without transfusion within 4 days prior to enrollment                                                                                                                                                                                                                                                                                               ",1
"3","",NA,"9 g / dl without transfusion within 7 days prior to enrollment                                                                                                                                                                                                                                                                                               ",1
"4","",NA,"8 . 0 g / dl with or without transfusion                                                                                                                                                                                                                                                                                                 ",1
"5","",NA,"10 g / dl with no pack rbc transfusion in the past 28 days                                                                                                                                                                                                                                                                                    ",1
"8","",NA,"10 g / dl with no blood transfusion within 28 days of initiation of therapy                                                                                                                                                                                                                                                                                    ",1
"9","",NA,"10 g / dl with no blood transfusion in the past 28 days                                                                                                                                                                                                                                                                                              ",1
"10","",NA,"9 g / dl without transfusion in the preceding 7 days                                                                                                                                                                                                                                                                                                ",1
"11","",NA,"9 g / dl patients may receive transfusion to meet criterion within 30 days of day 1 of study                                                                                                                                                                                                                                                                                        ",1
"12","",NA,"8 g / dl may be transfused                                                                                                                                                                                                                                                                                                    ",1
"13","",NA,"11 g / dl                                                                                                                                                                                                                                                                                                       ",1
"14","",NA,"8 . 0 may transfuse                                                                                                                                                                                                                                                                                                      ",1
"15","",NA,"12 g / dl                                                                                                                                                                                                                                                                                                       ",1
"16","",NA,"90 g / l                                                                                                                                                                                                                                                                                                       ",1
"17","",NA,"8g / dl unsupported                                                                                                                                                                                                                                                                                                       ",1
"18","",NA,"9 g / dl within 2 weeks of the first dose of study treatment                                                                                                                                                                                                                                                                                             ",1
"19","",NA,"9 . 0 g / dl within 90 days before enrollment                                                                                                                                                                                                                                                                                                ",1
"20","",NA,"10 . 0 g / dl                                                                                                                                                                                                                                                                                                     ",1
"21","",NA,"90 g / l or > = 9 g / dl                                                                                                                                                                                                                                                                                                ",1
"22","",NA,"90 d / l or > = 9g / dl                                                                                                                                                                                                                                                                                                 ",1
"23","",NA,"9 . 0 g / dl patients may be transfused to meet this criterion                                                                                                                                                                                                                                                                                             ",1
"24","",NA,"9 . 0 g / dl within 4 weeks of randomization                                                                                                                                                                                                                                                                                                ",1
"25","",NA,"8 . 0 g / dl transfusion or other intervention to achieve hgb > = 8 . 0 g / dl is acceptable                                                                                                                                                                                                                                                                                    ",1
"26","",NA,"8 . 0 g / dl note the use of transfusion or other intervention to achieve hgb > = 8 . 0 g / dl is acceptable                                                                                                                                                                                                                                                                        ",1
"27","",NA,"8 . 0 g / dl note the use of transfusion or other intervention to achieve hgb hgb > = 8 . 0 g / dl is acceptable within 21 days prior to study entry                                                                                                                                                                                                                                                                        ",1
"28","",NA,"8 . 0 g / dl note the use of transfusion or other intervention to achieve hgb hgb > = 8 . 0 g / dl is acceptable obtained within 14 days prior to study entry                                                                                                                                                                                                                                                                       ",1
"29","",NA,"9 . 0 g / dl note the use of transfusion or other intervention to achieve hgb hgb > = 9 . 0 g / dl is acceptable obtained within 30 days prior to registration                                                                                                                                                                                                                                                                        ",1
"30","",NA,"8 . 0 g / dl within 21 days prior to registration note the use of transfusion or other intervention to achieve hgb hgb > = 8 . 0 g / dl is acceptable                                                                                                                                                                                                                                                                         ",1
"31","",NA,"10 . 0 g / dl note the use of transfusion or other intervention to achieve hgb > = 10 . 0 g / dl is acceptable                                                                                                                                                                                                                                                                                ",1
"32","",NA,"10 g / dl allowing transfusion or other intervention to achieve this minimum hgb                                                                                                                                                                                                                                                                                             ",1
"33","",NA,"10 . 0 g / dl note the use of transfusion or other intervention to achieve hgb hgb > = 10 . 0 g / dl is not allowed                                                                                                                                                                                                                                                                              ",1
"34","",NA,"9 . 0 g / dl not requiring transfusions within the past 2 weeks                                                                                                                                                                                                                                                                                             ",1
"35","",NA,"9 g / dl transfusions and / or erythropoietin are permitted                                                                                                                                                                                                                                                                                                ",1
"36","",NA,"10 . 0 g / dl may receive rbc rbc transfusions                                                                                                                                                                                                                                                                                                ",1
"37","",NA,"8 . 0 g / dl may receive rbc rbc transfusions for patients with solid tumors without bone marrow involvement                                                                                                                                                                                                                                                                                       ",1
"38","",NA,"11 . 0 g / dl within 28 days prior to registration                                                                                                                                                                                                                                                                                               ",1
"39","",NA,"8 g / dl obtained within 28 days prior to randomization                                                                                                                                                                                                                                                                                              ",1
"40","",NA,"8 g / dl may be supported within 14 days of registration and within 7 days of the start of treatment                                                                                                                                                                                                                                                                                      ",1
"41","",NA,"9 . 0 g / dl within 90 days prior to randomization                                                                                                                                                                                                                                                                                               ",1
"42","",NA,"9 g / dl obtained within 28 days prior to sub study registration                                                                                                                                                                                                                                                                                              ",1
"43","",NA,"10 . 0 g / dl measured within 28 days prior to randomization                                                                                                                                                                                                                                                                                              ",1
"44","",NA,"9 g / dl obtained within 4 weeks prior to randomization                                                                                                                                                                                                                                                                                                ",1
"45","",NA,"9 g / dl within 21 days prior to registration                                                                                                                                                                                                                                                                                                 ",1
