"","Blank 1","Frequency","Blank 2","Frequency"
"45","known clinically significant liver disease including active viral alcoholic or other hepatitis cirrhosis fatty liver and inherited liver disease patients with past or resolved hbv infection defined as having a negative hbv surface antigen hbsag test and a positive anti hbc antibody to hbv core antigen antibody test are eligible patients positive for",5,"hcv antibody are eligible only if polymerase chain reaction pcr is negative for hcv ribonucleic acid rna                                                                                                                                                                                                                                                                             ",6
"3","known hbv hbv or",4,"hcv infection patients with chronic or cleared hbv and hcv infection are eligible patients with hiv are not eligible if on anti retroviral medications                                                                                                                                                                                                                                                                                                                        ",3
"4","a history of hbv hbv or",3,"hcv infection with the exception of cleared hbv and hcv infection which will be allowed                                                                                                                                                                                                                                                                                                                               ",3
"12","patients with evidence of active hbv hbv or",2,"infection known to have hiv infection prior therapy with viral based tumor vaccine received live vaccine within 28 days prior to enrollment                                                                                                                                                                                                                                                                                                                  ",3
"28","patients must not have known active hbv hbv or",2,"hcv                                                                                                                                                                                                                                                                                                                                            ",2
"56","patients with known hbv or",2,"hcv infection patients with chronic or cleared hbv and hcv infection are eligible                                                                                                                                                                                                                                                                                                                                   ",2
"58","any evidence of severe or uncontrolled systemic disease active infection active bleeding diatheses or renal transplant including any patient known to have hbv",2,"ribonucleic acid hcv antibody indicating acute or chronic infection                                                                                                                                                                                                                                                                                                                           ",2
"78","other viral infections known to have acute or chronic active hbv or",2,"antibody must have a negative polymerase chain reaction pcr prior to enrollment pcr positive patients will be excluded                                                                                                                                                                                                                                                                                                             ",2
"1","known infection with hiv hbv hbv or",1,"infections should be excluded                                                                                                                                                                                                                                                                                                                                         ",2
"2","patients must not have an active hbv hbv or",1,"hcv infection                                                                                                                                                                                                                                                                                                                                         ",1
"6","known history of hbv hbv or",1,"hcv infection patients with chronic or cleared hbv and hcv infection are eligible it is not necessary to conduct hbv and hcv testing at screening                                                                                                                                                                                                                                                                                                                     ",1
"7","active hbv hbv or",1,"hcv patients with chronic or cleared hbv infection and hcv infection are eligible                                                                                                                                                                                                                                                                                                                               ",1
"9","no known active infection with hbv hbv or",1,"hcv infection with the exception of chronic or cleared hbv and hcv infection which will be allowed patients with hiv are not eligible if on anti retroviral medications                                                                                                                                                                                                                                                                                                                   ",1
"11","known hiv hbv hbv or",1,"hcv infection are not eligible patients with cleared hbv and hcv infection will be allowed                                                                                                                                                                                                                                                                                                                             ",1
"13","patients with a positive test for hbv surface antigen hbv sag or",1,"ribonucleic acid hcv hcv antibody indicating acute or chronic infection might be enrolled if the viral load by pcr is undetectable with / without active treatment                                                                                                                                                                                                                                                                                                              ",1
"15","patients are excluded if they have a positive test for hbv surface antigen hbv sag or",1,"hcv infection are not eligible patients with cleared hbv and hcv 0 viral load infection will be allowed                                                                                                                                                                                                                                                                                                                          ",1
"16","patients should be excluded if they have known history of testing positive for hiv or known acquired immunodeficiency syndrome aids or if they have a positive test for hbv surface antigen hbv sag or",1,"hcv infection are eligible provided they meet the other eligibility criteria and they have previously undergone curative therapy and have no evidence of active hcv infection they have no evidence of liver damage owing to prior hcv infection                                                                                                                                                                                                                                                                                                            ",1
"18","patients with",1,"antibody hcv hcv ab / ribonucleic acid hcv rna indicating acute or chronic infection are also ineligible baseline testing required                                                                                                                                                                                                                                                                                                         ",1
"19","known hiv positive patients on combination antiretroviral therapy are ineligible patients who have a positive test for hbv surface antigen hbv sag or",1,"hcv infection defined as plasma hcv rna detectable by pcr note the following will not be exclusionary positive hcv serology but no detectable hcv rna indicative of spontaneously cleared hcv infection patients who have been successfully treated for hcv as long as therapy for hcv has been completed                                                                                                                                                                                                                                                                                                   ",1
"20","uncontrolled",1,"ribonucleic acid hcv rna indicating acute or chronic infection                                                                                                                                                                                                                                                                                                                          ",1
"21","patients should be excluded if they have a positive test for hbv surface antigen hbv sag or",1,"hcv infections                                                                                                                                                                                                                                                                                                                                           ",1
"22","patients with known active hbv hbv and",1,"hcv all patients must be screened for hbv and hcv up to 28 days prior to study drug start using the routine hepatitis virus laboratorial panel patients with active hbv or hcv infection are not eligible for enrollment patients with serologic markers of hbv immunization due to known vaccination hbv surface antigen hbsag negative anti hbv core hbc negative and anti hbv surface hbs positive will be eligible                                                                                                                                                                                                                                                                             ",1
"23","hbv hbv or",1,"infection at time of registration patients with hbv or hcv that have an undetectable viral load or in the opinion of the treating investigator is well controlled are eligible                                                                                                                                                                                                                                                                                                            ",1
"24","no known chronic active liver disease or evidence of acute or chronic hbv hbv or",1,"hcv will be eligible if they have an undetectable viral load if the patient received treatment for hcv then that treatment must have been completed at least three weeks prior to enrollment                                                                                                                                                                                                                                                                                                              ",1
"25","patients must not have known active hbv hbv or hepatitis virus",1,"hcv infection patients with a history of hcv infection who received definitive therapy and has an undetectable viral load by pcr would be eligible                                                                                                                                                                                                                                                                                                                        ",1
"26","patients with a known history of",1,"hcv infection prior to registration patients who have completed curative therapy for hcv are eligible patients with known hiv infection are eligible if they meet each of the following 3 criteria cd4 counts > = 350 / mcL serum hiv viral load of < 25 000 iu / ml and treated on a stable antiretroviral regimen                                                                                                                                                                                                                                                                                   ",1
"27","patients with known active",1,"hcv infection prior to registration                                                                                                                                                                                                                                                                                                                                      ",1
"31","patients diagnosed with",1,"who are hcv antibody positive whether hcv rna level is measurable or not must have no evidence of cirrhosis and have liver function tests                                                                                                                                                                                                                                                                                                                         ",1
"32","for patients with hepatocellular carcinoma secondary to hbv or c test results should be indicative of chronic viral hepatitis infection patients with hbv antibodies hbv surface antigen hepbsag and hbv core antibody hepbcab should be elevated and hbv surface antibody hepbsab and hbve antibody hepbeab low indicating chronic infection if the pattern is different from this please notify the pi viral load cobas taqman test measuring hbv hbv dna is reduced in chronic phase hbv the baseline value as the patient enters this study will be useful to discriminate between drug disease progression or increased viral load as possible attributions for worsening symptoms patients with",1,"antibodies anti hcv hcv testing specific tests used will be based on the siteï s standard procedure for identifying hcv viral load hcv rna should be relatively constant in chronic phase of disease though the level is typically higher than in the acute phase the baseline value as the patient enters this study will be useful to discriminate between drug disease progression or increased viral load as possible attributions for worsening symptoms                                                                                                                                                                   ",1
"33","negative serology antibody test for the following infectious diseases hiv type 1 and 2 human t cell leukemia virus htlv type 1 and 2 mandatory in united states us but optional in canada and europe hbv surface antigen",1,"antibody                                                                                                                                                                                                                                                                                                             ",1
"34","serologic status reflecting active hbv or c infection patients that are positive for hbv core antibody hbv surface antigen hbsag or",1,"e . g . hcv hcv ribonucleic acid rna qualitative is detected                                                                                                                                                                                                                                                                                                                          ",1
"35","has known active hbv e . g . hbv surface antigen hbsag reactive or",1,"infection are ineligible patient must have documented evidence of negative tests for the presence of hbv surface antigen and hcv anti hcv hcv antibody or hepatitis hep c rna qualitative hiv positive patients are eligible if the following criteria are met stable on their antiretroviral agents have cd4 counts above 400 undetectable viral loads and no need for prophylactic medications for an opportunistic infections                                                                                                                                                                                                                                                                            ",1
"36","patients who have a known active hbv or",1,"infection are ineligible patient must have documented evidence of negative tests for the presence of hbv surface antigen and hcv anti hcv antibody or hep c rna qualitative hiv positive patients are eligible if the following criteria are met stable on their antiretroviral agents have cd4 counts above 400 undetectable viral loads and no need for prophylactic medications for an opportunistic infections                                                                                                                                                                                                                                                                         ",1
"37","exclusion criteria for stratum c patients who have a known active hbv or",1,"both reactive anti hcv hcv antibody and detectable hcv rna and hbv hbv surface antigen hbsag positive and anti hbv core hbc total positive may be enrolled provided total bilirubin is = < 1 . 5 x institutional mcLn and ast sgot and alt sgpt must be = < 3 x institutional upper limit of normal and hbv hbv deoxyribonucleic acid dna < 100 iu / ml if hbv positive within 2 weeks prior to enrollment                                                                                                                                                                                                                                                                     ",1
"38","participants who have",1,"antibody positive or hbv surface antigen positive must be free of clinical evidence of cirrhosis as determined by the principal investigator in consultation with the gastroenterology service timeline within 3 weeks prior to enrollment                                                                                                                                                                                                                                                                                                               ",1
