"","Blank 1","Frequency","Blank 2","Frequency"
"1","",21,"treatment with selumetinib or another specific mek 1 / 2 inhibitor                                                                                                                                                                             ",2
"10","patients must not have received",3,"treatment with a parp inhibitor or topotecan                                                                                                                                                                                 ",1
"21","patients who have received",2,"exposure to approved receptor tyrosine kinase inhibitors is permitted at least 5 half lives must have elapsed since the completion of the kinase inhibitor and the initiation of study treatment                                                                                                                                                          ",1
"25","no",2,"exposure to abt888 or other parp inhibitors is permitted in all cohorts except the cohort evaluating brca mutated parp inhibitor naive patients where prior parp inhibitor treatment will not be permitted prior exposure to cyclin dependent kinase inhibitors other than sch727965 is permitted                                                                                                                                             ",1
"4","the patients braf mutation status at position 600 must be known",1,"to enrollment patients with v600e mutations are eligible if they have failed an approved braf inhibitor or mek inhibitor therapy or have been offered an approved braf inhibitor or mek inhibitor therapy and refused                                                                                                                                           ",1
"5","patients are allowed",1,"vegfr tyrosine kinase inhibitor tki patients will be stratified based on prior vegfr tki therapy                                                                                                                                                                      ",1
"7","patients progressing on a",1,"treatment with a braf inhibitor such as vemurafenib or dabrafenib previous treatment with sorafenib is allowed                                                                                                                                                                        ",1
"8","patients must have received",1,"braf inhibitor based therapy will be eligible as are patients nave to braf inhibitor therapy resistance to braf inhibitor based therapy will be defined as progressive disease by recist 1 . 1 criteria while receiving therapy with a braf inhibitor vemurafenib or dabrafenib alone or in combination with a mitogen activated protein kinase mek inhibitor this may be innate resistance patients who never achieved a tumor response while on braf inhibitor therapy or acquired resistance progression after having a tumor response to braf inhibitor therapy there will not be a period of break between progression on the prior braf inhibitor based therapy and the start of dabrafenib trametinib and gsk2141795                                                                      ",1
"11","treatment patients who have had",1,"braf inhibitor therapy e . g . dabrafenib vemurafenib within 56 days prior to registration prior trametinib therapy is permitted patients are not required to interrupt braf or mek inhibitor therapy prior to the initiation of three agent combination therapy on study                                                                                                                                          ",1
"12","treatment patients who have received",1,"treatment with selumetinib or another specific mitogen activated protein kinase mek 1 / 2 inhibitor unless the subject meets criteria for re treatment                                                                                                                                                                 ",1
"13","proteasome inhibitor naive or sensitive disease proteasome inhibitor sensitive disease is defined as a pr or better to",1,"treatment with any vegf receptor tyrosine kinase inhibitor e . g . cediranib sunitinib pazopanib sorafenib however prior treatment with bevacizumab is allowed                                                                                                                                                            ",1
