"","Blank 1","Frequency","Blank 2","Frequency"
"4","patients who are receiving any other",52,"agents                                                                                                                                                                             ",67
"79","patients who are currently receiving another",13,"drug are not eligible                                                                                                                                                                           ",11
"2","patients receiving any other",10,"agents are ineligible                                                                                                                                                                              ",6
"1","patients may not be receiving any other",9,"agent within 4 weeks prior to cycle 1 day 1                                                                                                                                                                       ",5
"29","receiving any other",6,"agent                                                                                                                                                                                 ",4
"37","participants who are receiving any other",5,"agent within 28 days before the first dose of study treatment                                                                                                                                                                  ",4
"95","concomitant medications corticosteroids patients receiving corticosteroids who have not been on a stable or decreasing dose of corticosteroid for at least 7 days prior to enrollment are not eligible if used to modify immune adverse events related to prior therapy > = 14 days must have elapsed since last dose of corticosteroid",5,"agents patients on other trials will be eligible as long as they are no longer receiving study treatment                                                                                                                                                          ",2
"149","treatment with any other",5,"drug                                                                                                                                                                              ",2
"10","patients should not be receiving any other",3,"agents or have received an investigational agent within the past 30 days                                                                                                                                                                   ",2
"107","the subject has received any other type of",3,"agents nor have participated in an investigational trial within the past 4 weeks                                                                                                                                                                 ",2
"9","patients who are receiving any other anticancer or",2,"agents within the past 4 weeks                                                                                                                                                                             ",2
"135","patients must not receive any other",2,"agents are not eligible                                                                                                                                                                           ",1
"12","patients who are actively receiving any other",1,"therapy                                                                                                                                                                              ",1
"19","tumor biopsy sequencing patients who are receiving any other",1,"agents = < 28 days prior to registration                                                                                                                                                                          ",1
"20","treatment patients who are receiving any other",1,"agents while on study                                                                                                                                                                          ",1
"25","patients who are receiving any other therapeutic",1,"agents while on study treatment                                                                                                                                                                         ",1
"38","patients must not currently be receiving any other",1,"agents for cancer                                                                                                                                                                            ",1
"55","patients who are receiving any other biologic cytotoxic or",1,"anti cancer agents while on study                                                                                                                                                                        ",1
"62","patients must not be receiving any other",1,"drug therapy are ineligible                                                                                                                                                                        ",1
"84","patients who are receiving any other anti cancer or",1,"drugs patients who are currently receiving another investigational drug are not eligible                                                                                                                                                                         ",1
"87","",1,"drug therapy are not eligible                                                                                                                                                                        ",1
"100","general exclusion criteria for subprotocols concomitant medications corticosteroids at the time of consent and enrollment to regimen specific subprotocols patients receiving corticosteroids who have not been on a stable or decreasing dose of corticosteroid for at least 7 days prior to enrollment to the subprotocol will not be eligible if used to modify immune adverse events related to prior therapy > = 14 days must have elapsed since last dose of corticosteroid",1,"drugs patients who are currently receiving another investigational drug are not eligible anti cancer agents patients who are currently receiving other anti cancer agents are not eligible                                                                                                      ",1
"106","the participant has received any other type of",1,"drugs patients who are currently receiving another investigational drug are not eligible anti cancer agents patients who are currently receiving other anti cancer agents are not eligible anti gvhd agents post transplant patients who are receiving cyclosporine tacrolimus or other agents to prevent graft versus host disease post bone marrow transplant are not eligible for this trial cyp3a / cyp3a4 agents patients who are currently receiving drugs that are strong and moderate inducers or inhibitors of cyp3a or cyp3a4 are not eligible strong inducers or inhibitors of cyp3a4 should be avoided from 21 days prior to enrollment to the end of the study                          ",1
"108","prior",1,"drugs patients who are currently receiving another investigational drug are not eligible anti cancer agents patients who are currently receiving other anti cancer agents are not eligible anti gvhd agents post transplant patients who are receiving cyclosporine tacrolimus or other agents to prevent graft versus host disease post bone marrow transplant are not eligible for this trial cyp3a4 agents patients who are currently receiving drugs that are strong inducers or strong inhibitors of cyp3a4 are not eligible strong inducers or inhibitors of cyp3a4 should be avoided from 14 days prior to enrollment to the end of the study note cyp3a4 inducing anti epileptic drugs and dexamethasone for cns tumors or metastases on a stable dose are allowed            ",1
"109","use of an",1,"drugs patients who are currently receiving another investigational drug are not eligible anti cancer agents patients who are currently receiving other anti cancer agents are not eligible anti gvhd agents post transplant patients who are receiving cyclosporine tacrolimus or other agents to prevent graft versus host disease post bone marrow transplant are not eligible for this trial                                                                        ",1
"110","treatment patients who have had prior treatment with any of the other",1,"drugs patients who are currently receiving another investigational drug are not eligible anti cancer agents patients who are currently receiving other anti cancer agents are not eligible anti gvhd agents post transplant patients who are receiving cyclosporine tacrolimus or other agents to prevent graft versus host disease post bone marrow transplant are not eligible for this trial cyp3a4 agents patients who are currently receiving drugs that are strong inducers or inhibitors of cyp3a4 are not eligible strong inducers or inhibitors of cyp3a4 should be avoided from 14 days prior to enrollment to the end of the study cyp2c19 agents patients who are currently receiving drugs that are strong cyp2c19 inducers e . g . rifampin ritonavir or inhibitors e . g . . fluoxetine fluvoxamine ticlopidine are not eligible",1
"111","subjects must have received their last dose of",1,"drugs patients must meet criteria for prior therapy at the time of consent and enrollment to a subprotocol other investigational agents may not be administered to patients while they are receiving study drug as part of a subprotocol anticancer agents patients must meet criteria for prior therapy at the time of consent and enrollment to a subprotocol other investigational agents may not be administered to patients while they are receiving study drug as part of a subprotocol anti gvhd agents post transplant patients who are receiving cyclosporine tacrolimus or other agents to prevent graft versus host disease post bone marrow transplant are not eligible     ",1
"112","patients who are receiving any other concurrent",1,"agent which would be considered as a treatment for the primary neoplasm                                                                                                                                                                      ",1
"113","biologic therapy patients should have received their last dose of biologic agent > = 7 days prior to enrollment in the event the patient has received another biologic agent and has experienced > = grade 2 myelosuppression then at least three 3 weeks must have elapsed prior to enrollment if the",1,"agent that would be considered as a treatment for the primary neoplasm                                                                                                                                                                      ",1
"114","patients must not receive concurrent anti cancer therapy or",1,"agent that would be considered a treatment for the primary neoplasm                                                                                                                                                                       ",1
"117","patients who are currently participating in or have participated in a study of an",1,"immunotherapy                                                                                                                                                                                   ",1
"120","other",1,"agent within the past 30 days                                                                                                                                                                            ",1
"121","no",1,"agents or combinations on this protocol are eligible but will not receive the same investigational agent everolimus or trametinib or combination azd1775 / combination or veliparib / temozolomide instead patients will receive an investigational agent or combination prospectively identified to work on a different target in their tumorï s mutation / aberrant pathway                                                                                                                    ",1
