"","Blank 1","Frequency","Blank 2","Frequency"
"1","patients who have had chemotherapy or",25,"within 4 weeks 6 weeks for nitrosoureas or mitomycin c prior to entering the study or those who have not recovered from adverse events due to agents administered more than 4 weeks earlier                                                                                                                                                                            ",6
"21","patients who have had chemotherapy or other systemic therapy or",3,"prior to entering this study                                                                                                                                                                                    ",4
"34","patients must have fully recovered from the acute toxic effects of all prior chemotherapy immunotherapy or",3,"> = 2 weeks prior to receiving study drugs                                                                                                                                                                                               ",3
"54","patients must have completed last chemotherapy > = 3 weeks or",3,"within 4 weeks 6 weeks for nitrosoureas or mitomycin c of starting treatment or those who have not recovered from adverse events due to agents administered more than 4 weeks earlier patients may not have had hormonal therapy within 2 weeks prior to entering the study patients receiving raloxifene for bone health as per food and drug administration fda indication may remain on raloxifene absent other drug interactions                                                                                                                                         ",2
"62","patients who have had",3,"                                                                                                                                                                                                             ",2
"24","participants who have had chemotherapy or",2,"within 4 weeks 6 weeks for nitrosoureas or mitomycin c prior to entering the study or those who have not recovered from adverse events due to agents administered more than 4 weeks earlier patients who have been administered abt 888 as part of a single or limited dosing study such as a phase 0 study should not necessarily be excluded from participating in this study solely because of receiving prior abt 888                                                                                                                                     ",1
"39","",2,"within 4 weeks 6 weeks for nitrosoureas or mitomycin c prior to entering the study or those whose adverse event due to agents administered more than 4 weeks earlier have not resolved or stabilized patients who have been administered abt 888 as part of a single or combination phase 0 or i study should not necessarily be excluded from participating in this study solely because of receiving prior abt 888                                                                                                                                       ",1
"4","patients who have had chemotherapy including investigational cytotoxic chemotherapy biologic agents e . g . cytokines or antibodies or",1,"within 4 weeks 6 weeks for nitrosoureas or mitomycin c 3 weeks for rituximab prior to entering the study or those who have not recovered from adverse events due to agents administered more than 4 weeks earlier                                                                                                                                                                        ",1
"7","patients who have had chemotherapy targeted small molecule therapy or",1,"within 4 weeks 6 weeks for nitrosoureas or mitomycin c before the first dose of study treatment or those who have not recovered from adverse events due to agents administered more than 4 weeks earlier                                                                                                                                                             ",1
"11","participants who have had anti neoplastic treatment for ks including chemotherapy",1,"within 4 weeks 6 weeks for nitrosoureas or mitomycin c prior to entering the study or those who have not recovered to = < grade 1 adverse events due to agents administered more than 4 weeks earlier                                                                                                                                                                        ",1
"26","use of any other experimental drug or therapy within 21 days of baseline patients who have had chemotherapy or",1,"within 4 weeks 6 weeks for nitrosoureas or mitomycin c prior to entering the study or those who have not recovered from adverse events due to agents administered more than 4 weeks earlier note patients with = < grade 2 neuropathy are an exception to this criterion and may qualify for the study note if patients received major surgery they must have recovered adequately from the toxicity and / or complications from the intervention prior to starting therapy                                                                                                                           ",1
"28","no prior mediastinal or thoracic",1,"within 4 weeks 6 weeks for nitrosoureas or mitomycin c prior to entering the study or those who have not recovered from adverse events aes due to agents administered more than 4 weeks earlier                                                                                                                                                                           ",1
