"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency"
"1","",219,"",186,"100 000 / mcl                                                    ",76
"98","for patients with solid tumors without known bone marrow involvement peripheral anc anc > = 1000 / mcL",7,"count",66,"100 000 / mcL                                                   ",46
"91","for patients with solid tumors without known bone marrow involvement",2,"count must be",2,"100 000 / ul                                                   ",19
"225","obtained within 28 days prior to registration",2,"",NA,"100 000 / mcL transfusion independent defined as not receiving Platelets transfusions for at least 7 days prior to enrollment                                   ",13
"226","within 14 days prior to registration",2,"",NA,"75 000 / mcl                                                    ",6
"64","within 2 weeks prior to initiation of study treatment",1,"",NA,"50 000 / mcl                                                    ",5
"107","for patients with solid tumors without known bone marrow involvement peripheral anc anc > = 1000 / mcL within 7 days prior to enrollment",1,"",NA,"75 000 / mcL                                                  ",4
"108","general inclusion criteria for subprotocols for patients with solid tumors without known bone marrow involvement peripheral anc anc > = 1000 / mcL",1,"",NA,"50 000 / mcL                                                   ",4
"119","inclusion criteria for stratum c",1,"",NA,"100 000 / mcl within 28 days prior to registration                                              ",3
"128","tumor biopsy sequencing",1,"",NA,"150 000 / mcl                                                    ",2
"129","treatment",1,"",NA,"100 000 / mcl not requiring Platelets transfusions                                                ",2
"148","peripheral",1,"",NA,"75 000 / ul                                                   ",2
"152","step i untransfused",1,"",NA,"100 000 / ul transfusion independent                                                 ",2
"162","patients on part c with acute lymphoblastic leukemia",1,"",NA,"75 000 cells / ul unsupported defined as no Platelets transfusion within 7 days                                          ",2
"166","within 6 weeks prior to randomization",1,"",NA,"100 000 / ul mcl                                                ",2
"168","re registration",1,"",NA,"75 000 / mcl within 28 days prior to registration                                ",2
"169","within 14 days of registration",1,"",NA,"75000 / mcL                                                     ",2
"176","clinical / laboratory criteria",1,"",NA,"100 000 / mcl without transfusion                                                  ",1
"199","within 60 days prior to registration on study",1,"",NA,"50 000 / mcL 50000 / mcL                                                 ",1
"217","registration 2 prior to consolidation chemotherapy",1,"",NA,"50 000 / mcl or recovery to the baseline count                                              ",1
"218","obtained within 30 days of registration",1,"",NA,"75 000 / mcl unless due to marrow involvement by lymphoma in which case a Platelets count of > = 30 000 / mcl will be used                             ",1
"220","obtained = < 7 days prior to registration",1,"",NA,"100 000 / mcl without transfusion within 2 weeks prior to cycle 1 day 1                                         ",1
"224","registration step 3 ï maintenance patients must have adequate marrow function as evidenced by",1,"",NA,"75 000 / mcl > = 50 000 for patients with hematologic malignancies                                           ",1
"230","within 28 days prior to registration",1,"",NA,"50 000 / mcL transfusion independent no Platelets transfusions within 1 week                                           ",1
"232","within 28 days prior to administration of study treatment",1,"",NA,"100 000 / mcL transfusion independent no Platelets transfusion one week prior to enrollment                                          ",1
"233","within less than or equal to 14 days prior to registration",1,"",NA,"75 000 and transfusion independent                                                  ",1
"234","within 28 days prior to administration of therapy",1,"",NA,"75 000 / mcL transfusion independent defined as not receiving Platelets transfusions for at least 7 days prior to enrollment                                   ",1
"2","",NA,"",NA,"75 000 / mcL transfusion independent defined as not receiving Platelets transfusions for at least 7 days prior to enrollment hgb > = 8 . 0 g / dl at baseline may receive packed rbc prbc transfusions",1
"3","",NA,"",NA,"100 000 / ul transfusion independent defined as not receiving Platelets transfusions within a 7 day period prior to enrollment for patients with solid tumors without bone marrow involvement                          ",1
"4","",NA,"",NA,"100 000 / mcL transfusion independent defined as not receiving Platelets transfusions for at least 7 days prior to enrollment hgb > = 8 . 0 g / dl at baseline may receive rbc rbc transfusions ",1
"5","",NA,"",NA,"75 000 / ul transfusion independent                                                 ",1
"6","",NA,"",NA,"100 000 / ul note no transfusions are permitted 7 days prior to laboratory studies to determine eligibility                                     ",1
"7","",NA,"",NA,"100 000 / ul obtained within 4 weeks prior to randomization                                            ",1
"8","",NA,"",NA,"50 000 / ul                                                   ",1
"9","",NA,"",NA,"100 000 / ul untransfused                                                   ",1
"10","",NA,"",NA,"100 000 cells / ul 75 x 10 9 l and                                             ",1
"11","",NA,"",NA,"100 000 / ul unsupported                                                   ",1
"12","",NA,"",NA,"90 x 10 3 / ul                                                  ",1
"13","",NA,"",NA,"100 x 10 3 / ul                                                  ",1
"14","",NA,"",NA,"100 000 / mmï                                                   ",1
"15","",NA,"",NA,"100 000 / mcL obtained = < 21 days prior to registration                                           ",1
"16","",NA,"",NA,"100 000                                                     ",1
"17","",NA,"",NA,"100 000 / ml within 28 days prior to registration                                             ",1
"18","",NA,"",NA,"75 000 / mcL obtained within 28 days prior to randomization                                         ",1
"19","",NA,"",NA,"50000 / mcL                                                    ",1
"20","",NA,"",NA,"75 000 / mcL within 90 days prior to randomization                                             ",1
"21","",NA,"",NA,"100 000 mcL obtained within 28 days prior to sub study registration                                           ",1
"22","",NA,"",NA,"100 000 / mcL measured within 28 days prior to randomization                                            ",1
"23","",NA,"",NA,"20 000 / mcL may receive Platelets transfusions these patients must not be known to be refractory to red cell or Platelets transfusion                        ",1
"24","",NA,"",NA,"75 000 / mcl must be obtained within 28 days prior to registration                                          ",1
"25","",NA,"",NA,"100 000 / ml within 21 days prior to registration                                             ",1
"26","",NA,"",NA,"100 000 / mcl these results must be obtained within 28 days prior to registration                                    ",1
"27","",NA,"",NA,"100 000 / mcL within 28 days before randomization                                            ",1
"28","",NA,"",NA,"100 000 / mcL within 4 weeks of randomization                                              ",1
"29","",NA,"",NA,"100 000 / mcL Platelets > = 75 000 required for patients who received cycle 1 of mfolfox6 prior to registration                                  ",1
"30","",NA,"",NA,"70 000 / mcL within 21 days prior to study entry                                             ",1
"31","",NA,"",NA,"60 000 / mcL obtained within 14 days prior to study entry                                            ",1
"32","",NA,"",NA,"100 000 / mcL obtained within 30 days prior to registration                                             ",1
"33","",NA,"",NA,"100 000 / mcL within 14 days prior to study registration                                             ",1
"34","",NA,"",NA,"100 000 / mcL within 21 days prior to registration                                              ",1
"35","",NA,"",NA,"100 000 / mcL equivalent to ctcae v 3 . 0 grade 0 1                                          ",1
"36","",NA,"",NA,"75 000 / mcL within 90 days before enrollment                                               ",1
"37","",NA,"",NA,"30 000 / mcL                                                    ",1
"38","",NA,"",NA,"100 000 / mcL must be obtained within 8 weeks prior to screening for protocol therapy                                        ",1
"39","",NA,"",NA,"100 000 / mcL within 4 weeks prior to randomization                                              ",1
"40","",NA,"",NA,"100 000 / mcl assessed within seven 7 days prior to the start of therapy                                         ",1
"41","",NA,"",NA,"75 000 / mcl or > = 50 000 / mcl with documented bone marrow involvement                                  ",1
"42","",NA,"",NA,"100 000 / l unsupported within 14 days of registration and within 7 days of the start of treatment                                     ",1
"43","",NA,"",NA,"75 000 / mcl 75000 / mcL obtained within 2 weeks prior to registration                                          ",1
"44","",NA,"",NA,"50 000 / mcl within 28 days prior to registration                                              ",1
"45","",NA,"",NA,"100 000 / mcl within 14 days prior to registration                                              ",1
"46","",NA,"",NA,"100 000 / mcL within 14 days prior to registration .                                             ",1
