"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency"
"3","",18,"/ creatinine ratio upcr =",5,"1                                                                                                                                                                                                                                                                     ",5
"1","step i patients must have measurable or evaluable disease as defined by having one or more of the following obtained within 28 days prior to randomization > = 1 g / dl monoclonal protein m protein on serum protein electrophoresis > = 200 mg / 24 hours hrs of monoclonal protein on a 24 hour",1,"creatinine ratio upc of =",4,"1000 mg for patient enrollment                                                                                                                                                                                                                                               ",2
"2","greater than 2 proteinuria on two consecutive dipsticks taken no less than 1 week apart or 24 hour",1,"=",2,"30 mg / dl in urinalysis or = < 1 on dipstick unless quantitative protein is < 1000 mg in a 24 hour h urine sample                                                                                                                                                                                                                                                ",2
"7","baseline urinalysis should show",1,"electrophoresis involved free light chain > = 10 mg / dl or > = 100 mg / l and abnormal serum immunoglobulin kappa to lambda free light chain ratio",1,"0 . 26 or > = 1 . 65 monoclonal bone marrow plasmacytosis > = 30 evaluable disease serum protein electrophoresis spep urine protein electrophoresis upep and serum free light chain flc assay are required to be performed within 28 days prior to randomization a bone marrow biopsy and / or aspirate is required within 28 days if bone marrow is being followed for response note upep on a 24 hour collection is required no substitute method is acceptable urine must be followed monthly if the baseline urine m spike is > = 200 mg / 24 hr please note that if both serum and urine m components are present both must be followed in order to evaluate response note the serum free light chain test is required to be done if the patient does not have measurable disease in the serum or urine measurable disease in the serum is defined as having a serum m spike > = 1 g / dl measurable disease in the urine is defined as having a urine m spike > = 200 mg / 24 hr",1
"18","a",1,"of > = 1 g patients with",1,"2 proteinuria are eligible following initial determination by urinalysis within 1 week prior to enrollment and do not need the urinalysis repeated                                                                                                                                                                                                                            ",1
"21","proteinuria of ctcae grade 3 or higher estimated by",1,"should be screened by dipstick or urine analysis for proteinuria > = 1 or urine protein creatinine ratio > = 1 . 0 24 hour urine protein should be obtained and the level should be",1,"2000 mg for patient enrollment                                                                                                                                                                                                                                   ",1
"22","within 14 days prior to registration",1,"should be screened by urinalysis if protein is 2 or higher 24 hour urine protein should be obtained and the level should be",1,"1 on spot urinalysis or protein = < 500 mg / 24 hour urine                                                                                                                                                                                                                                                         ",1
"23","within 28 days prior to administration of study treatment",1,"creatinine ratio upcr =",1,"3 and must be obtained within 28 days prior to registration if urine protein is 3 or greater then urine protein by 24 hour collection must show less than 3 grams of protein                                                                                                                                                                                                                                      ",1
"24","within 28 days prior to administration of therapy proteinuria",1,"",1,"2                                                                                                                                                                                                                                                                     ",1
"4","",NA,"must be screened by urinalysis if protein is 2 or higher 24 hour urine protein should be obtained and the level should be",1,"45 mg / mmol only applicable for patients with nf2 mutation gsk2256098                                                                                                                                                                                                                                                           ",1
"5","",NA,"creatinine ratio upc =",1,"1 or less than or equal to 2 proteinuria on two consecutive dipsticks taken no less than 1 week apart upc is the preferred test patients with > = 2 proteinuria on dipstick must also have a 24 hour urine collection demonstrating = < 500 mg over 24 hours                                                                                                                                                                                                                     ",1
"6","",NA,"creatinine ratio urine protein creatinine upc of =",1,"1 or less than or equal to 2 proteinuria on two consecutive dipsticks taken no less than 1 week apart upc is the preferred test patients with 2 proteinuria on dipstick must also have a 24 hour urine collection demonstrating protein of = < 500 mg over 24 hours                                                                                                                                                                                                                  ",1
"8","",NA,"creatinine ratio of",1,"1 or < 1 g protein on 24 hour urine collection                                                                                                                                                                                                                                                            ",1
"9","",NA,"to creatinine upc ratio",1,"0 . 5 or if > = 0 . 5 24 hour urine protein must be < 1000 mg                                                                                                                                                                                                                                                    ",1
"10","",NA,"creatinine upc =",1,"1 if upc > = 1 then a 24 hour urine protein must be assessed eligible patients must have a 24 hour urine protein value < 1 g / l                                                                                                                                                                                                                                          ",1
"11","",NA,"creatinine ratio > = 3 . 5 on a random urine sample patients who recently i . e . at least 30 days prior to registration discontinued an anti angiogenic therapy which caused proteinuria ie grade 2 > = 2 to > = 3 g of protein or 1 3 . 5 g / 24 hours h or grade 3 proteinuria > = 4 of protein or > = 3 . 5 g / 24 h are not eligible for enrollment until proteinuria improves to",1,"2 g of protein per 24 h                                                                                                                                                                      ",1
"12","",NA,"creatinine upc ratio must be",1,"1 . 0 gm if upc ratio > = 1 collection of 24 hour urine measurement of urine protein is recommended 24 hour urine protein level must be < 1000 mg for patient enrollment upc ratio of spot urine is an estimation of the 24 hour urine protein excretion ï a upc ratio of 1 is roughly equivalent to a 24 hour urine protein of 1 gm                                                                                                                                                                                             ",1
"13","",NA,"creatinine upc ratio",1,"1 or = < 2 proteinuria on two consecutive urinalysis / dipstick tests taken no less than 1 week apart patients with 2 proteinuria on dipstick must also have a upc of = < 0 . 5 on 2 consecutive samples                                                                                                                                                                                                                    ",1
"14","",NA,"",NA,"1 upc is the preferred test                                                                                                                                                                                                                                                                ",1
"15","",NA,"",NA,"1 or urine dipstick for proteinuria = < 2 note if the upc ratio is > = 1 . 0 then a 24 hour urine collection should be performed and this must demonstrate = < 1g of protein in 24 hours                                                                                                                                                                                                                               ",1
