"","Blank 1","Frequency","Blank 2","Frequency"
"9","randomized",15,"ii all patients enrolled in the phase ii portion of this trial must have a history of biopsy proven ovarian fallopian tube or primary peritoneal cancer                                             ",1
"1","",11,"ii registration inclusion criteria                                                                   ",1
"27","disease status",1,"ii registration exclusion criteria                                                                   ",1
"28","for part c",1,"i                                                                      ",1
"29","feasibility",1,"ii                                                                      ",1
"30","tumor amenable to biopsy and willingness to undergo tumor biopsies before and after m6620 vx 970 treatment during the expansion",1,"i and ii                                                                    ",1
"2","",NA,"i patients                                                                     ",1
"3","",NA,"i arms a b c d e f g h i x y z                                                         ",1
"4","",NA,"ii arms k and l patients must have pathologically confirmed relapsed or refractory classical hodgkin lymphoma chl a biopsy at any relapse is acceptable other histologies including lymphocyte predominant lp hl are not permitted                                    ",1
"5","",NA,"ii arms k and l ecog acrin performance status between 0 2                                                          ",1
"6","",NA,"ii arms k and l anc > = 1500 / mcl 1 . 5 x 0 9 / l obtained within 2 weeks prior to registration                                            ",1
"7","",NA,"ii arms k and l Platelets > = 75 000 / mcl 75000 / mcL obtained within 2 weeks prior to registration                                                ",1
"8","",NA,"ii arms k and l ast / alt = < 2 . 5 x upper limit of normal uln obtained within 2 weeks prior to registration                                            ",1
"10","",NA,"ii arms k and l patient must have no current or prior history of cns involvement                                                      ",1
"11","",NA,"ii arms k and l all prior therapy must have been completed at least 21 days prior to enrollment 6 weeks for nitrosoureas or mitomycin c no concomitant anti lymphoma therapy including systemic corticosteroids for the purpose of treatment of lymphoma are allowed topical steroids are allowed                       ",1
"12","",NA,"ii arms k and l no history of stevenï s johnsonï s syndrome tens syndrome or motor neuropathy                                                    ",1
"13","",NA,"ii arms k and l patients must not have grade 2 or greater peripheral sensory neuropathy                                                      ",1
"14","",NA,"ii arms k and l patients must not have nyha class iii or iv heart failure uncontrolled angina severe uncontrolled ventricular arrhythmias or electrocardiographic evidence of acute ischemia                                          ",1
"15","",NA,"ii arms k and l patients must not have previously existing hypersensitivity to brentuximab vedotin or ipilimumab                                                     ",1
"16","",NA,"ii arms k and l patients must not have a serious medical or psychiatric illness likely to interfere with study participation                                                 ",1
"17","",NA,"ii arms k and l patients must not be participating in any other clinical trial or taking any other experimental medications within 21 days prior to registration                                           ",1
"18","",NA,"ii arms k and l routine vaccinations including seasonal influenza should be given at least 2 weeks prior to study treatment vaccines are not prohibited on study but must be given at least 6 weeks after cycle 1 and not within 7 days of treatment                         ",1
"19","",NA,"ii arms k and l patients must not currently be smoking tobacco or other agents                                                       ",1
"20","",NA,"i portion eligibility criteria                                                                   ",1
"21","",NA,"ii portion eligibility criteria                                                                   ",1
"22","",NA,"i subjects only patients must not have received prior navitoclax unless the patient received < 7 days of navitoclax lead in on this or another study and had to stop for reasons other than toxicity or disease progression in the phase ii portion of the study                         ",1
"23","",NA,"1 part a patients must have either measurable or evaluable disease phase 2 part b ewing sarcoma or peripheral pnet patients must have measurable disease phase 2 part c acute lymphoblastic leukemias all patients with all must have an m3 marrow with or without extramedullary site of relapse or an m2 bone marrow with an extramedullary site of relapse patients with cns 3 status are not eligible for enrollment",1
"24","",NA,"2 recurrent all patients with cns 3 status are not eligible                                                         ",1
"25","",NA,"patients must be < 21 years of age at the time of enrollment please note the feasibility phase is complete effective with amendment 1                                              ",1
"26","",NA,"of the trial biopsies optional during the escalation phase                                          ",1
