"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency"
"3","patients must have",36,"",61,"                                                                                                                                                                                   ",24
"6","",13,"or evaluable",15,"as defined by response evaluation criteria in solid tumors recist version 1 . 1                                                                                                                                                                                     ",2
"22","patients must have either",5,"or non measurable",5,"per response evaluation criteria in solid tumors recist guidelines                                                                                                                                                                                          ",1
"1","patient must have",2,"residual",2,"by response evaluation criteria in solid tumors recist criteria or they may have no measurable residual disease or they must have biopsy proven recurrent disease of any stage and have never received cytotoxic chemotherapy                                                                                                                                            ",1
"2","patients must have newly diagnosed stage iia ï iv disease and must be entered within eight weeks from surgery they may have either",1,"or otherwise evaluable",2,"or must be evaluable for mibg response without evidence of response evaluation criteria in solid tumors recist measurable lesions patients with neuroblastoma in bone marrow only are not eligible                                                                                                                                                                   ",1
"4","part b patients must have either",1,"by response evaluation criteria in solid tumors recist 1 . 1 criteria or non measurable but must be present in at least one non liver site where presence is defined as 1 . 5 cm or greater and visualized on pet / ct with 18f fluorodeoxyglucose fdg patients with effusion only",1,"by response evaluation criteria in solid tumors recist 1 . 1                                                                                                                                                                                      ",1
"5","patients must have evaluable or",1,"or evaluable / non measurable",1,"as assessed by response evaluation criteria in solid tumors recist 1 . 1 for non gbm tumors and by response assessment in neuro oncology rano criteria for gbm                                                                                                                                                                        ",1
"9","for patients enrolled in arm a dose level 4 arm a 14 patients expansion cohort and arm b first stage of phase ii of trc102 and pemetrexed",1,"or evaluable limited stage dlbcl patients rendered free of measurable or evaluable",1,"as defined by response evaluation criteria in solid tumors recist 1 . 1                                                                                                                                                                                    ",1
"10","disease may be",1,"tumor on mri mri computed tomography ct scan obtained within 3 weeks prior to study entry measurable is defined as > = 10 mm in at least one dimension on spiral / helical ct that is metaiodobenzylguanidine mibg avid or demonstrates increased fludeoxyglucose fdg uptake on positron emission tomography pet scan mibg scan obtained within 3 weeks prior to study entry with positive uptake at a minimum of one site this site must represent",1,"is required according to the response evaluation criteria in solid tumors recist criteria for patients with solid tumors and modified recist criteria as described by byrne and novak for patients with malignant pleural mesothelioma pleural effusion and ascites are not considered measurable disease                                                                                                                                ",1
"11","patients must have evaluable disease ï defined as one of the following response evaluation criteria in solid tumors recist 1 . 1",1,"contrast enhancing",1,"or disease only in the liver are not eligible for the study                                                                                                                                    ",1
"12","phase iii study evaluable disease defined as recist 1 . 1",1,"computed tomography ct scans or mri mri s used to assess measurable",1,"or evaluable disease defined as solid and / or cystic abnormalities on radiographic imaging that do not meet recist 1 . 1 definitions for target lesions or ascites and / or pleural effusion that has been pathologically demonstrated to be disease related and a cancer antigen 125 ca125 that has doubled from the post treatment nadir and is also greater than 2 times upper limit of normal uln                                                                                                            ",1
"13","ca 125 only disease without response evaluation criteria in solid tumors recist 1 . 1",1,"defined by at least 1 cm x 1 cm contrast enhancing",1,"or non measurable disease defined as solid and / or cystic abnormalities on radiographic imaging that do not meet recist 1 . 1 definitions for target lesions or ascites and / or pleural effusion that has been pathologically demonstrated to be disease related in the setting of a cancer antigen ca 125 > = 2 x upper limit of normal uln                                                                                                                              ",1
"17","if brafv600 mutant documented refractory disease to at least one braf inhibitor dabrafenib or vemurafenib and / or a mek inhibitor trametinib or cobimetinib defined as progression of",1,"or clinically evaluable",1,"per response evaluation criteria in solid tumors recist 1 . 1 patients with bone only disease are not eligible note for patients with metastatic disease in the liver tumor burden should not be deemed significant e . g . to no more than 30 of total liver volume as assessed by local review / investigator                                                                                                                                       ",1
"27","patients must have at least one of the following",1,"",NA,"by response evaluation criteria in solid tumors recist version v 1 . 1                                                                                                                                                                                      ",1
"28","assessable disease with a positive bone scan and / or",1,"",NA,"per response evaluation criteria in solid tumors recist 1 . 1                                                                                                                                                                                           ",1
"30","randomized phase ii arms k and l patients must have",1,"",NA,"as per response evaluation criteria in solid tumors recist criteria while on treatment subjects with mapk inhibitor intolerance are eligible if they meet criteria                                                                                                                                                  ",1
"33","all patients must have",1,"",NA,"by response evaluation criteria in solid tumors recist version v 1 . 1 or other tumor specific criteria or disease assessable by physical exam or other methods if not measurable by recist                                                                                                                                                                      ",1
"35","re registration eligibility criteria step 2 patient must have",1,"",NA,"defined by recist v . 1 . 1 or evaluable disease defined as solid and / or cystic abnormalities on radiographic imaging that do not meet recist 1 . 1 definitions for target lesions or ascites and / or pleural effusion that has been pathologically demonstrated to be disease related in the setting of cancer antigen ca 25 > = 2 x upper limit of normal uln                                                                                                                                   ",1
"36","part c patients must have",1,"",NA,"as determined by response evaluation criteria in solid tumors recist version 1 . 1 criteria                                                                                                                                                                                       ",1
"37","part d patients must have",1,"",NA,"documented by ct mri mri or pet / ct the ct from a combined pet / ct may be used to document only non measurable disease unless the scan is of diagnostic quality measurable disease must be assessed by ct within 28 days prior to registration pleural effusions ascites and laboratory parameters are not acceptable as the only evidence of disease non measurable disease must be assessed within 42 days prior to registration all disease must be assessed and documented on the baseline tumor assessment form                                                                                                          ",1
"43","contrast enhanced computed tomography ct scans of the neck chest abdomen and pelvis are required a whole body positron emission tomography pet / ct scan with diagnostic quality images and intravenous iodinated contrast may be used in lieu of a contrast enhanced ct of the neck chest abdomen and pelvis contrast may be omitted if the treating investigator believes that exposure to contrast poses an excessive risk to the patient patients must have",1,"",NA,"by virtue of biopsy resection are also eligible note if patient has measurable disease it must be documented on the lymphoma baseline tumor assessment form all measurable disease must be assessed within 28 days prior to registration patients with non measurable disease with or without measurable disease must have all non measurable disease assessed within 42 days prior to registration                                                                                                                          ",1
"47","patients may have",1,"",NA,"phase i                                                                                                                                                                                                 ",1
"51","re registration",1,"",NA,"must have at least one non nodal lesion                                                                                                                                                                                           ",1
"52","documentation of disease histologic documentation histologically proven intracranial meningioma as documented by central pathology review molecular documentation presence of smo ptch1 or nf2 mutation in tumor sample as documented by central laboratory progressive or residual disease as defined by the following residual",1,"",NA,"by recist criteria for the lead in non randomized portion of part i either measurable or evaluable disease is acceptable for part i randomized portion measurable disease is required                                                                                                                                                                         ",1
"60","patients must also have",1,"",NA,"within 28 days prior to registration or prior to initiation of first induction course for patients with prior therapy                                                                                                                                                                                ",1
"63","patients must have metastatic disease that is",1,"",NA,"recurrence after completion of therapy progressive disease on therapy or refractory disease during induction patients with resistant / refractory soft tissue disease that is not mibg avid or does not demonstrate increased fdg uptake on pet scan must undergo biopsy to document the presence of viable neuroblastoma biopsy is not required for patients who have new site of soft tissue disease radiographic evidence of disease progression regardless of whether progression occurs while receiving therapy or after completion of therapy note patients with elevated catecholamines i . e . > = 2 x mcLn only or bone marrow disease only are not eligible for this study          ",1
"64","disease related criteria patients must have",1,"",NA,"on computed tomography ct scan and / or mri mri of the abdomen and pelvis                                                                                                                                                                             ",1
"65","cohort a patients must have histologically or cytologically confirmed primary desmoplastic melanoma that is deemed resectable the decision to perform surgery on patients must be based on good clinical judgment eligible patients for surgical resection must have disease that in the judgment of the surgeon is deemed completely resectable resulting in free surgical margins patients must have residual disease after initial biopsy which can be",1,"",NA,"baseline measurements and evaluations must be obtained within 4 weeks of registration to the study abnormal positron emission tomography pet scans will not constitute evaluable disease unless verified by a diagnostic quality computed tomography ct scan patients must use the same imaging modality ct or pet / ct throughout the study                                                                                                                                                ",1
"66","contrast enhanced computed tomography ct scans of the chest abdomen and pelvis are required a whole body positron emission tomography pet / ct scan with diagnostic quality images and intravenous iodinated contrast may be used in lieu of a contrast enhanced ct of the chest abdomen and pelvis imaging of the head and neck is required only if the patient has a head / neck primary contrast may be omitted if the treating investigator believes that exposure to contrast poses an excessive risk to the patient if skin lesions are being followed as",1,"",NA,"baseline measurements and evaluations must be obtained within 4 weeks of registration to the study abnormal pet scans will not constitute evaluable disease unless verified by a diagnostic quality ct scan patients must use the same imaging modality ct or pet / ct throughout the study                                                                                                                                              ",1
"68","patients must have a diagnostic quality computed tomography ct scan or mri mri performed within 28 days prior to registration which demonstrates",1,"",NA,"all measurable lesions must be assessed by physical examination computed tomography ct or mri mri scan within 28 days prior to registration tests to assess non measurable disease must be performed within 42 days prior to registration all disease must be assessed and documented on the baseline tumor assessment form response evaluation criteria in solid tumors recist 1 . 1                                                                                                                                    ",1
"69","there must be",1,"",NA,"all measurable lesions must be assessed by physical examination ct or mri scan within 28 days prior to registration tests to assess non measurable disease must be performed within 42 days prior to registration patients whose only measurable disease is within a previous radiation therapy port must demonstrate clearly progressive disease in the opinion of the treating investigator prior to registration all disease must be assessed and documented on the baseline tumor assessment form recist 1 . 1                                                                                                                     ",1
"70","must not have received any prior radiation to any sites of",1,"",NA,"defined as tumor measurable in two perpendicular diameters on mri mri measurements are required for both the solid and cystic components                                                                                                                                                                            ",1
"73","for the expansion cohort only",1,"",NA,"or non measurable disease defined as one or more of the following holding true measurable disease serum m protein > = 1 . 0 g / dl > = 0 . 5 g / dl for iga or igm myeloma and / or urine m protein > = 200 mg / 24 hours and / or involved serum free light chain level > = 10 mg / dl and an abnormal serum free light chain ratio for non measurable disease baseline marrow burden of myeloma of at least 30                                                                                                          ",1
"77","have",1,"",NA,"or non measurable disease after progression on pomalidomide dexamethasone defined as one or more of the following holding true measurable disease serum m protein > = 0 . 5 g / dl and / or urine m protein > = 200 mg / 24 hours and / or involved serum free light chain level > = 10 mg / dl and an abnormal serum free light chain ratio for non measurable disease marrow burden of myeloma of at least 30                                                                                                             ",1
"79","participants must have",1,"",NA,"by computed tomography ct or mri mri                                                                                                                                                                                          ",1
"80","radiologically",1,"",NA,"for part d                                                                                                                                                                                              ",1
"83","part a patients must have either",1,"",NA,"or non measurable disease extent of resection patients with complete resection partial resection or biopsy are eligible                                                                                                                                                                                     ",1
"84","parts a c patients must have either",1,"",NA,"documented by computed tomography ct or mri mri the ct from a combined positron emission tomography pet / ct may be used to document only non measurable disease unless it is of diagnostic quality measurable disease must be assessed within 28 days prior to sub study registration pleural effusions ascites and laboratory parameters are not acceptable as the only evidence of disease non measurable disease must be assessed within 42 days prior to sub study registration all disease must be assessed and documented on the baseline tumor assessment form patients whose only measurable disease is within a previous radiation therapy port must demonstrate clearly progressive disease in the opinion of the treating investigator prior to registration                                                                               ",1
"85","parts b d e patients must have",1,"",NA,"in 2 dimensions on mri mri scan of brain and / or spine to assess preliminary evidence of response                                                                                                                                                                                ",1
"86","disease status part a patients must have either",1,"",NA,"per response evaluation criteria in solid tumors recist 1 . 1 all measurable lesions must be assessed within 28 days prior to registration tests to assess non measurable disease must be performed within 42 days prior to registration all disease must be assessed and documented on the baseline tumor assessment form recist 1 . 1                                                                      ",1
"87","ca 125 only disease without recist 1 . 1",1,"",NA,"all sites of disease must be evaluated within 4 weeks prior to randomization                                                                                                                                                                                      ",1
"7","",NA,"",NA,"based on recist 1 . 1                                                                                                                                                                                             ",1
"8","",NA,"",NA,"by mri mri imaging within 21 days of starting treatment patient must be able to undergo mri of the brain with gadolinium                                                                                                                                                                           ",1
"14","",NA,"",NA,"documented by computed tomography ct or mri mri within 42 days prior to registration the ct from a combined positron emission tomography pet / ct may be used only if it is of diagnostic quality laboratory parameters are not acceptable as the only evidence of disease in order to qualify as measurable measurable disease must be outside previous radiation field all disease must be assessed and documented on the baseline tumor assessment form response evaluation criteria in solid tumors recist 1 . 1                                                                                                             ",1
"15","",NA,"",NA,"per recist 1 . 1 criteria all sites of disease must be evaluated within 4 weeks prior to randomization                                                                                                                                                                                ",1
"16","",NA,"",NA,"residual measurable disease immediately after surgery without requirement for progression for grade i disease progression pre operatively needs to be documented with an increase in size of the measurable primary lesion on imaging by 25 or more bidirectional area the change must occur between scans separated by no more than 12 months residual measurable disease will be defined by bidimensionally measurable lesions with clearly defined margins by mri scans with a minimum diameter of 10 mm in both dimensions progressive measurable disease progression defined as an increase in size of the measurable primary lesion on imaging by 25 or more bidirectional area the change must occur between scans separated by no more than 12 months post radiation patients patients with measurable and progressive meningioma who have received radiation are potentially eligible but need to show evidence of progressive disease after completion of radiation at least 24 weeks must have elapsed from completion of radiation to registration",1
"18","",NA,"",NA,"measurable disease is defined by a bidimensionally measurable main lesion on mri or computed tomography ct images mri preferred with clearly defined margins multifocal disease is allowed                                                                                                                                                                           ",1
"19","",NA,"",NA,"by response evaluation criteria in solid tumors recist 1 . 1 criteria baseline measurements and evaluations of all sites of disease must be obtained within 4 weeks prior to randomization and must be acquired by multiphasic computed tomography ct or contrast mri mri note positron emission tomography pet ct scans are allowed provided the ct portion of the exam is equivalent to a diagnostic ct scan and includes both oral and iv contrast                                                                                                                          ",1
"20","",NA,"",NA,"by response evaluation criteria in solid tumors recist 1 . 1 defined as at least one lesion that can be accurately measured in at least one dimension > = 10 mm > = 1 cm by computed tomography ct imaging or mri mri within 42 days prior to registration the ct from a combined positron emission tomography pet / ct may be used only if it is of diagnostic laboratory parameters are not acceptable as the only evidence of disease                                                                                                                   ",1
"21","",NA,"",NA,"by response evaluation criteria in solid tumors recist 1 . 1 defined as at least one lesion that can be accurately measured in at least one dimension > = 10 mm > = 1 cm by computed tomography ct imaging or mri mri within 28 days prior to start of protocol therapy the ct from a combined positron emission tomography pet / ct may be used if it is of diagnostic quality laboratory parameters are not acceptable as the only evidence of disease                                                                                                                ",1
"23","",NA,"",NA,"in the pancreas computed tomography ct scans or mri mris used to assess measurable disease must have been completed within 28 days prior to registration all disease must be assessed and documented on the baseline tumor assessment form                                                                                                                                                             ",1
"24","",NA,"",NA,"by recist 1 . 1                                                                                                                                                                                                 ",1
