"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency","Blank 4","Frequency","Blank 5","Frequency"
"1","",11,"",8,"had histologic verification of malignancy at original diagnosis or relapse except in patients with intrinsic brain stem",7,"optic pathway gliomas",8,"patients with pineal tumors and elevations of cerebrospinal fluid csf or serum tumor markers including alpha fetoprotein or beta hcg hcg                                                                                                                                                                                                          ",3
"9","diagnosis phase 1 part a solid tumors part a1",1,"with relapsed or refractory solid tumors including central nervous system cns tumors without bone marrow involvement are eligible patients",1,"histologically confirmed solid",4,"that have progressed on standard therapy known to prolong survival",2,"for which standard therapies do not exist                                                                                                                                                                                                                              ",2
"10","diagnosis part a",1,"with recurrent or refractory solid tumors including lymphoma and cns tumors are eligible patients",1,"histologically documented solid",3,"whose disease has progressed on standard therapy that is known to be associated with a survival advantage",1,"for which no standard treatment options exist                                                                                                                                                                                                                               ",2
"11","part a",1,"with recurrent or refractory non cns solid tumors are eligible patients",1,"had histologic verification of malignancy at original diagnosis or relapse except patients with extra cranial germ cell",1,"for which all standard therapy known to prolong survival have failed",1,"have disease for which there is no known standard therapy                                                                                                                                                                                                                     ",1
"12","part b",1,"with recurrent or refractory cns tumors will be eligible and",1,"a histological verification of malignancy at original diagnosis or relapse except in patients with intrinsic brain stem",1,"",1,"histologically confirmed diagnosis of lymphoma or multiple myeloma requiring therapy and meet one of the following criteria patients must have progressed following at least one line of standard systemic therapy and there must not be other approval / standard therapy available that has been shown to prolong overall survival i . e . in a randomized trial against another standard treatment or by comparison to historical controls patients who cannot receive other standard therapy that has been shown to prolong overall survival due to medical issues will be eligible if other eligibility criteria are met if the patient is currently receiving therapy the clinician must have assessed that the current therapy is no longer benefitting the patient prior to enrolling on match regardless of whether it is considered standard or patients for whose disease no standard treatment exists that has been shown to prolong overall survival note no other prior malignancy is allowed except for the following adequately treated basal cell or squamous cell skin cancer in situ cervical cancer adequately treated stage i or ii cancer from which the patient is currently in complete remission any other cancer from which the patient has been disease free for 5 years                                        ",1
"16","eligibility criteria for enrollment onto apec1621sc",1,"with recurrent or refractory solid tumors including central nervous system cns tumors are eligible patients",1,"",NA,"whose disease has progressed on standard therapy",1,"for which there is no available standard therapy                                                                                                                                                                                                                                 ",1
"2","",NA,"with recurrent or refractory solid tumors including central nervous system cns tumors or lymphoma are eligible patients",1,"",NA,"for which standard therapy known to prolong survival has failed in the metastatic setting",1,"patients with pineal tumors and elevations of cerebrospinal fluid csf or serum tumor markers including alpha fetoprotein or beta hcg hcg ewing sarcoma or peripheral primitive neuroectodermal tumor pnet part a2 patients with relapsed or refractory ewing sarcoma or peripheral pnet without bone marrow involvement will be eligible for part a2 if there are no available slots on part a1 these patients will be enrolled at one dose level below the dose level at which patients on part a1 are actively enrolling or at the starting dose level dose level 1 if dose escalation has not yet occurred patients must have had histologic verification of malignancy at original diagnosis or relapse phase 2 part b ewing sarcoma or peripheral pnet patients with relapsed or refractory ewing sarcoma or peripheral pnet are eligible patients must have had histologic verification of malignancy at original diagnosis or relapse phase 2 part c acute lymphoblastic leukemias all patients must have 2nd or greater relapse of pre b all or t cell all patients may not have refractory disease patients with all must have had histologic verification of the malignancy at the most recent relapse including immunophenotyping to confirm diagnosis",1
"3","",NA,"with recurrent or refractory solid tumors including cns tumors are eligible patients",1,"",NA,"who have elevations of serum tumor markers including alpha fetoprotein",1,"patients with pineal tumors and elevations of cerebrospinal fluid csf or serum tumor markers including alpha fetoprotein or beta hcg hcg part b patients with recurrent or refractory high grade glioma world health organization who grade iii / iv including disseminated tumors excluding diffuse intrinsic pontine glioma dipg not requiring surgical resection patients must have had histologic verification of malignancy at original diagnosis or relapse part c patients with recurrent or refractory high grade glioma who grade iii / iv and requiring surgical resection excluding dipg and disseminated tumors who in the opinion of treating physicians are medically stable to receive 3 4 doses of selinexor 8 10 days of treatment before undergoing surgery without compromising the success of the procedure note that if in the opinion of treating physicians current symptoms necessitate surgery before 3 4 doses will be able to be received surgery should not be delayed to administer selinexor and the patient would be ineligible for protocol therapy                                             ",1
"4","",NA,"with recurrent or refractory solid tumors including non hodgkin lymphomas histiocytoses e . g . langerhans cell histiocytosis lch juvenile xanthogranuloma jxg histiocytic sarcoma and central nervous system cns tumors are eligible patients",1,"",NA,"",NA,"beta hcg hcg patients in part a cannot have cns metastases                                                                                                                                                                                                ",1
"5","",NA,"",NA,"",NA,"",NA,"patients with cns germ cell tumors and elevations of cerebrospinal fluid csf or serum tumor markers including alpha fetoprotein or beta hcg                                                                                                                                                                                             ",1
"6","",NA,"",NA,"",NA,"",NA,"in patients with pineal tumors and elevations of cerebrospinal fluid csf or serum tumor markers including alpha fetoprotein or beta hcg hcg                                                                                                                                                                                          ",1
"7","",NA,"",NA,"",NA,"",NA,"patients with pineal tumors and elevations of cerebrospinal fluid csf or serum tumor markers including alpha fetoprotein or beta hcg                                                                                                                                                                    ",1
