"","Blank 1","Frequency","Blank 2","Frequency"
"1","history of",70,"compounds of similar chemical or biologic composition to nivolumab                              ",4
"4","patients with a history of",7,"compounds of similar chemical or biologic composition to selumetinib                   ",3
"2","patients must not have a history of",5,"compounds of similar chemical or biologic composition to mln0128 tak 228                            ",3
"29","known severe hypersensitivity to selumetinib or any excipient of selumetinib or history of",3,"compounds of similar chemical or biologic composition to cediranib or olaparib                            ",3
"34","prior",2,"compounds of similar chemical or biologic composition to ipdr                              ",2
"28","patients with history of",1,"compounds of similar chemical or biologic composition to abt 888 or other agents used in study                       ",1
"52","known sensitivity to or history of",1,"compounds of similar chemical or biologic composition to abt 888 carboplatin paclitaxel or other agents used in study                ",1
"53","history of clinically significant",1,"compounds of similar chemical or biologic composition to veliparib or other agents used in study                        ",1
"3","",NA,"compounds of similar chemical or biologic composition to abt 888 or other agents used in study including cremophor carboplatin paclitaxel cisplatin 5 fluorouracil hydroxyurea or any compounds of similar chemical or biologic composition are not eligible",1
"5","",NA,"compounds of similar chemical or biologic composition to dabrafenib or other agents used in this study including dimethyl sulfoxide dmso              ",1
"6","",NA,"compounds of similar chemical or biologic composition to pomalidomide e . g . lenalidomide thalidomide or other agents used in study                  ",1
"7","",NA,"compounds of similar chemical or biologic composition to ibrutinib or other agents used in study                        ",1
"8","",NA,"compounds of similar chemical or biologic composition to cabozantinib nivolumab ipilimumab or other agents used in study                      ",1
"9","",NA,"compounds of similar chemical or biologic composition to talazoparib bmn 673 or other agents used in study                      ",1
"10","",NA,"compounds of similar chemical or biologic composition to sephb4 hsa or other agents used in study                       ",1
"11","",NA,"compounds of similar chemical or biologic composition to ipilimumab nivolumab or other agents used in study or history of severe hypersensitivity reaction to any monoclonal antibody             ",1
"12","",NA,"compounds of similar chemical or biologic composition to lenalidomide and blinatumomab or other agents used in study                      ",1
"13","",NA,"compounds of similar chemical or biologic composition to dasatinib or ganitumab or other agents used in study                      ",1
"14","",NA,"compounds of similar chemical or biologic composition to selumetinib or other agents used in study                        ",1
"15","",NA,"compounds of similar chemical or biologic composition to other agents used in study                          ",1
"16","",NA,"compounds of similar or biologic composition to inotuzumab ozogamicin or other agents in the study                        ",1
"17","",NA,"compounds of similar chemical or biological composition to other agents used in this study                         ",1
"18","",NA,"compounds of similar chemical or biologic composition to lenalidomide i . e . thalidomide                         ",1
"19","",NA,"compounds of similar chemical or biologic composition to vorinostat                              ",1
"20","",NA,"compounds of similar chemical or biologic composition to romidepsin including cyclic tetrapeptide compounds                          ",1
"21","",NA,"compounds of similar chemical or biologic composition to mln8237 bortezomib or rituximab                           ",1
"22","",NA,"compounds of similar chemical or biologic composition to azd6244                              ",1
"23","",NA,"compounds of similar chemical or biologic composition to cabozantinib xl184                             ",1
