"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency"
"2","total",155,"= < 1 . 5 x institutional upper limit of",57,"uln                                                                                                                                                                        ",46
"23","",31,"= < 1 . 5 x upper limit of",40,"                                                                                                                                                                      ",29
"5","serum",6,"within",19,"uln for age                                                                                                                                                               ",28
"1","serum total",3,"sum of conjugated unconjugated = < 1 . 5 x upper limit of",14,"institutional limits                                                                                                                                                                          ",17
"22","total serum",3,"< 1 . 5 x institutional upper limit of",9,"uln however patients with known gilbert disease who have serum bilirubin level = < 3 x mcLn may be enrolled                                                                                                                                                ",6
"132","direct",3,"= < institutional upper limit of",7,"uln within 14 days prior to registration                                                                                                                                                      ",3
"4","within 14 days prior to registration total",2,"< 1 . 5 x upper limit of",7,"uln for age and                                                                                                                                                                 ",3
"8","obtained within 28 days prior to registration total",2,"= < 1 . 5 times institutional upper limit of",5,"uln except patients with gilbert syndrome who can have total bilirubin < 3 . 0 mg / dl                                                                                                                                                  ",3
"7","registration step 3 ï maintenance patients must have total",1,"= < 1 . 5 times upper limit of",4,"uln if known liver metastases then total bilirubin < 2 . 5 x mcLn                                                                                                                                                  ",2
"11","clinical / laboratory criteria total",1,"= < 2 x upper limit of",4,"uln unless documented gilbertï s syndrome for which bilirubin = < 3 x upper limit of normal uln is permitted obtained within 2 weeks prior to registration                                                                                                                                             ",2
"13","within 28 days prior to registration total",1,"= < 1 . 5 upper limit of",3,"uln except subjects with known gilbertï s syndrome                                                                                                                                                            ",2
"28","treatment",1,"within institutional upper limit of",2,"or > = 1 . 5 x institutional upper limit of normal allowed if direct bilirubin is within normal range                                                                                                                                                ",2
"31","obtained = < 7 days prior to registration total",1,"= < 2 x institutional upper limit of",2,"then the patient will be considered eligible                                                                                                                                                    ",2
"56","inclusion criteria for stratum c total",1,"< 2 x institutional upper limit of",2,"uln within 21 days of registration on study or within 21 days prior to day 1 of chemotherapy post surgery for those patients having started chemotherapy prior to first step registration                                                                                                                                      ",1
"65","recurrent / progressive dipg stratum 1 total",1,"= < 1 . 5 institutional upper limit of",2,"uln unless due to gilbert syndrome within 42 days prior to registration                                                                                                                                                          ",1
"66","non progressed dipg stratum 2 total",1,"= < 1 . 5 x the institutional upper limit of",2,"uln within 28 days prior to sub study registration for patients with liver metastases bilirubin must be = < 5 x uln                                                                                                                                                  ",1
"70","within 28 days prior to administration of study treatment total",1,"= < 1 . 5 x",2,"uln these results must be obtained within 28 days prior to registration                                                                                                                                                    ",1
"71","within less than or equal to 14 days prior to registration total serum",1,"within institutional",2,"uln or = < 3 . 0 x uln with gilbert s syndrome                                                                                                                                                ",1
"72","within 28 days prior to administration of therapy total",1,"= < 1 . 5 x mcLn except subjects with",2,"uln or for documented / suspected gilbertï s disease total bilirubin = < 3 . 0 x uln                                                                                                                                            ",1
"79","patients on part a and part b",1,"= < twice the institutional upper limit of",1,"uln except gilbertï s syndrome who must have a total bilirubin < 3 . 0 mg / dl obtained within 28 days prior to step 2 registration                                                                                                                                         ",1
"85","patients with solid tumors",1,"< 2 . 0 x institutional upper limit of",1,"uln except patients with documented gilbertï s syndrome within 28 days prior to registration                                                                                                                                                      ",1
"91","general inclusion criteria for subprotocols",1,"= < 2 . 0 x institutional upper limit of",1,"uln = < 5 x uln if secondary to lymphoma gilbertï s syndrome or medication related e . g . indinavir tenofovir atazanavir within 28 days prior to registration                                                                                                                                       ",1
