"","Blank 1","Frequency","Blank 2","Frequency"
"36","prior",12,"                                                                                                                                                                                                                                                                                   ",34
"255","prior radiation",5,"chemotherapy with delayed toxicity extensive radiation therapy immunotherapy biologic therapy or vaccine therapy within the last 3 weeks chemotherapy regimens without delayed toxicity within the last 2 weeks preceding the first dose of study treatment                                                                                                                                                                                                                                                       ",3
"274","patients may have received prior radiation",4,"within 14 days prior to registration                                                                                                                                                                                                                                                                                   ",3
"45","ongoing radiation",3,"e . g . birth control pills ovarian hormone replacement therapy patients are eligible if these medications are discontinued prior to randomization                                                                                                                                                                                                                                                                  ",2
"51","prior systemic anti cancer",3,"immunotherapy chemotherapy investigational agent for malignancy or radiation = < 28 days before study registration no treatment with nitrosourea or mitomycin = < 42 days before study registration                                                                                                                                                                                                                                                              ",2
"107","no prior",3,"either with all or with a portion of the neoadjuvant chemotherapy regimen unless medically contraindicated                                                                                                                                                                                                                                                                    ",2
"2","patients must not receive any other anti cancer",2,"is allowed patients must not have received minimal radiation therapy = < 5 of their total marrow volume within 3 weeks prior to the initiation of study treatment otherwise patients must not have received radiation therapy > = 5 of their total marrow volume within 4 weeks prior to the initiation of study treatment patients who have received prior radiation to 50 or more of their total marrow volume will be excluded                                                                                                                                                                                                                    ",2
"6","patients must not have received any prior systemic",2,"or chemotherapy                                                                                                                                                                                                                                                                                          ",2
"27","any continued use of sex hormonal",2,"/ chemotherapy                                                                                                                                                                                                                                                                              ",2
"47","patients who have received any systemic corticosteroid",2,"are not eligible                                                                                                                                                                                                                                                                                  ",2
"48","concurrent anticancer",2,"xrt small port > = 2 weeks                                                                                                                                                                                                                                                       ",2
"61","patients may have received prior hormonal",2,"is permitted while on study                                                                                                                                                                                                                                                                                      ",1
"123","prior / concurrent",2,"cytotoxic biologic radiation or hormonal other than for replacement while on this study except for medications that are prescribed for supportive care but may potentially have an anti cancer effect i . e . megestrol acetate bisphosphonates these medications must have been started 1 month prior to enrollment on this study in addition men receiving treatment for prostate cancer will be maintained at castrate levels of testosterone by continuation of luteinizing releasing hormone agonists                                                                                                                                                                                                            ",1
"134","patients must not be planning to receive concomitant other biologic",2,"and have relapsed less than a year from their last platinum regimen regimens that are used twice for example carboplatin and paclitaxel can be counted as one if a regimen is changed during the course of treatment due to side effect profile or allergic reaction the course of therapy is counted as one regimen for example if docetaxel is substituted for paclitaxel due to a reaction during the initial course of adjuvant therapy this is considered one regimen                                                                                                                                                                                                       ",1
"189","progression on at least one prior systemic chemotherapy for advanced unresectable or metastatic disease prior adjuvant or neoadjuvant",2,"eg radiation therapy biologic agents local therapy embolization radiofrequency ablation laser are not eligible                                                                                                                                                                                                                                                                  ",1
"191","no treatment with biologic",2,"directed at the malignant tumor must be discontinued at least one week prior to registration continuation of hormone replacement therapy is permitted                                                                                                                                                                                                                             ",1
"208","no prior chemotherapy or radiation",2,"chemotherapy or other biologic therapy for lung cancer                                                                                                                                                                                                                                                                              ",1
"213","patients with her2 positive tumors must have received neoadjuvant anti her2",2,"on aall0932 patients receiving prior steroid therapy may be eligible for aall0932                                                                                                                                                                                                                                      ",1
"222","current systemic chemotherapy or radiation",2,"for their breast cancer prior to registration                                                                                                                                                                                                                                                                               ",1
"267","the subject has received radiation",2,"cytotoxic biologic radiation or hormonal other than for replacement while on this study except for medications that are prescribed for supportive care but may potentially have an anti cancer effect i . e . megestrol acetate bisphosphonates in addition men receiving treatment for prostate cancer will be maintained at castrate levels of testosterone by continuation of luteinizing releasing hormone agonists                                                                                                                                                                                                                          ",1
"288","radiation",2,"or for tumors where sorafenib based therapy would be standard therapy phase i                                                                                                                                                                                                                                                            ",1
"311","at least 6 weeks must have elapsed prior to enrollment since the patient received any prior radiation",2,"for relapse or first relapse if immunosuppressive chemotherapy contraindicated primary refractory disease or if persistent disease after first line therapy of relapse or multiply relapsed patients in remission who are at a high risk of relapse or the lymphoma is a second malignancy e . g . a richter s transformation of chronic lymphocytic leukemia cll after failing frontline therapy or group b after autologous or syngeneic stem cell transplant sct as adjuvant therapy                                                                                                                                                                                       ",1
"1","no other experimental",1,"for relapse or first relapse if immunosuppressive chemotherapy contraindicated primary refractory disease or if persistent disease after first line therapy of relapse or multiply relapsed patients in remission who are at a high risk of relapse or the lymphoma is a second malignancy e . g . a richter s transformation of cll after failing frontline therapy or group b after autologous or syngeneic sct as adjuvant therapy                                                                                                                                                                                             ",1
"3","patients must have received < 3 lines of prior",1,"for one month prior to entry in this study                                                                                                                                                                                                                                                                             ",1
"4","patients that have been previously treated with chemotherapy for hepatoblastoma or other hepatoblastoma directed",1,"for at least 1 week prior to entry in this study including rituximab                                                                                                                                                                                                                                                                          ",1
"5","recovery from effects of recent surgery radiotherapy or chemotherapy patients must be entered within 8 weeks after surgery performed for either 1 initial diagnosis staging and / or cytoreduction or 2 if done management of recurrent disease in a chemonaive patient any hormonal",1,"chemotherapy biotherapy or hormonal therapy for this cancer prior to surgery i . e . any neoadjuvant chemotherapy or endocrine therapy is not allowed patients who undergo surgical resection with breast conservation and then are treated with adjuvant systemic therapy are eligible to enroll prior to the start of radiotherapy                                                                                                                                                                                                                                         ",1
"7","with the exception of steroid pretreatment defined below or the administration of intrathecal cytarabine patients must not have received any prior cytotoxic chemotherapy for either the current diagnosis of b all or b lly or for any cancer diagnosed prior to initiation of protocol",1,"hrt = < 4 weeks prior to registration this includes the use of vaginal estrogen therapy                                                                                                                                                                                                                                                                          ",1
"8","patients must not have begun chemotherapy or endocrine",1,"will be allowed as long as the patient meets all other eligibility criteria                                                                                                                                                                                                                                                                      ",1
"9","patients who are able to comply with the anti emetic",1,"or within 28 days prior to initiation of first induction course for patients with prior therapy                                                                                                                                                                                                                                    ",1
"11","rcc patients only tumor progression after receiving standard / approved chemotherapy and / or targeted agent where there is no approved",1,"refractory disease persistent sites of disease after less than a partial response to frontline therapy following a minimum of 4 cycles of induction therapy and patient has never had a relapse / progression persistent disease persistent disease after achieving at least a partial response to frontline therapy after a minimum of 4 cycles of induction therapy and patient has never had a relapse / progression                                                                                                                                                                                                     ",1
"12","first line advanced hcc i . e . no prior systemic",1,"prior to start of protocol therapy                                                                                                                                                                                                                                                                             ",1
"13","procurement diagnosis of hodgkinï s or non hodgkinï s lymphoma group a with active disease in second or subsequent relapse in first relapse for indolent lymphoma after first line",1,"regimens for example from intraperitoneal to intravenous therapy for reasons other than progression will count as 1 prior therapy bevacizumab and other ï targetedï agents will count in the total number of prior regimens vaccine therapies will not count in the total of prior therapies                                                                                                                                                                                                                              ",1
"14","treatment diagnosis of hodgkinï s or non hodgkinï s lymphoma group a with active disease in second or subsequent relapse in first relapse for indolent lymphoma after first line",1,"within 7 calendar days of registration                                                                                                                                                                                                                                                                                     ",1
"15","treatment patients should have been off other investigational",1,"if a test that is repeated after registration and prior to therapy is outside the limits for eligibility it must be rechecked within 48 hours prior to the start of therapy if laboratory values still fail to meet eligibility criteria the patient may not receive protocol therapy                                                                                                                                                                                                                                ",1
"16","treatment patients should have been off conventional",1,"i . e . definitive surgery and radiation therapy and adjuvant chemotherapy for breast cancer prior to registration in addition any prior local therapy and adjuvant chemotherapy should be completed prior to participant completion of baseline patient reported outcomes pro instruments i . e . health assessment questionnaire haq promis physical function functional assessment of cancer therapy fact breast and endocrine symptoms es etc . and collection of optional blood for banking for future research                                                                                                                                                                                                             ",1
"17","treatment including radiation",1,"is not allowed                                                                                                                                                                                                                                                                  ",1
"18","patients on hormone replacement",1,"with exemestane letrozole or anastrozole as preoperative / adjuvant therapy or for prevention of breast cancer prior tamoxifen is allowed                                                                                                                                                                                                                                                                   ",1
"19","no concomitant anti cancer chemotherapy or other systemic drugs palliative radiation",1,"chemotherapy immunotherapy or therapy with biologic agent including immunotoxins immunoconjugates antisense peptide receptor antagonists interferons interleukins tumor infiltrating lymphocytes til lymphokine activated killer lak or gene therapy or hormonal therapy for their brain tumor glucocorticoid therapy is allowed                                                                                                                                                                                                                                         ",1
