"","Blank 1","Frequency","Blank 2","Frequency"
"88","ability to understand and the willingness to sign a written",99,"document                                                                                                                                      ",106
"38","all patients and / or their parents or legal guardians must sign a written",22,"                                                                                                                                             ",51
"61","all patients and / or their parents or legally authorized representatives must sign a written",15,"assent when appropriate will be obtained according to institutional guidelines                                                                                                                         ",17
"87","the patient or a legally authorized representative must provide study specific",10,"prior to study entry                                                                                                                                        ",16
"1","patients must have signed an approved",9,"and authorization permitting release of personal health information                                                                                                                                   ",8
"226","patient must provide study specific",9,"document according to institutional guidelines                                                                                                                   ",5
"204","patients must be able to provide written",6,"prior to step 1 registration                                                                                                                                       ",3
"224","patients must provide study specific",4,"form                                                                                                                                          ",2
"12","diagnostic or laboratory studies performed exclusively to determine eligibility for this trial must only be done after obtaining written",3,"for themselves                                                                                                                       ",2
"26","written",3,"document inclusive of assent where appropriate according to institutional guidelines                                                                                                                    ",2
"141","ability to understand and willingness to sign a written",3,"prior to study entry and for patients treated in the united states u . s . authorization permitting release of personal health information                                                                                                                    ",2
"220","ability of subject or legally authorized representative lar to understand and the willingness to sign a written",3,"prior to registration                                                                                                                                           ",2
"239","patient must be able to provide study specific",3,"and health insurance portability and accountability act hipaa authorization                                                                                                                                  ",1
"4","signed",2,"indicating their understanding of the investigational nature and the risks of this study when appropriate pediatric patients will be included in all discussions in order to obtain verbal assent                                                                                           ",1
"17","ability to provide",2,"according to institutional guidelines must be obtained                                                                                                                                         ",1
"20","the patient or parent / guardian is able to understand the consent and is willing to sign a written",2,"/ assent                                                                                                                                          ",1
"85","the patient must provide study specific",2,"or is likely to interfere with the ability to comply with the protocol stipulations                                                                                                                         ",1
"203","inability to provide",2,"by subject age > = 18 years or by parent / guardian subject age < 18 years information will be provided to potential subjects and their parents / guardians as appropriate by oral discussion with opportunity for question and answer and the written informed consent document subjects less than 18 years of age capable of giving assent will be included in these discussions and will be asked for written assent on the same document as the parents / guardians give consent if feasible both parents or guardians will be included in these discussions and will be asked to sign the written consent document if a second parent or guardian is unavailable this will be explained in writing on the written consent document if subjects age 18 years or older are unable to provide informed consent then they will not be enrolled in this study",1
"230","signed study specific",2,"from all patients or their legal guardians if the patient is < 18 years old when appropriate pediatric patients will be included in all discussions this can be accomplished through one of the following mechanisms a the nci pob screening protocol b an institutional review board irb approved institutional screening protocol or c the study specific protocol documentation of the informed consent for screening will be maintained in the patientï s research chart studies or procedures that were performed for clinical indications not exclusively to determine eligibility may be used for baseline values even if the studies were done before informed consent was obtained                      ",1
"2","ability to give",1,"or if the oncology physician determines the patient to not have decision making capacity a patient designated health care proxy or authorized representative per institutional policies must sign consent by the baseline visit if the participant is found to be impaired on the blessed orientation memory concentration test bomc during screening they must have a health care proxy or authorized representative to be eligible to enroll                                                                            ",1
"3","all patients or their legal guardians if the patient is < 18 years old or durable power of attorney dpa must sign a document of",1,"or assessment of response or anticipated toxicities this includes uncontrolled intercurrent illness including but not limited to ongoing or active infection                                                                                                         ",1
"5","able and willing to sign",1,"all subjects must sign an informed consent form indicating their understanding of the investigational nature and risks of the study before any protocol related studies are performed                                                                                                                   ",1
