"","Blank 1","Frequency","Blank 2","Frequency"
"1","",144,"within normal institutional limits or creatinine clearance > = 60 ml / min / 1 . 73 m 2 for patients with creatinine levels above institutional normal                                                                                                                                                                                                                                                                                                                                                        ",9
"9","serum",65,"= < 1 . 5 mg / dl or calculated creatinine clearance cockcroft gault formula > = 50 ml / min or 24 hour urine creatinine clearance > = 50 ml / min                                                                                                                                                                                                                                                                                                                                                       ",6
"87","calculated",9,"clearance or radioisotope gfr gfr > = 70 ml / min / 1 . 73 m 2 or                                                                                                                                                                                                                                                                                                                                                                       ",6
"90","calculated calc .",4,"= < 1 . 5 x mcLn                                                                                                                                                                                                                                                                                                                                                                                  ",5
"262","a serum",3,"= < 1 . 5 x upper limit of normal uln                                                                                                                                                                                                                                                                                                                                                                              ",5
"3","patients must have serum",2,"= < 2 . 0 mg / dl                                                                                                                                                                                                                                                                                                                                                                        ",5
"32","treatment",2,"clearance > = 50 ml / min                                                                                                                                                                                                                                                                                                                                                                                  ",4
"109","estimated",2,"= < institutional upper limit of normal or creatinine clearance > = 60 ml / min / 1 . 73 m 2 for patients with creatinine levels above institutional normal                                                                                                                                                                                                                                                                                                                                                           ",4
"13","obtained = < 7 days prior to registration",1,"= < 1 . 5 x mcLn or creatinine clearance crcl > = 50 ml / min if using the cockcroft gault formula                                                                                                                                                                                                                                                                                                                                                                 ",4
"20","serum or plasma",1,"clearance > = 30 ml / min / 1 . 73 m 2 by cockcroft gault                                                                                                                                                                                                                                                                                                                                                                         ",4
"50","within 14 days prior to registration",1,"= < 1 . 5 x mcLn or                                                                                                                                                                                                                                                                                                                                                                                 ",3
"53","if the patient is to be treated with cisplatin the serum",1,"= < 1 . 5 mg / dl within 14 days prior to registration                                                                                                                                                                                                                                                                                                                                                                       ",3
"60","obtained = < 48 hours prior to registration serum",1,"= < 1 . 5 x institutional mcLn or creatinine clearance > = 60 ml / min / 1 . 73 m 2 for patients with creatinine levels > = 1 . 5 mg / dl                                                                                                                                                                                                                                                                                                                                                     ",3
"66","registration step 3 ï maintenance patients must have serum",1,"clearance > = 60 ml / min / 1 . 73 m 2 for patients with creatinine levels above institutional normal                                                                                                                                                                                                                                                                                                                                                                    ",3
"67","patients with serum",1,"within normal institutional limits or                                                                                                                                                                                                                                                                                                                                                                                    ",2
"68","within 14 days of registration serum",1,"= < grade 1                                                                                                                                                                                                                                                                                                                                                                                    ",2
"73","patients must have adequate renal function with serum",1,"= < 1 . 5 x institutional mcLn                                                                                                                                                                                                                                                                                                                                                                         ",2
"74","within 14 days prior to registration serum",1,"= < 2 x mcLn                                                                                                                                                                                                                                                                                                                                                                                   ",2
"75","within 28 days prior to registration serum",1,"of = < 1 . 5 x the upper limit of normal                                                                                                                                                                                                                                                                                                                                                                            ",2
"82","patients must have a serum",1,"= < 1 . 5 x upper limit of normal uln or                                                                                                                                                                                                                                                                                                                                                                             ",2
"83","registration 2 prior to consolidation chemotherapy patients must have a serum",1,"clearance > = 30 ml / min calculated utilizing the cockcroft gault formula or 24 hour urine collection                                                                                                                                                                                                                                                                                                                                                                    ",2
"88","randomized phase ii arms k and l calculated",1,"= < 1 . 5 mg / dl or calculated creatinine clearance cockcroft gault formula > = 50 ml / min                                                                                                                                                                                                                                                                                                                                                                   ",2
"91","re registration eligibility criteria step 2 calc .",1,"= < 1 . 5 mg / dl or creatinine clearance > = 50 ml / min / 1 . 73 m 2                                                                                                                                                                                                                                                                                                                                                                 ",2
"102","eligibility criteria for randomization step 1 calculated",1,"clearance > = 60 ml / min / 1 . 73 m 2                                                                                                                                                                                                                                                                                                                                                                            ",2
"104","patients must have a",1,"= < 1 . 5 x institutional upper limit of normal or creatinine clearance > = 60 ml / min / 1 . 73 m 2 for patients with creatinine levels above institutional normal                                                                                                                                                                                                                                                                                                                                                       ",2
"111","within 28 days prior to registration",1,"< 1 . 5 x institutional upper limit of normal or creatinine clearance > = 60 ml / min for patients with creatinine levels > = 1 . 5 x institutional upper limit of normal                                                                                                                                                                                                                                                                                                                                                   ",2
"112","within 28 days prior to administration of study treatment",1,"clearance > = 50 ml / min / 1 . 73 m 2 for patients with creatinine levels above institutional normal                                                                                                                                                                                                                                                                                                                                                                    ",2
"121","step i calculated",1,"clearance > = 45 ml / min / 1 . 73 m 2 for patients with creatinine levels above institutional normal                                                                                                                                                                                                                                                                                                                                                   ",2
"130","for patients who have",1,"within normal institutional limits or creatinine clearance > = 50 ml / min / 1 . 73 m 2 for patients with creatinine levels above institutional normal                                                                                                                                                                                                                                                                                                                                                              ",2
"131","obtained within 28 days prior to registration serum",1,"clearance or radioisotope gfr gfr > = 70 ml / min / 1 . 73 m 2                                                                                                                                                                                                                                                                                                                                                                        ",2
"135","adequate renal function determined within 6 weeks prior to randomization defined as the most recent serum",1,"= < 1 . 5 x institutional mcLn and creatinine clearance > = 60 ml / min note creatinine clearance must be calculated using the cockcroft gault equation                                                                                                                                                                                                                                                                                                                                                            ",2
"141","clinical / laboratory criteria serum",1,"based on age / gender as follows age 1 to < 2 years maximum serum creatinine 0 . 6 mg / dl for male and 0 . 6 mg / dl for female age 2 to < 6 years maximum serum creatinine 0 . 8 mg / dl for male and 0 . 8 mg / dl for female age 6 to < 10 years maximum serum creatinine 1 mg / dl for male and 1 mg / dl for female age 10 to < 13 years maximum serum creatinine 1 . 2 mg / dl for male and 1 . 2 mg / dl for female age 13 to < 16 years maximum serum creatinine 1 . 5 mg / dl for male and 1 . 4 mg / dl for female age > = 16 years maximum serum creatinine 1 . 7 mg / dl for male and 1 . 4 mg / dl for female                                                                                                                                                                                                                         ",2
"145","within 28 days prior to administration of therapy",1,"clearance or radioisotope gfr gfr > = 70 ml / min / 1 . 73 m 2 or a serum creatinine based on age / gender as follows age 1 to < 2 years maximum serum creatinine mg / dl male 0 . 6 female 0 . 6 age 2 to < 6 years maximum serum creatinine mg / dl male 0 . 8 female 0 . 8 age 6 to < 10 years maximum serum creatinine mg / dl male 1 female 1 age 10 to < 13 years maximum serum creatinine mg / dl male 1 . 2 female 1 . 2 age 13 to < 16 years maximum serum creatinine mg / dl male 1 . 5 female 1 . 4 age > = 16 years maximum serum creatinine mg / dl male 1 . 7 female 1 . 4                                                                                                                                                                                                                                          ",2
"151","patients must have adequate renal function as documented by a calculated",1,"no greater than the institutional uln                                                                                                                                                                                                                                                                                                                                                                                   ",1
"155","obtained within 30 days of registration",1,"= < 2 x institutional uln                                                                                                                                                                                                                                                                                                                                                                                   ",1
"167","tumor biopsy sequencing",1,"= < 2 x institutional uln uln within 7 days prior to registration                                                                                                                                                                                                                                                                                                                                                                        ",1
