"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency"
"5","",6,"",33,"or inducers of cytochrome p450 family 3 subfamily a cyp3a or cytochrome p450 family 2 subfamily c polypeptide 8 cyp2c8 are ineligible current use of or intended ongoing treatment with herbal remedies e . g . st . johnï s wort or strong inhibitors or inducers of p glycoprotein pgp or breast cancer resistance protein 1 bcrp1 should also be excluded                                                                                                                                                                                                                                                                                                                    ",2
"18","participants receiving any medications or substances that are",5,"or moderate",4,"is not allowed patients must discontinue the drug > = 14 days prior to registration                                                                                                                                                                                                                                                                                                                                                                   ",2
"23","concomitant administration with",5,"cyp3a4",4,"or inducers of cyp3a4 should be avoided it is important to regularly consult a frequently updated medical reference for a list of drugs to avoid or minimize use of                                                                                                                                                                                                                                                                                                                                                               ",2
"21","chronic concomitant treatment with",4,"cyp3a",4,"within 7 days prior to enrollment moderate inducers or inhibitors of cyp3a4 and p gp should also be avoided during abi 009 treatment if possible                                                                                                                                                                                                                                                                                                                                                        ",1
"8","current use of a prohibited medication patients receiving any medications or substances that are",3,"cytochrome p450 family 3 subfamily a polypeptide 4 cyp3a4",2,"p gp inducers or breast cancer resistance protein bcrp inhibitors                                                                                                                                                                                                                                                                                                                                                                    ",1
"9","patients who are currently receiving drugs that are",3,"inducers or",2,"of cytochrome p450 family 3 subfamily a polypeptide 4 cytochrome p450 3a4 include azole antifungals such as fluconazole voriconazole itraconazole ketoconazole and strong inducers include drugs such as rifampin phenytoin phenobarbitol carbamazepine and st . johnï s wort the use of these drugs should be avoided with vincristine vincristine sulfate                                                                                                                                                                                                                                                                                                                                            ",1
"12","subjects taking",3,"inducers of cytochrome p450 cyp 3a4 or cyp1a2 or strong",2,"and / or cyp3a4 inducers                                                                                                                                                                                                                                                                                                                                                            ",1
"15","patients receiving any medications or substances that are",3,"cyp3a4 or p glycoprotein p gp inducers or",1,"and inducers of cytochrome p450 family 3 subfamily a polypeptide 4 cyp3a4 should be avoided whenever possible or switched to alternatives subjects requiring chronic concomitant treatment of strong cyp3a4 inducers e . g . dexamethasone phenytoin carbamazepine rifampin rifabutin rifapentine phenobarbital and st . johnï s wort are not eligible for this study                                                                                                                                                                                                                                                                                                                                          ",1
"2","patients must not be taking nor plan to take while on protocol treatment",2,"p glycoprotein p gp",1,"or inducers of cytochrome p450 family 3 subfamily a cyp3a or cytochrome p450 family 2 subfamily c polypeptide 8 cyp2c8 patients must not be planning to use herbal remedies e . g . st . johnï s wort or strong inhibitors or inducers of p glycoprotein pgp or breast cancer resistance protein 1 bcrp1                                                                                                                                                                                                                                                                                                                         ",1
"10","concomitant medications chronic concomitant treatment with",2,"and moderate cytochrome p450 system inducers or",1,"are ineligible every effort would be made to switch patients off medications that are known substrates of cyp450 if it is medically important for the patient to remain on such medications these patients can still be eligible to participate based on pi discretion                                                                                                                                                                                                                                                                                  ",1
"53","concomitant use of known",2,"cytochrome p450 family 3 subfamily a polypeptide 4 cyp3a4 and cytochrome p450 family 2 subfamily c polypeptide 19 cyp2c19",1,"and / or inducers of cytochrome p450 family 3 subfamily a polypeptide 4 cyp3a4 or sensitive cyp3a4 substrates and cyp3a4 substrates with a narrow therapeutic range are not eligible the use of aprepitant as an antiemetic is prohibited caution should be exercised with concomitant administration of azd1755 mk 1775 and agents that are sensitive substrates of cytochrome p450 family 2 subfamily c polypeptide 8 cyp2c8 2c9 and 2c19 or substrates of this enzyme with narrow therapeutic ranges as well as agents that are inhibitors or substrates of permeability glycoprotein p gp                                                                                                                                                                                                                                                                                          ",1
"1","patients must not be receiving any",1,"and moderate",1,"of cytochrome p450 family 3 subfamily a polypeptide 4 cyp3a4 is not allowed on this study patients on strong cyp3a4 inhibitors must discontinue the drug for 14 days prior to registration on the study chronic concomitant treatment with strong cyp3a4 inducers is not allowed patients must discontinue the drug 14 days prior to the start of study treatment patients requiring anticoagulation must be on stable dose of medication prior to registration                                                                                                                                                                                                                                                                                                                  ",1
"3","selected",1,"inducers /",1,"of cytochrome p450 family 3 subfamily a polypeptide 4 cyp3a4                                                                                                                                                                                                                                                                                                                                                                            ",1
"4","patients must not have taken within 14 days prior to registration be taking nor plan to take while on protocol treatment",1,"cytochrome p450 3a4 cyp3a4 or p450 3a5 cyp3a5 cytochrome p450 2c19 cyp2c19 and cytochrome p450 2c9 cyp 2c9",1,"and / or inducers should be considered with caution alternative treatments that are less likely to affect mln0128 metabolism if available should be considered if a subject requires treatment with 1 or more of the strong cyp3a4 and cyp2c19 inhibitors and / or inducers the principal investigator should be consulted                                                                                                                                                                                                                                                                                                                        ",1
"6","at the time of registration patients must not be receiving any medications or substances that are",1,"cytochrome p450 family 2 subfamily c polypeptide 8 cyp2c8",1,"cyp2c8 inducers cytochrome p450 family 3 subfamily a polypeptide 4 cyp3a4 strong and moderate inhibitors cyp3a4 inducers cyp3a4 sensitive substrates exclusions the following supportive care medications will be allowed will be allowed as they are routinely administered with carboplatin and paclitaxel and have no potential interaction with talazoparib bmn 673 dexamethasone aprepitant fosaprepitant and ondansetron oral pain medications such as hydrocodone oxycodone taken on an as needed basis are also permitted transdermal products designed for systemic delivery must be assessed for interaction potential topical products not designed to provide systemic delivery including inhaled products ophthalmologic products and transvaginal preparations do not need to be considered other contraindicated medications per above are not allowed unless close monitoring with labs or drug levels or by symptoms with subsequent dose adjustments is feasible patients taking these concurrent medications are ineligible unless they can discontinue or switched to alternative medications prior to initiation of the study drug at least 5 half lives use with caution cyp2c8 sensitive substrates cyp2c8 weak inhibitors cyp3a4 non sensitive substrates cyp3a4 weak inhibitors these agents may be permitted if discontinuation is not feasible and no acceptable alternatives are available as determined by the treating physician however caution should be used consider monitoring with labs or drug levels or by symptoms and consider dose adjustments of the medication                                                                                                                                              ",1
"7","treatment eligibility of subjects receiving any medications or substances known to affect or with the potential to affect the activity or pharmacokinetics i . e . cytochrome p450 family 3 subfamily a polypeptide 4 cyp450 p glycoprotein pgp of any of the study drugs will be determined following review of their cases by the principal investigator pi patients on",1,"cyp2c8 and cyp3a4",1,"or substrates of cytochrome p450 family 3 subfamily a polypeptide 4 cyp3a4 / 5 cytochrome p450 family 2 subfamily c polypeptide 9 cyp2c9 cyp2c8 or cyp2c19 are ineligible as part of the enrollment / informed consent procedures the patient will be counseled on the risk of interactions with other agents and what to do if new medications need to be prescribed or if the patient is considering a new over the counter medicine or herbal product                                                                                                                                                                                                                                                                                                         ",1
"11","patients who are receiving drugs that are",1,"and moderate cyp450 inducers and",1,"or inducers of cytochrome p450 family 3 subfamily a polypeptide 4 cyp3a4 as part of the enrollment / informed consent procedures the patient will be counseled on the risk of interactions with other agents and what to do if new medications need to be prescribed or if the patient is considering a new over the counter medicine or herbal product if any of these agents have been used patients must be off them for > = 2 weeks before starting study treatment                                                                                                                                                                                                                                                                                                   ",1
