"","Blank 1","Frequency","Blank 2","Frequency"
"5","history of abdominal",4,"gastrointestinal perforation or intra abdominal abscess within 6 months prior to day 1                                                                                                                                                                                                                                                                                                                                                                                                                                            ",2
"3","gastrointestinal disorders particularly those associated with a high risk of perforation or",2,"will be considered eligible if the fistula was surgically repaired or has healed there has been no evidence of fistula for at least 6 months and patient is deemed to be at low risk of recurrent fistula                                                                                                                                                                                                                                                                                                                                                                                                             ",2
"19","history of gastrointestinal perforation patients with a history of abdominal",2,"formation including any of the following within 28 days before the first dose of study treatment intra abdominal tumor / metastases invading gi mucosa active peptic mcLcer disease inflammatory bowel disease including mcLcerative colitis and crohnï s disease diverticulitis cholecystitis symptomatic cholangitis or appendicitis malabsorption syndrome any of the following within 6 months before the first dose of study treatment abdominal fistula gastrointestinal perforation bowel obstruction or gastric outlet obstruction intra abdominal abscess note complete resolution of an intra abdominal abscess must be confirmed prior to initiating treatment with cabozantinib even if the abscess occurred more than 6 months before the first dose of study treatment other disorders associated with a high risk of fistula formation including percutaneous endoscopic gastrostomy peg tube placement within 3 months before the first dose of study therapy other clinically significant disorders such as serious non healing wound / ulcer / bone fracture within 28 days before the first dose of study treatment history of organ transplant including allogeneic bone marrow transplant concurrent uncompensated hypothyroidism or thyroid dysfunction within 7 days before the first dose of study treatment history of major surgery as follows major surgery within 3 months of the first dose of cabozantinib if there were no wound healing complications or within 6 months of the first dose of cabozantinib if there were wound complications minor surgery within 1 month of the first dose of cabozantinib if there were no wound healing complications or within 3 months of the first dose of cabozantinib if there were wound complications in addition complete wound healing from prior surgery must be confirmed at least 28 days before the first dose of cabozantinib irrespective of the time from surgery           ",1
"1","the subject has uncontrolled significant intercurrent or recent illness including but not limited to the following conditions cardiovascular disorders including congestive heart failure chf new york heart association nyha class iii moderate or class iv severe at the time of screening concurrent uncontrolled hypertension defined as sustained bp > = 140 mm hg systolic or > = 90 mm hg diastolic despite optimal antihypertensive treatment within 7 days of the first dose of study treatment any history of congenital long qt syndrome any of the following within 6 months before the first dose of study treatment unstable angina pectoris clinically significant cardiac arrhythmias stroke including transient ischemic attack tia or other ischemic event myocardial infarction thromboembolic event requiring therapeutic anticoagulation note subjects with a venous filter e . g . vena cava filter are not eligible for this study gastrointestinal disorders particularly those associated with a high risk of perforation or",1,"formation including any of the following within 28 days before the first dose of study treatment active peptic mcLcer disease inflammatory bowel disease including mcLcerative colitis and crohnï s disease diverticulitis cholecystitis symptomatic cholangitis or appendicitis malabsorption syndrome any of the following within 6 months before the first dose of study treatment abdominal fistula gastrointestinal perforation bowel obstruction or gastric outlet obstruction intra abdominal abscess note complete resolution of an intra abdominal abscess must be confirmed prior to initiating treatment with cabozantinib even if the abscess occurred more than 6 months before the first dose of study treatment                                                                                                                                                                                                   ",1
"2","the participant has uncontrolled significant intercurrent or recent illness including but not limited to the following conditions cardiovascular disorders including congestive heart failure chf new york heart association nyha class iii moderate or class iv severe at the time of screening concurrent uncontrolled hypertension defined as sustained blood pressure bp > = 140 mmhg systolic or > = 90 mmhg diastolic despite optimal antihypertensive treatment within 7 days of the first dose of study treatment any history of congenital long qt syndrome any of the following within 6 months before the first dose of study treatment unstable angina pectoris clinically significant cardiac arrhythmias stroke including transient ischemic attack tia or other ischemic event myocardial infarction thromboembolic event requiring therapeutic anticoagulation note participants with a venous filter e . g . vena cava filter are not eligible for this study gastrointestinal disorders particularly those associated with a high risk of perforation or",1,"formation including any of the following within 28 days before the first dose of study treatment intra abdominal tumor / metastases invading gi mucosa active peptic mcLcer disease inflammatory bowel disease including mcLcerative colitis and crohnï s disease diverticulitis cholecystitis symptomatic cholangitis or appendicitis malabsorption syndrome any of the following within 6 months before the first dose of study treatment abdominal fistula gastrointestinal perforation bowel obstruction or gastric outlet obstruction intra abdominal abscess note complete resolution of an intra abdominal abscess must be confirmed prior to initiating treatment with cabozantinib even if the abscess occurred more than 6 months before the first dose of study treatment                                                                                                                                                                                                                                                                                                                                      ",1
"4","patients with any of the following conditions are excluded serious or non healing wound mcLcer history of abdominal",1,"gastrointestinal perforation or intra abdominal abscess within 28 days of treatment coronary / peripheral artery bypass graft or stenting within the past 12 months or cerebrovascular accident cva or transient ischemic attack within the past 12 months                                                                                                                                                                                                                                                                                                                                                                                                     ",1
"7","subjects with any condition that may increase the risk of gastrointestinal bleeding or gastrointestinal perforation including active peptic mcLcer disease known intraluminal metastatic lesions inflammatory bowel disease e . g . mcLcerative colitis crohnï s disease or other gastrointestinal conditions which increase the risk of perforation history of abdominal",1,"gastrointestinal perforation or intra abdominal abscess within 28 days or manifestations of malabsorption due to prior gastrointestinal gi surgery or gi disease that may alter the absorption of mln0128 tak 228                                                                                                                                                                                                                                                                                                                                                                                                                          ",1
"8","the subject has uncontrolled significant intercurrent or recent illness including but not limited to the following conditions cardiovascular disorders including congestive heart failure chf new york heart association nyha class iii moderate or class iv severe at the time of screening concurrent uncontrolled hypertension defined as sustained blood pressure bp > = 150 mm hg systolic or > = 90 mm hg diastolic despite optimal antihypertensive treatment within 7 days of the first dose of study treatment any history of congenital long qt syndrome any of the following within 6 months before the first dose of study treatment unstable angina pectoris clinically significant cardiac arrhythmias stroke including transient ischemic attack tia or other ischemic event myocardial infarction thromboembolic event requiring therapeutic anticoagulation note subjects with a venous filter e . g . vena cava filter are not eligible for this study gastrointestinal disorders particularly those associated with a high risk of perforation or",1,"gastrointestinal perforation or intra abdominal abscess within 28 days prior to beginning study treatment                                                                                                                                                                                                                                                                                                                                                                                             ",1
"10","patients who have had evidence of active or acute diverticulitis intra abdominal abscess gastrointestinal gi obstruction",1,"formation including any of the following within 28 days before the first dose of study treatment intra abdominal tumor / metastases invading gi mucosa any evidence of active peptic mcLcer disease patients must be completely recovered any evidence of inflammatory bowel disease including mcLcerative colitis and crohnï s disease diverticulitis cholecystitis symptomatic cholangitis or appendicitis patients must be completely recovered from these conditions malabsorption syndrome any of the following within 6 months before the first dose of study treatment abdominal fistula gastrointestinal perforation bowel obstruction or gastric outlet obstruction intra abdominal abscess note complete resolution of an intra abdominal abscess must be confirmed prior to initiating treatment with cabozantinib even if the abscess occurred more than 6 months before the first dose of study treatment other disorders associated with a high risk of fistula formation including percutaneous endoscopic gastrostomy peg tube placement within 3 months before the first dose of study therapy other clinically significant disorders such as active infection requiring systemic treatment within 28 days before the first dose of study treatment serious non healing wound / ulcer / bone fracture within 28 days before the first dose of study treatment history of organ transplant concurrent uncompensated hypothyroidism or thyroid dysfunction within 7 days before the first dose of study treatment history of major surgery as follows major surgery within 12 weeks before the first dose of study treatment complete wound healing from major surgery must have occurred 1 month before the first dose of study treatment minor surgery including uncomplicated tooth extractions within 28 days before the first dose of study treatment with complete wound healing at least 10 days before the first dose of study treatment subjects with clinically relevant ongoing complications from prior surgery are not eligible",1
"11","patients who have a history of",1,"formation including any of the following that have not resolved within 28 days before the first dose of study treatment intra abdominal tumor / metastases invading gi mucosa active peptic mcLcer disease diverticulitis cholecystitis symptomatic cholangitis or appendicitis malabsorption syndrome any of the following within 6 months before the first dose of study treatment abdominal fistula gastrointestinal perforation bowel obstruction or gastric outlet obstruction intra abdominal abscess note complete resolution of an intra abdominal abscess must be confirmed prior to initiating treatment with cabozantinib even if the abscess occurred more than 6 months before the first dose of study treatment                                                                                                                                                                                                                                                                                                                                            ",1
