"","Blank 1","Frequency","Blank 2","Frequency"
"7","adequately controlled",4,"bp < 140 mmhg systolic and < 90 mmhg diastolic taken in the clinic setting by a medical professional within 2 weeks prior to starting study patients with hypertension may be managed with up to a maximum of 3 antihypertensive medications patients who are on 3 antihypertensive medications are highly recommended to be followed by a cardiologist or blood pressure specialist for management of bp while on protocol                                                                    ",2
"8","a",3,"bp no greater than 140 mmhg systolic and 90 mmhg diastolic for eligibility initiation or adjustment of bp medication is permitted prior to study entry provided that the average of three bp readings at the time of enrollment is = < 140 / 90 mmhg                                                                                          ",1
"33","patients must be willing and able to check and record daily",3,"bp no greater than 140 mmhg systolic and 90 mmhg diastolic for eligibility initiation or adjustment of bp medication is permitted prior to study entry provided that the bp reading prior to enrollment is no greater than 140 / 90 mmhg                                                                                              ",1
"17","inadequately controlled hypertension systolic",2,"bp > = 160 and or diastolic bp > = 100 that cannot be controlled with medication prior to registration                                                                                                               ",1
"27","significant active cardiovascular or pulmonary disease at the time of study entry including uncontrolled high",2,"bp > = 150 / 100 mmhg or systolic s bp > = 180 mmhg when diastolic d bp < 90 mmhg on at least 2 repeated determinations on separate days within 3 months prior to study enrollment                                                                                               ",1
"42","patients with clinically significant cardiovascular disease are excluded inadequately controlled hypertension htn systolic",2,"bp > = 150 mmhg or diastolic bp > = 90 mmhg patients with initial bp elevations are eligible if initiation or adjustment of bp medication lowers pressure to meet entry criteria                                                                                                    ",1
"1","subjects must have",1,"bp with a bp no greater than 140 mmhg systolic and 90 mmhg diastolic for eligibility patients must have a bp of = < 140 / 90 mmhg taken in the clinic setting by a medical professional within 2 weeks prior to starting study patients with hypertension may be managed with up to a maximum of three antihypertensive medications it is strongly recommended that patients who are on three antihypertensive medications be followed by a cardiologist or blood pressure specialist for management of blood pressure while on protocol                                             ",1
"2","patients must have",1,"systolic blood pressure sbp = < 140 diastolic blood pressure dbp = < 90 mmhg on maximum of three antihypertensive medications patients must have a bp of = < 140 / 90 mmhg taken in the clinic setting by a medical professional within 2 weeks prior to starting study it is strongly recommended that patients who are on three antihypertensive medications must be actively followed by a cardiologist or a primary care physician for management of bp while on protocol patients must be willing and able to check and record daily blood pressure readings blood pressure cuffs will be provided to patients randomized to cediranib alone and the combination of olaparib and cediranib arms                      ",1
"3","no grade 3 or 4 hypertension systolic",1,"bp = < the 95th percentile for age height and gender and not receiving medication for treatment of hypertension please note that 3 serial blood pressures should be obtained and averaged to determine baseline bp                                                                                                      ",1
"4","poorly controlled hypertension as defined",1,"bp > = 170 mmhg or diastolic bp > = 105 mmhg despite optimal medical management major surgery = < 4 weeks of registration                                                                                             ",1
"5","uncontrolled hypertension defined as sustained systolic",1,"bp = < the 95th percentile for age height and gender for pediatric patients < 18 years old and = < 140 / 90 mmhg for patients > = 18 years old patients should not be receiving medication for treatment of hypertension except patients with wilms tumor and rcc who may be eligible if on stable doses of no more than one anti hypertensive medication with a baseline bp = < mcLn for pediatric patients and = < 140 / 90 for adult patients please note that 3 serial blood pressures should be obtained and averaged to determine baseline bp                                     ",1
"6","patients must have adequately controlled",1,"defined as systolic blood pressure sbp of < 140 mmhg and diastolic blood pressure dbp of < 90 mmhg on maximum of three antihypertensive medications participants must have a blood pressure bp of < 140 / 90 taken in the clinic or hospital setting by a medical professional within 2 weeks prior to starting on study it is strongly recommended that participants who are on 3 antihypertensive medications be followed by a cardiologist or a primary care physician for management of bp while on study                                                   ",1
