"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency"
"2","serum phosphorus",3,"",11,"               ",13
"1","serum phosphorus calcium magnesium and potassium",2,"lower limit of normal",6,"if below lln for asymptomatic patients replacement may be initiated if clinically indicated without delaying the start of study treatment",4
"8","serum calcium",2,"",NA,"",NA
"9","serum magnesium",2,"",NA,"",NA
"10","serum potassium",2,"",NA,"",NA
"3","calcium",1,"",NA,"",NA
"4","magnesium",1,"",NA,"",NA
"5","potassium",1,"",NA,"",NA
"15","recurrent / progressive dipg stratum 1 potassium",1,"",NA,"",NA
"16","recurrent / progressive dipg stratum 1 serum total calcium correct for serum albumin or ionized calcium",1,"",NA,"",NA
"17","non progressed dipg stratum 2 serum total calcium correct for serum albumin or ionized calcium",1,"",NA,"",NA
