"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency","Blank 4","Frequency","Blank 5","Frequency","Blank 6","Frequency"
"1","",41,"",37,"",48,"defined as at least one lesion",28,"can be accurately measured",40,"at least one dimension longest diameter to be recorded for non nodal lesions and short axis for nodal lesions as > = 20 mm > = 2 cm with conventional techniques or as > = 10 mm > = 1 cm with spiral computed tomography ct scan mri mri or calipers by clinical exam                                                                                                                         ",9
"10","all",4,"radiographically",9,"site of",1,"at the time of study enrollment patients with neuroblastoma who do not have measurable disease but have iobenguane mibg positive evaluable disease are eligible measurable disease in patients with cns involvement is defined as tumor",3,"is measurable",7,"two perpendicular diameters on mri mri and visible on more than one slice note the following do not qualify as measurable disease malignant fluid collections e . g . ascites pleural effusions bone marrow infiltration except that detected by mibg scan for neuroblastoma lesions only detected by nuclear medicine studies e . g . bone gallium or positron emission tomography pet scans except as noted for neuroblastoma elevated tumor markers in plasma or cerebrospinal fluid csf previously radiated lesions that have not demonstrated clear progression post radiation leptomeningeal lesions that do not meet the measurement requirements for response evaluation criteria in solid tumors recist 1 . 1                                        ",5
"27","solid tumor",1,"at least one",1,"or unmeasurable advanced or metastatic breast cancer for which standard curative measures do not exist or are no longer effective measurable",1,"as defined by response evaluation criteria in solid tumors recist 1 . 1 measurable disease is defined as at least one lesion",2,"can be accurately measured with the longest diameter a minimum of 10 mm",1,"at least one dimension longest diameter to be recorded for non nodal lesions and short axis for nodal lesions as > = 20 mm with conventional techniques or as > = 10 mm with spiral computed tomography ct scan mri mri or calipers by clinical exam                                                                                                         ",4
"39","general inclusion criteria for subprotocols at the time of treatment with subprotocol specified therapy the",1,"evaluable or",1,"",NA,"at the time of study enrollment patients with neuroblastoma who do not have measurable disease but have metaiodobenzylguanidine mibg positive evaluable disease are eligible measurable disease in patients with cns involvement is defined as tumor",2,"can be measured",1,"at least one dimension longest diameter to be recorded each lesion must be > = 10 mm when measured by computed tomography ct mri mri or caliper measurement by clinical exam or > = 20 mm when measured by chest x ray lymph nodes must be > = 15 mm in short axis when measured by ct or mri                                                                                                         ",3
"44","tumor biopsy sequencing",1,"histologically confirmed",1,"",NA,"according to response evaluation criteria in solid tumors recist criteria i . e . patients must have measurable disease defined as at least one lesion",1,"has not been previously irradiated defined as at least one lesion that can be accurately measured",1,"at least one dimension longest diameter to be recorded as > = 20 mm with conventional techniques or as > = 10 mm with spiral computed tomography ct scan                                                                                                                                                  ",3
"45","treatment",1,"computed tomography ct scan chest / abdomen / pelvis with multiphasic liver ct scan prior to registration if ct contrast is contraindicated ct chest without contrast and mri mri of abdomen is permitted participants must have",1,"",NA,"by response evaluation criteria in solid tumors recist defined as at least one lesion",1,"",NA,"at least one dimension longest diameter to be recorded for non nodal lesions and short axis for nodal lesions as > = 20 mm > = 2 cm by chest x ray or as > = 10 mm > = 1 cm with computed tomography ct scan mri mri or calipers by clinical exam                                                                                                                         ",2
"50","appropriate stage for study entry based on the following diagnostic workup all",1,"",NA,"",NA,"as defined by response evaluation criteria in solid tumors recist 1 . 1 measurable disease is defined as at least one target lesion",1,"",NA,"at least one dimension longest diameter to be recorded for non nodal lesions and short axis for nodal lesions as > = 10 mm with computed tomography ct scan mri mri or calipers by clinical exam and > = 15 mm in short axis for nodal lesions patients must have radiographic evidence of disease progression following the most recent line of treatment                                                                                                                 ",1
"2","",NA,"",NA,"",NA,"as defined by recist 1 . 1 measurable disease is defined as at least one lesion",1,"",NA,"at least one dimension longest diameter to be recorded for non nodal lesions and short axis for nodal lesions as > = 20 mm with conventional techniques or as > = 10 mm with spiral ct scan mri mri or calipers by clinical exam                                                                                                                                   ",1
"3","",NA,"",NA,"",NA,"is defined as at least one lesion",1,"",NA,"at least one dimension longest diameter to be recorded for non nodal lesions and short axis for nodal lesions as > = 20 mm with conventional techniques or as > = 10 mm with spiral computed tomography ct scan                                                                                                                                      ",1
"4","",NA,"",NA,"",NA,"per recist 1 . 1 measurable lesions are defined as those",1,"",NA,"at least one dimension longest diameter to be recorded for non nodal lesions and short axis for nodal lesions as > = 20 mm by chest x ray or as > = 10 mm with computed tomography ct scan mri mri or calipers by clinical exam                                                                                                                         ",1
