"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency","Blank 4","Frequency"
"6","creatinine clearance or radioisotope gfr gfr > = 70 ml / min / 1 . 73 m 2 or a",14,"",4,"16",21,"1 . 7 male 1 . 4 female                                                                                                                                 ",4
"3","a",5,"based on age / gender as noted below patients that do not meet the criteria below but have a 24 hour creatinine clearance or gfr gfr radioisotope or iothalamate >",3,"70 ml / min / 1 . 73 m 2 are eligible 2 to < 6",3,"of age                                                                                                                        ",3
"5","",3,"based on age / gender as follows age maximum serum creatinine mg / dl 1 to < 2 years 0 . 6 male and female 2 to < 6 years 0 . 8 male and female 6 to < 10 years 1 male and female 10 to < 13 years 1 . 2 male and female 13 to < 16 years 1 . 5 male 1 . 4 female >",2,"< 5",2,"1 . 7 mg / dl male 1 . 4 mg / dl female                                                                                                     ",2
"1","in adults",1,"based on age as follows within 14 days of registration and within 7 days of the start of treatment",1,"70 ml / min / 1 . 73 m 2 are eligible 1 to < 2",2,"male 1 . 7 mg / dl female 1 . 4 mg / dl                                                                                                                ",2
"2","age adjusted",1,"based on age / gender as follows age 1 to < 2 years 0 . 6 mg / dl age 2 to < 6 years 0 . 8 mg / dl age 6 to < 10 years 1 mg / dl age 10 to < 13 years 1 . 2 mg / dl age 13 to < 16 years 1 . 5 mg / dl males 1 . 4 mg / dl females age >",1,"< 1 . 5 mg / dl or creatinine clearance > = 60 ml / min and in children serum creatinine cr = < age adjusted normal age 12 15",1,"0 . 6 mg / dl 2 to < 6 years 0 . 8 mg / dl 6 to < 10 years 1 mg / dl 10 to < 13 years 1 . 2 mg / dl 13 to < 16 years 1 . 5 mg / dl male 1 . 4 mg / dl female > = 16 years 1 . 7 mg / dl male 1 . 4 mg / dl female                                                                                                           ",2
"4","creatinine clearance or radioisotope gfr gfr > = 70 ml / min / 1 . 73m 2 or a",1,"based on age / gender as follows 1 to < 2 years",1,"< 1 . 5 x normal for age or creatinine clearance or gfr gfr > = 60 cc / min / 1 . 73 m 2 age 1 month to < 6 months 0 . 4 mg / dl for males and 0 . 4 mg / dl for females age 6 months to < 1 year 0 . 5 mg / dl for males and 0 . 5 mg / dl for females age 1 to < 2",1,"0 . 8 mg / dl 6 to < 10 years 1 mg / dl 10 to < 13 years 1 . 2 mg / dl 13 to < 16 years 1 . 5 mg / dl male 1 . 4 mg / dl female > = 16 years 1 . 7 mg / dl male 1 . 4 mg / dl female                                                                                                                ",2
"8","creatinine clearance or radioisotope gfr gfr > = 70 ml / min / 1 . 73 m 2 or a maximum",1,"mg / dl based on age / gender as follows 1 to < 2 years 0 . 6 2 to < 6 years 0 . 8 6 to < 10 years 1 10 to < 13 years 1 . 2 13 to < 16 years 1 . 5 for males 1 . 4 for females >",1,"< upper limit of normal uln based on age / gender as follows age 1 month to < 6 months 0 . 4 for males 0 . 4 for females age 6 months to < 1 year 0 . 5 for males 0 . 5 for females age 1 to < 2",1,"1 . 2 mg / dl age > = 15 years 1 . 5 mg / dl                                                                                                                                                                                  ",1
"14","creatinine clearance or radioisotope gfr gfr > = 60 ml / min / 1 . 73 m 2 by either cockcroft gault formula or analysis normal",1,"based on age / gender as follows age 1 to < 2 years maximum serum creatinine mg / dl 0 . 6 for males and females age 2 to < 6 years 0 . 8 for males and females age 6 to < 10 years 1 for males and females age 10 to < 13 years 1 . 2 for males and females age 13 to < 16 years 1 . 5 for males and 1 . 4 for females age >",1,"< 1 . 5 x the upper limit of normal for age or calculated creatinine clearance or nuclear gfr gfr > = 70 ml / min / 1 . 73 m 2 = < 0 . 6 mg / dl 1 to < 2",1,"0 . 6 mg / dl for males and 0 . 6 mg / dl for females age 2 to < 6 years 0 . 8 mg / dl for males and 0 . 8 mg / dl for females age 6 to < 10 years 1 . 0 mg / dl for males and 1 . 0 mg / dl for females age 10 to < 13 years 1 . 2 mg / dl for males and 1 . 2 mg / dl for females age 13 to < 16 years 1 . 5 mg / dl for males and 1 . 4 mg / dl for females age > = 16 years 1 . 7 mg / dl for males and 1 . 4 mg / dl for females               ",1
"16","creatinine clearance or radioisotope gfr gfr > = 70 ml / min / 1 . 73 m 2 or",1,"based on age / gender as follows age < 6 months maximum serum creatinine mg / dl 0 . 4 for males and females age 6 months to < 1 year maximum serum creatinine mg / dl 0 . 5 for males and females age 1 to < 2 years maximum serum creatinine mg / dl 0 . 6 for males and females age 2 to < 6 years maximum serum creatinine mg / dl 0 . 8 for males and females age 6 to < 10 years maximum serum creatinine mg / dl 1 for males and females age 10 to < 13 years maximum serum creatinine mg / dl 1 . 2 for males and females age 13 to < 16 years maximum serum creatinine mg / dl 1 . 5 for males and 1 . 4 for females age >",1,"< 0 . 6 mg / dl 2 to < 6",1,"0 . 6 for males 0 . 6 for females age 2 to < 6 years 0 . 8 for males 0 . 8 for females age 6 to < 10 years 1 for males 1 for females age 10 to < 13 years 1 . 2 for males 1 . 2 for females age 13 to < 16 years 1 . 5 for males 1 . 4 for females age > = 16 years 1 . 7 for males 1 . 4 for females                                                                                         ",1
"17","creatinine clearance or radioisotope gfr gfr > = 70ml / min / 1 . 73 m 2 or",1,"based on age / gender as follows age 1 to < 2 years maximum serum creatinine 0 . 6 mg / dl males and females age 2 to < 6 years maximum serum creatinine 0 . 8 mg / dl males and females age 6 to < 10 years maximum serum creatinine 1 . 0 mg / dl males and females age 10 to < 13 years maximum serum creatinine 1 . 2 mg / dl males and females age 13 to < 16 years maximum serum creatinine 1 . 5 mg / dl males and 1 . 4 mg / dl females age >",1,"= 16",1,"0 . 8 mg / dl > = 5 years but = < 10 years 1 mg / dl > = 10 years but = < 15 years 1 . 2 mg / dl > = 15 years 1 . 5 mg / dl                                                                                                                                               ",1
"18","creatinine clearance or radioisotope glomular filtration rate gfr > = 70 ml / min / 1 . 73 m 2 or",1,"based on age / gender as follows 3 to < 6 years of age maximum max serum creatinine 0 . 8 mg / dl males and females 6 to < 10 years of age max serum creatinine 1 mg / dl males and females 10 to < 13 years of age max serum creatinine 1 . 2 mg / dl males and females 13 to < 16 years of age max serum creatinine 1 . 5 md / dl males and 1 . 4 md / dl females >",1,"< 0 . 6 mg / dl patients age 1 to < 2",1,"of age = < 0 . 8 mg / dl 2 to < 6 years of age = < 1 . 0 mg / dl 6 to < 10 years of age = < 1 . 2 mg / dl 10 to < 13 years of age = < 1 . 4 mg / dl females > = 13 years of age = < 1 . 5 mg / dl males 13 to < 16 years of age = < 1 . 7 mg / dl males > = 16 years of age                                                                                          ",1
"21","creatinine clearance or radioisotope gfr gfr > = 70 ml / min / 1 . 73 m 2 or normal",1,"based on age / gender as follows 1 to < 2 years 0 . 6 mg / dl for males and females 2 to < 6 years 0 . 8 mg / dl for males and females 6 to < 10 years 1 . 0 mg / dl for males and females 10 to < 13 years 1 . 2 mg / dl for males and females 13 to < 16 years 1 . 5 mg / dl for males and 1 . 4 mg / dl for females >",1,"",NA,"1 . 7 mg / dl males 1 . 4 mg / dl females                                                                                                                     ",1
"24","inclusion criteria for stratum c",1,"based on age described below",1,"",NA,"= < 0 . 8 mg / dl 6 to < 10 years = < 1 mg / dl 10 to < 13 years = < 1 . 2 mg / dl 13 to < 16 years = < 1 . 5 mg / dl males and = < 1 . 4 mg / dl females > = 16 years = < 1 . 7 mg / dl males and = < 1 . 4 mg / dl females                                                                                                         ",1
"27","recurrent / progressive dipg stratum 1",1,"based on age / gender as follows 0 . 8 mg / dl 2 to < 6 years of age 1 . 0 mg / dl 6 to < 10 years of age 1 . 2 mg / dl 10 to < 13 years of age 1 . 5 mg / dl male or 1 . 4 mg / dl female 13 to < 16 years of age 1 . 7 mg / dl male or 1 . 4 mg / dl female >",1,"",NA,"1 . 7 for males 1 . 4 for females                                                                                                                                           ",1
"28","non progressed dipg stratum 2",1,"based on age / gender as follows 1 month to < 6 months 0 . 4 mg / dl 6 months to < 1 year 0 . 5 mg / dl 1 to < 2 years 0 . 6 mg / dl 2 to < 6 years 0 . 8 mg / dl 6 to < 10 years 1 mg / dl 10 to < 13 years 1 . 2 mg / dl 13 to < 16 years 1 . 5 mg / dl male or 1 . 4 mg / dl female >",1,"",NA,"1 . 7 for males and 1 . 4 for females                                                                                                                 ",1
"33","creatinine clearance or radioisotope gfr gfr > = 70ml / min / 1 . 73 m 2 or a",1,"based on age / gender as follows 1 month to < 6 months 0 . 4 mg / dl 6 months to < 1 year 0 . 5 mg / dl 1 to < 2 years 0 . 6 mg / dl 2 to < 6 years 0 . 8 mg / dl 6 to < 10 years 1 mg / dl 10 to < 13 years 1 . 2 mg / dl 13 to < 16 years 1 . 5 mg / dl male 1 . 4 mg / dl female >",1,"",NA,"maximum serum creatinine mg / dl 1 . 7 for males and 1 . 4 for females                                              ",1
"7","",NA,"based on age / gender as follows 0 . 8 mg / dl 2 to < 6 years of age 1 . 0 mg / dl 6 to < 10 years of age 1 . 2 mg / dl 10 to < 13 years of age 1 . 5 mg / dl male and 1 . 4 mg / dl female 13 to < 16 years of age 1 . 7 mg / dl male and 1 . 4 mg / dl female >",1,"",NA,"maximum serum creatinine 1 . 7 mg / dl males and 1 . 4 mg / dl females                                                                                   ",1
"9","",NA,"based on age / gender as follows 0 . 8 mg / dl 3 to < 6 years of age 1 . 0 mg / dl 6 to < 10 years of age 1 . 2 mg / dl 10 to < 13 years of age 1 . 5 mg / dl male or 1 . 4 mg / dl female 13 to < 16 years of age 1 . 7 mg / dl male or 1 . 4 mg / dl female >",1,"",NA,"of age max serum creatinine 1 . 7 mg / dl males and 1 . 4 mg / dl females the threshold creatinine values were derived from the schwartz formula for estimating gfr utilizing child length and stature data published by the centers for disease control and prevention cdc                                                                    ",1
"10","",NA,"based on age / gender as follows 2 to < 6 years male 0 . 8 mg / dl female 0 . 8 mg / dl 6 to < 10 years male 1 mg / dl female 1 mg / dl 10 to < 13 years male 1 . 2 mg / dl female 1 . 2 mg / dl 13 to < 16 years male 1 . 5 mg / dl female 1 . 4 mg / dl >",1,"",NA,"1 . 7 mg / dl for males and 1 . 4 mg / dl for females                                                                                                  ",1
"11","",NA,"based on age / gender as follows 2 to < 6 years 0 . 8 mg / dl male 0 . 8 mg / dl female 6 to < 10 years 1 mg / dl male 1 mg / dl female 10 to < 13 years 1 . 2 mg / dl male 1 . 2 mg / dl female 13 to < 16 years 1 . 5 mg / dl male 1 . 4 mg / dl female >",1,"",NA,"0 . 8 mg / dl 5 < age = < 10 years 1 . 0 mg / dl 10 < age = < 15 years 1 . 2 mg / dl > = 15 years 1 . 5 mg / dl                                                                                                                                                        ",1
"12","",NA,"based on age / gender as follows",1,"",NA,"1 . 7 mg / dl male or 1 . 4 mg / dl female                                                                                                  ",1
"13","",NA,"based on age / gender as noted below patients that do not meet the criteria below but have a 24 hour creatinine clearance or gfr radioisotope or iothalamate >",1,"",NA,"1 . 5 mg / dl male 1 . 4 mg / dl female                                                                                                                ",1
"15","",NA,"based on age / gender as follows 1 to < 2 years 0 . 6 mg / dl male 0 . 6 mg / dl female 2 to < 6 years 0 . 8 mg / dl male 0 . 8 mg / dl female 6 to < 10 years 1 mg / dl male 1 mg / dl female 10 to < 13 years 1 . 2 mg / dl male 1 . 2 mg / dl female 13 to < 16 years 1 . 5 mg / dl male 1 . 4 mg / dl female >",1,"",NA,"= < 0 . 8 mg / dl patients age 2 to < 6 years = < 1 mg / dl patients age 6 to < 10 years = < 1 . 2 mg / dl patients age 10 to < 13 years = < 1 . 4 mg / dl female patients age > = 13 years = < 1 . 5 mg / dl male patients age 13 to < 16 years = < 1 . 7 mg / dl male patients age > = 16 years                                                                                                                     ",1
"19","",NA,"based on age / gender as follows 1 month to < 6 months old 0 . 4 mg / dl male 0 . 4 mg / dl female 6 months to < 1 year old 0 . 5 mg / dl male 0 . 5 mg / dl female 1 to < 2 years old 0 . 6 mg / dl male 0 . 6 mg / dl female 2 to < 6 years old 0 . 8 mg / dl male 0 . 8 mg / dl female 6 to < 10 years old 1 mg / dl male 1 mg / dl female 10 to < 13 years old 1 . 2 mg / dl male 1 . 2 mg / dl female 13 to < 16 years old 1 . 5 mg / dl male 1 . 4 mg / dl female >",1,"",NA,"old 1 . 7 mg / dl male 1 . 4 mg / dl female patients with an elevated serum creatinine due to obstructive hydronephrosis secondary to tumor are still eligible however patients with urinary tract obstruction by tumor must have unimpeded urinary flow established via diversion i . e . percutaneous nephrostomies or ureteric stents of the urinary tract",1
"20","",NA,"based on age / gender patients that do not meet the criteria but have a 24 hour creatinine clearance or gfr gfr radioisotope or iothalamate >",1,"",NA,"0 . 8 mg / dl male and female 6 to < 10 years 1 mg / dl male and female 10 to < 13 years 1 . 2 mg / dl male and female 13 to < 16 years 1 . 5 mg / dl male 1 . 4 mg / dl female > = 16 years 1 . 7 mg / dl male 1 . 4 mg / dl female                                                                                                                 ",1
"22","",NA,"based on age / gender as follows age 1 to < 2 years male 0 . 6 mg / dl female 0 . 6 mg / dl age 2 to < 6 years male 0 . 8 mg / dl female 0 . 8 mg / dl age 6 to < 10 years male 1 mg / dl female 1 mg / dl age 10 to < 13 years male 1 . 2 mg / dl female 1 . 2 mg / dl age 13 to < 16 years male 1 . 5 mg / dl female 1 . 4 mg / dl age >",1,"",NA,"male 1 . 7 female 1 . 4                                                                                                                     ",1
