"","Blank 1","Frequency","Blank 2","Frequency"
"2","patients who have received a prior solid organ",13,"are not eligible                                                                                                                                                                                                                                                                                                                                                                                                                ",15
"14","patients with prior allogeneic bone marrow",5,"                                                                                                                                                                                                                                                                                                                                                                                                                         ",6
"6","patients who have received prior solid organ",2,"or prior solid organ transplantation                                                                                                                                                                                                                                                                                                                                                                                                                ",5
"1","allogeneic",1,"if the transplanted tissue is still in place                                                                                                                                                                                                                                                                                                                                                                                                              ",1
"3","criteria for allogeneic",1,"double umbilical cord blood transplantation ducbt or prior solid organ transplantation                                                                                                                                                                                                                                                                                                                                                                                                          ",1
"8","relapsed malignancy after",1,"dubct                                                                                                                                                                                                                                                                                                                                                                                                               ",1
"10","prior organ allograft or allogeneic",1,"ducbt                                                                                                                                                                                                                                                                                                                                                                                                                ",1
"11","prior allogeneic",1,"",NA
"15","patients must not have undergone prior allogeneic bone marrow",1,"",NA
"16","patient must have a history of solid organ",1,"",NA
"19","history of allogeneic organ",1,"",NA
"29","no prior allogeneic bone marrow transplant or double umbilical cord blood",1,"",NA
"30","previous allogenic bone marrow transplant or double umbilical cord blood",1,"",NA
