"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency"
"14","patients with known",28,"",102,"should be excluded from this clinical trial                                                                                                                                                                                                                                                                                                                          ",16
"2","patients with",8,"stem midbrain pons medulla cerebellum or within 10 mm of the optic apparatus optic nerves and chiasm no history of intracranial hemorrhage or spinal cord hemorrhage no ongoing requirement for dexamethasone for cns disease patients on a stable dose of anticonvulsants are permitted no neurosurgical resection or brain biopsy within 28 days prior to cycle 1 day 1 patients with asymptomatic treated cns",4,"                                                                                                                                                                                                                                                                                                                                  ",4
"37","patients with untreated",6,"metastasis that are either symptomatic or untreated note patients with neurological symptoms must undergo a computed tomography ct scan / mri mri of the brain to exclude brain metastasis note patients with cns",1,"or spinal cord compression                                                                                                                                                                                                                                                                                                                           ",3
"7","patients with active",5,"metastasis within 21 days prior to study entry patients who are to undergo srs must have no more than 10 brain",1,"may be enrolled provided all the criteria listed above are met as well as the following radiographic demonstration of improvement upon the completion of cns directed therapy and no evidence of interim progression between the completion of cns directed therapy and the screening radiographic study no stereotactic radiation or whole brain radiation within 28 days prior to cycle 1 day 1 screening cns radiographic study > = 4 weeks from completion of radiotherapy and > = 2 weeks from discontinuation of corticosteroids                                                                                                                                     ",3
"1","patients with known active",4,"within 42 days prior to registration patients with asymptomatic brain",1,"present                                                                                                                                                                                                                                                                                                                             ",2
"13","symptomatic or untreated leptomeningeal or",3,"to evaluate for central nervous system cns disease within 42 days prior to sub study registration patient must not have leptomeningeal disease spinal cord compression or brain",1,"are eligible provided the brain metastases have been treated the patient is asymptomatic from the brain metastases corticosteroids prescribed for the management of brain metastases have been discontinued at least 7 days prior to registration the brain metastases are stable on pre registration imaging                                                                                                                                                                                                                                                                                  ",2
"17","known",3,"metastasis must be stable for 1 month with verification by imaging brain mri completed at screening demonstrating no current evidence of progressive brain",1,"which have been treated no evidence of disease progression for > = 3 months before the first dose of study drug no hemorrhage after treatment off treatment with dexamethasone for 4 weeks before administration of the first dose of tak 228 no ongoing requirement for dexamethasone or anti epileptic drugs                                                                                                                                                                                                                                                             ",2
"26","",3,"within 14 days of day 1 of protocol chemotherapy except radiation to brain",1,"or carcinomatous meningitis are excluded from this clinical trial patients with treated brain metastases whose brain metastatic disease has remained stable for > = 4 weeks without requiring steroid and anti seizure medications are eligible to participate                                                                                                                                                                                                                                                                                            ",2
"36","participants with known",3,"metastasis or leptomeningeal disease patients with known brain",1,"or carcinomatous meningitis are excluded from this clinical trial patients whose brain metastatic disease status has remained stable for > = 4 weeks following treatment of brain metastases are eligible to participate at the discretion of the principal investigator                                                                                                                                                                                                                                                                                         ",2
"44","patients with a prior history of",3,"to evaluate for central nervous system cns disease within 42 days prior to registration patient must not have symptomatic brain",1,"or carcinomatous meningitis are excluded from this clinical trial patients with treated brain metastases whose brain metastatic disease has remained stable for > = 4 weeks without requiring steroid and anti seizure medication are eligible to participate                                                                                                                                                                                                                                                                                            ",2
"81","patients with known primary central nervous system cns malignancy or symptomatic cns metastases are excluded with the following exceptions patients with asymptomatic untreated cns disease may be enrolled provided all of the following criteria are met evaluable or measurable disease outside the cns no metastases to",3,"tumor seizures which are not controlled with non enzyme inducing anticonvulsants any brain",1,"should be excluded from this clinical trial patients with prior treated brain metastases are allowed providing that they were not accompanied by seizures and that a baseline brain mri mri scan prior to study entry demonstrates no current evidence of brain metastases all patients with central nervous system cns metastases must be stable for > = 3 months after treatment and off steroid treatment prior to study enrollment                                                                                                                                                                                                                                                            ",1
"5","patients with active or untreated",2,"radionecrosis after they have received radiosurgery for brain",1,"are ineligible all patients must have a pretreatment ct or mri scan of the brain to evaluate for central nervous system cns disease within 42 days prior to registration                                                                                                                                                                                                                                                                                                     ",1
"15","patients must have a ct or mri scan of the",2,"disease including symptomatic brain",1,"are excluded patients with a history of central nervous system cns metastases that have been treated must be stable with no symptoms for > = 3 months after completion of that treatment and off steroid treatment with image documentation required prior to study enrollment                                                                                                                                                                                                                                                                                    ",1
"24","patients are ineligible if they have any currently active central nervous system cns metastases patients who have treated",2,"metastasis are eligible for the study provided that all the following criteria are met brain",1,"that have been treated and are stable without symptoms for > = 4 weeks after completion of treatment are eligible                                                                                                                                                                                                                                                                         ",1
"80","patients with known leptomeningeal or",2,"metastasis that can be accurately measured in at least one dimension longest diameter to be recorded as > = 5 mm > = 0 . 5 cm with brain mri mri if the lesion is 5 10 mm in size and is the only measurable disease mri imaging must be performed with 1 . 5 mm slice thickness or less a history of previously treated brain",1,"treated brain metastases must have been stable for at least 2 months                                                                                                                                                                                                                                                                                                                   ",1
