"","Blank 1","Frequency","Blank 2","Frequency"
"15","definitive clinical or radiologic evidence of",5,"disease                                                                                                                                                                                                                                                                                                   ",19
"12","patients with",3,"breast cancer                                                                                                                                                                                                                                                                                               ",3
"25","",3,"or unresectable and for which standard curative or palliative measures do not exist or are no longer effective                                                                                                                                                                                                                                                                              ",3
"85","patients must have histologically or cytologically confirmed",3,"disease if applicable                                                                                                                                                                                                                                                                               ",2
"87","patients must have histologically confirmed",3,"                                                                                                                                                                                                                                                                                                   ",2
"8","clinical or radiographic evidence of",2,"or unresectable and for which standard curative or palliative measures do not exist or are no longer effective or for whom cpt 11 treatment would be a viable therapy regimen patients with solid hematologic malignancies hodgkinï s and non hodgkinï s lymphomas may be included as long as a bone marrow has been performed within 6 weeks of treatment                                                                                                                                                                                                                                     ",2
"18","patients with newly diagnosed unresectable",2,"ewing sarcoma or primitive neuroectodermal tumor pnet of bone or soft tissue are eligible for this study note for the purpose of this study chest wall tumors with ipsilateral pleural effusions ipsilateral positive pleural fluid cytology or ipsilateral pleural based secondary tumor nodules will be considered localized disease patients with regional node involvement based on clinical suspicion confirmed by pathologic documentation are considered to be non metastatic patients with discontinuous osseous lesions within the same bone are considered to be non metastatic tumors arising in the bony skull extra dural are considered to be extracranial                                                                                                                                                                                                     ",1
"24","patients must have",2,"disease metastatic disease are lesions which are discontinuous from the primary tumor are not regional lymph nodes and do not share a body cavity with the primary tumor if there is any doubt whether lesions are metastatic a biopsy of those lesions should be taken skeletal lesions in adjacent bones trans articular contralateral pleural effusion and contralateral pleural nodules distant lymph node involvement patients with pulmonary nodules are considered to have metastatic disease if the patient has solitary nodule > = 0 . 5 cm or multiple nodules of > = 0 . 3 cm unless biopsied and negative for ewing s biopsies of solitary nodule = < 0 . 5 cm or multiple nodules = < 0 . 3 cm are not required but if performed and positive indicate metastatic disease                                                                                                                                                                  ",1
"103","patients with stage iv or recurrent /",2,"disease if applicable phase i                                                                                                                                                                                                                                            ",1
"1","patients who have gross residual disease or distant",1,"and is not amenable to treatment with surgery or to orthotopic liver transplant phase ii                                                                                                                                                                                                                                                                                ",1
"2","patients with newly diagnosed biopsy confirmed extracranial non",1,"pancreas adenocarcinoma for which no prior therapy has been administered for either locally advanced or metastatic disease prior adjuvant therapy is permissible if gemcitabine or a fluoropyrimidine was administered with or without radiation and if disease recurrence has been documented at least 6 months after completion of adjuvant therapy                                                                                                                                                                                                                                              ",1
"3","patients must have no evidence of",1,"pancreas adenocarcinoma up to two prior treatment regimens are permissible excluding a prior parp inhibitor for either localized or metastatic pancreas adenocarcinoma prior combined chemotherapy and radiotherapy is permissible provided the patient has measurable disease outside the radiation port prior therapy must have been completed at least 3 weeks prior to starting study therapy                                                                                                                                                                                                                                          ",1
"4","patients must not have inflammatory breast cancer and must not have",1,"disease by cranial or spinal mri evaluation or csf cytology unless medically contraindicated are not eligible                                                                                                                                                                                                                                                                                          ",1
"5","hcc patients only first line i . e . no prior systemic therapy or second line with prior first line sorafenib therapy only advanced hcc child pugh class a or b7 liver disease prior chemoembolization radioembolization radiofrequency ablation rfa or other local ablative therapies are permissible if > = 6 weeks from procedure with evidence of progression or new",1,"melanoma which is measurable either clinically or radiologically                                                                                                                                                                                                                                                                                              ",1
"6","cytological or histological confirmed diagnosis of hepatocellular carcinoma that is locally advanced or",1,"melanoma involving the brain will be excluded if they have active disease or have had active disease within the prior six months that was not controlled with surgery or radiotherapy                                                                                                                                                                                                                                                                          ",1
"7","prior chemoembolization radioembolization radiofrequency ablation rfa or other local ablative therapies are permissible if > = 6 weeks from procedure with evidence of progression or new",1,"disease metastatic workup is not required but is recommended for patients with clinical stage iii disease note isolated ipsilateral supraclavicular node involvement is permitted                                                                                                                                                                                                                                                                               ",1
"9","presence of residual or recurrent cancer locally or",1,"disease additionally patients with breast cancer must have received prior tamoxifen and / or aromatase inhibitor therapy if post menopausal with at least one hormonal regimen in the metastatic setting patients with her2 breast cancer must have progressed after at least one prior her2 directed regimen trastuzumab lapatinib for metastatic disease all other patients must have disease that has progressed following at least one line of standard therapy prior therapy with tamoxifen is allowed                                                                                                                                                                                                                    ",1
"10","for part i arms a b patients can have either locally advanced or",1,"and measurable asps who show clinical evidence of disease progression including history and increasing physical symptoms will also be eligible on study documentation will include a physicianï s rationale that supports evidence of clinical disease progression i . e . increasing tumor pain                                                                                                                                                                                                                                                            ",1
"11","for part ii arm c patients can have either locally advanced or",1,"disease that is not curable by surgery                                                                                                                                                                                                                                                                                           ",1
"13","patients must have a diagnosis of",1,"tumor or other cancer                                                                                                                                                                                                                                                                                                  ",1
"14","patients with a history",1,"pancreatic cancer after receiving 8 12 doses of folfirinox measurable disease is not required                                                                                                                                                                                                                                                                                            ",1
"17","patients with breast cancer must have had at least one prior chemotherapy regimen for",1,"pancreatic cancer other than folfirinox prior radiation is allowed chemotherapy for non metastatic disease is allowed                                                                                                                                                                                                                                                                                     ",1
"19","patients with no prior therapy are eligible provided they have",1,"disease or locally advanced unresectable disease                                                                                                                                                                                                                                                                                                   ",1
"20","patients must not have evidence of",1,"breast cancer mbc or metastatic non small cell lung cancer nsclc or metastatic adenocarcinoma of the prostate the sites of allowed metastases are peripheral lung central lung mediastinal / cervical lymph node liver spinal / paraspinal osseous and abdominal pelvic note after the required number of evaluable patients have been accrued for a given dose level the accrual for that metastatic location will be temporarily suspended while the safety of that dose level is assessed a patient can only be entered onto the trial if all of their metastatic locations are open to accrual e . g . if central lung is temporarily suspended for safety assessment and the patient has a central lung metastases regardless of other metastases they cannot enroll until the safety of dose to central lung is determined                                                                                                                                                                        ",1
"21","have stable",1,"and metastatic disease are eligible initially unresectable patients with or without metastatic disease are eligible as long as there is a commitment at enrollment to resect the primary tumor                                                                                                                                                                                                                                                                         ",1
"22","patients who have had prior chemotherapy for",1,"cancer requiring systemic therapy within 5 years prior to registration no secondary primary lung cancer diagnosed concurrently or within 2 years prior to registration                                                                                                                                                                                                                                                                                ",1
"23","chest x ray negative for",1,"and clearly progressive on prior therapy                                                                                                                                                                                                                                                                                                ",1
"26","extent of disease patients with non",1,"disease to be treated on the protocol including radiopharmaceuticals                                                                                                                                                                                                                                                                                              ",1
"27","baseline chest computed tomography ct with or without contrast must be performed within 6 months 180 days prior to randomization to ensure no evidence of disease if clinically indicated additional imaging studies must be performed to rule out",1,"or unresectable locally advanced                                                                                                                                                                                                                                                                                                        ",1
"28","no locally advanced or",1,"genitourinary solid tumor metastatic disease defined as new or progressive lesions on cross sectional imaging patients must have at least one evaluable site of disease or appearance of one new bone lesion                                                                                                                                                                                                                                                                ",1
"29","patients must have melanoma that is",1,"disease required imaging studies must have been performed within 90 days prior to randomization                                                                                                                                                                                                                                                                                        ",1
"30","prior palliative radiation treatment for",1,"disease i . e . must be first line endocrine therapy for metastatic disease                                                                                                                                                                                                                                                                                     ",1
"32","no more than two prior therapies for",1,"disease within 30 days prior to enrollment patients will only be eligible after they have undergone complete surgical resection of suspected metastatic disease that is histopathologically confirmed to be osteosarcoma prior to enrollment note the definition of complete resections is gross resection of all disease as per the operating surgeon post operative imaging is not required for confirmation of complete resection patients must undergo resection of any lung lesion meeting criteria for likely metastatic disease defined as 3 or more lesions > = 5 mm in diameter or a single lesion > = 1 cm patients with lung as the only site of resected metastatic disease must have refused participation in protocol aost1421 note this applies if aost1421 is open to enrollment at the enrolling institution on the day the patient consents                                                                                                                                                           ",1
"33","patients in the phase i portion must have histologically confirmed diagnosis of",1,"gastroenteropancreatic neuroendocrine carcinoma that is either known or suspected to be of gastrointestinal gi origin primary tumors arising from the lung gynecologic organs or prostate are not permitted                                                                                                                                                                                                                                                                       ",1
"35","locally advanced / unresectable or",1,"and has progressed despite standard therapy at least 1 prior chemotherapy regimen in the metastatic setting and two lines of hormonal therapy administered in the adjuvant or metastatic setting for patients with hormone receptor positive disease note her2 negativity will be defined per american society of clinical oncology asco college of american pathologists cap guidelines patients whose tumors have her2 immunohistochemistry ihc 3 in situ hybridization ish > = 2 . 0 or average her2 copy number > = 6 . 0 signals per cell are not eligible                                                                                                                                                                                         ",1
"36","re registration locally advanced / unresectable or",1,"disease prior immunotherapy is permitted                                                                                                                                                                                                                                                                                                  ",1
