"","Blank 1","Frequency","Blank 2","Frequency"
"29","ecog performance status",88,"< 2 karnofsky > = 60                                                                                                                                         ",37
"41","karnofsky >",15,"< 2                                                                                                                                          ",33
"21","kps >",11,"60                                                                                                                                               ",12
"2","patients must have zubrod performance status",7,"70                                                                                                                                            ",10
"20","patients must have a performance status corresponding to ecog scores of 0 1 or 2 use karnofsky for patients >",6,"< 1 karnofsky > = 70                                                                                                                                         ",10
"35","patients must have a kps >",6,"50 for patients > = 16 years of age and lansky > = 50 for patients = < 16 years of age note neurologic deficits in patients with cns tumors must have been relatively stable for at least 7 days prior to study enrollment patients who are unable to walk because of paralysis but who are up in a wheelchair will be considered ambulatory for the purpose of assessing the performance score                                                                        ",9
"46","karnofsky performance scale kps for >",5,"< 1                                                                                                                                             ",8
"80","age >",4,"16 years of age and lansky for patients = < 16 years of age                                                                                                                 ",7
"156","ecog performance status 0 or 1 karnofsky >",4,"60 i . e . the patient must be able to care for himself / herself with occasional help from others                                                                                                                       ",6
"1","zubrod performance status",3,"50 for patients > = 16 years of age and lansky > = 50 for patients = < 16 years of age note neurologic deficits in patients with cns tumors must have been stable for at least 7 days prior to study enrollment patients who are unable to walk because of paralysis but who are up in a wheelchair will be considered ambulatory for the purpose of assessing the performance score                                                                         ",6
"15","lansky performance status score >",2,"< 2 karnofsky > = 50                                                                                                                                         ",3
"28","kps of >",2,"50                                                                                                                                       ",2
"71","ecog",2,"70 within 28 days prior to step 2 registration                                                                                                                                       ",2
"102","the ecog performance status",2,"16 years of age or lansky performance score lps for = < 16 years of age assessed within two weeks of enrollment must be > = 60 patients who are unable to walk because of neurologic deficits but who are up in a wheelchair will be considered ambulatory for the purpose of assessing the performance score                                                                               ",2
"106","ecog performance status 0 1 or 2 karnofsky >",2,"16 years of age or lansky performance score lps for = < 16 years of age assessed within 7 days of enrollment must be > = 50 patients who are unable to walk because of neurologic deficits but who are up in a wheelchair will be considered ambulatory for the purpose of assessing the performance score                                                                              ",2
"142","ecog performance status of 0 or 1 karnofsky >",2,"18 years                                                                                                                                              ",2
"196","patients must have an ecog performance status of 0 3 restricted to ecog performance status ps 0 2 if age >",2,"12 months and < 18 years of age at the time of study enrollment                                                                                                                             ",2
"11","patients must have zubrod performance status of",1,"80                                                                                                                                      ",2
"12","patients should have a karnofsky / lansky score of >",1,"70 years                                                                                                                           ",2
"13","treatment patients with a karnofsky / lansky score of >",1,"< 2 within 45 days prior to study registration                                                                                                                                      ",1
"14","lansky",1,"< 2 within 60 days prior to registration                                                                                                                                       ",1
"16","kps score >",1,"60 patients who require special assistance due to tumor related paralysis but who are out of bed during the day will be considered ambulatory for the purpose of calculating the performance score patients must be able to communicate any symptoms                                                                                                ",1
"18","patients must have a performance status corresponding to an ecog scores of 0 1 or 2 use karnofsky for patients >",1,"< 16 years or karnofsky > = 16 years score of at least 50                                                                                                                                   ",1
"19","patients must have a lansky or kps score of >",1,"70 for patients = < 16 years of age                                                                                                                                    ",1
"24","tumor biopsy sequencing kps >",1,"70 for patients > = 16 years of age                                                                                                                                      ",1
"25","treatment kps >",1,"50 for patients = < 16 years of age kps score > = 50 for patients > = 16 years of age                                                                                                                       ",1
"32","karnofsky performance score >",1,"16 years of age and lansky for patients = < 16 years of age note patients who are unable to walk because of paralysis but who are up in a wheelchair will be considered ambulatory for the purpose of assessing the performance score                                                                                  ",1
"34","history and physical exam and kps of >",1,"50 corresponding to ecog categories 0 1 or 2 use karnofsky for patients > = 16 years of age and lansky for patients = < 16 years of age patients who are unable to walk because of paralysis but who are up in a wheelchair will be considered ambulatory for the purpose of assessing the performance score                                                                               ",1
"47","inclusion criteria for stratum c karnofsky performance scale kps for >",1,"16 years of age and lansky for patients = < 16 years of age patients who are unable to walk because of paralysis but who are up in a wheelchair will be considered ambulatory for the purpose of assessing the performance score                                                                                    ",1
"49","recurrent / progressive dipg stratum 1 karnofsky performance scale kps for >",1,"60 within 21 days prior to study entry                                                                                                                                        ",1
"50","non progressed dipg stratum 2 karnofsky performance scale kps for >",1,"70 within 30 days prior to registration                                                                                                                                   ",1
"61","eligibility criteria for enrollment onto apec1621sc karnofsky >",1,"50 for patients > = 16 years of age and lansky > = 50 for patients = < 16 years of age patients who are unable to walk because of paralysis but who are up in a wheelchair will be considered ambulatory for the purpose of assessing the performance score                                                                                              ",1
