"","Blank 1","Frequency","Blank 2","Frequency"
"1","",126,"or nursing women / men of reproductive potential must have agreed to use an effective contraceptive method a woman is considered to be of reproductive potential if she has had menses at any time in the preceding 12 consecutive months in addition to routine contraceptive methods effective contraception also includes heterosexual celibacy and surgery intended to prevent pregnancy or with a side effect of pregnancy prevention defined as a hysterectomy bilateral oophorectomy or bilateral tubal ligation however if at any point a previously celibate patient chooses to become heterosexually active during the time period for use of contraceptive measures outlined in the protocol he / she is responsible for beginning contraceptive measures                                                                                                                                                                                                                                                                                                             ",8
"147","patients must not be",19,"or suspect she is pregnant while she or her partner is participating in this study she should inform her treating physician immediately                                                                                                                                                                                                                                                                                      ",7
"243","women must not be",17,"or suspect she is pregnant while she or her partner is participating in this study she or the participating partner should inform the treating physician immediately                                                                                                                                                                                                                                                                                                                                                                                                   ",6
"92","not",16,"or breastfeeding                                                                                                                                                                                                                                                                                                                                                                                                                            ",5
"105","female patients who are",10,"or breast feeding all fcbp must have a blood test or urine study within 2 weeks prior to registration to rule out pregnancy a female of childbearing potential is any woman regardless of sexual orientation or whether they have undergone tubal ligation who meets the following criteria 1 has not undergone a hysterectomy or bilateral oophorectomy or 2 has not been naturally postmenopausal for at least 24 consecutive months i . e . has had menses at any time in the preceding 24 consecutive months                                                                                                                                                                                                                                                                                                                                        ",5
"115","patients who are",7,"women are excluded from this study breastfeeding should be discontinued if the mother is treated with cabozantinib                                                                                                                                                                                                                                                                                                                                                                                                                ",4
"195","any of the following",6,"women are excluded from this study breastfeeding should be discontinued if the mother is treated with nivolumab                                                                                                                                                                                                                                                                                                                                                                                                                ",4
"155","should a woman become",4,"are ineligible                                                                                                                                                                                                                                                                                                                                                                                                                           ",4
"102","female participants who are",3,"women are excluded from this study breastfeeding should be discontinued if the mother is treated with atezolizumab                                                                                                                                                                                                                                                                                                                                                                                                                ",3
"111","female subjects of childbearing potential must not be",3,"women or nursing mothers fcbp should be advised to avoid pregnancy and use effective methods of contraception men with a female partner of childbearing potential must have either had a prior vasectomy or agree to use effective contraception if a female patient or a female partner of a patient becomes pregnant while the patient receives trametinib the potential hazard to the fetus should be explained to the patient and partner as applicable                                                                                                                                                                                                                                                                                                                                                         ",3
"73","treatment",2,"and not nursing for fcbp only a negative pregnancy test done = < 7 days prior to registration is required                                                                                                                                                                                                                                                                                                                                                                                                            ",3
"76","females who are",2,"or breast feeding all fcbp must have a blood test or urine study within 2 weeks prior to randomization to rule out pregnancy a female of childbearing potential is any woman regardless of sexual orientation or whether they have undergone tubal ligation who meets the following criteria 1 has not undergone a hysterectomy or bilateral oophorectomy or 2 has not been naturally postmenopausal for at least 24 consecutive months i . e . has had menses at any time in the preceding 24 consecutive months                                                                                                                                                                                                                                                                                                                                  ",3
"103","non",2,"or breast feeding                                                                                                                                                                                                                                                                                                                                                                                                                          ",3
"113","the study drug must not be administered to",2,"women nursing women men or fcbp who are unwilling to employ adequate contraception                                                                                                                                                                                                                                                                                                                                                                                                                ",3
"130","pregnancy and breast feeding female patients who are",2,"women are excluded from this study breastfeeding should be discontinued if the mother is treated with lenalidomide                                                                                                                                                                                                                                                                                                                                                                                                                ",2
"193","fcbp fcbp must have a negative urine pregnancy test within 7 days prior to randomization enrollment female participants enrolled in the treatment arm are advised to not become",2,"and breastfeeding women are excluded from this study breastfeeding should be discontinued if the mother is treated with ibrutinib                                                                                                                                                                                                                                                                                                                                                                                                              ",2
"70","patient who is",1,"women are excluded from this study breastfeeding should be discontinued if the mother is treated with ipdr                                                                                                                                                                                                                                                                                                                                                                                                                ",2
"72","woman who are",1,"women are excluded from this study breastfeeding should be discontinued if the mother is treated with vx 970                                                                                                                                                                                                                                                                                                                                                                                                               ",2
"79","tumor biopsy sequencing women who are",1,"women are excluded from this study breastfeeding should be discontinued prior to the first dose of study drug and women should refrain from nursing throughout the treatment period and for 3 months following the last dose of study drug                                                                                                                                                                                                                                                                                                                                                                                          ",2
"80","treatment women who are",1,"women are excluded from this study                                                                                                                                                                                                                                                                                                                                                                                                                           ",2
"81","women who are",1,"women are excluded from this study breastfeeding should be discontinued                                                                                                                                                                                                                                                                                                                                                                                                                       ",2
"87","if",1,"women and women who are breastfeeding are excluded from this study                                                                                                                                                                                                                                                                                                                                                                                                                      ",2
"106","men and fcbp and their partners must agree to use adequate contraception while enrolled on this study based on the established teratogenic potential of alkylating agents",1,"women are excluded from this study breastfeeding should be discontinued if the mother is treated with cediranib or olaparib                                                                                                                                                                                                                                                                                                                                                                                                              ",2
"107","female patients of childbearing potential must not be",1,"a pregnancy test is required for female patients of childbearing potential                                                                                                                                                                                                                                                                                                                                                                                                                   ",2
"109","known pregnancy or breast feeding",1,"or breast feeding female patients of childbearing potential must have a negative serum or urine pregnancy test within 72 hours prior to receiving the first dose of study medication if the urine test is positive or cannot be confirmed as negative a serum pregnancy test will be required pregnant women are excluded from this study breastfeeding should be discontinued if the mother is to be treated with mk 3475 pembrolizumab                                                                                                                                                                                                                                                                                                                                                   ",2
"114","fcbp should be advised to avoid pregnancy and use effective methods of contraception if a female patient or a female partner of a patient becomes",1,"or nursing                                                                                                                                                                                                                                                                                                                                                                                                                        ",2
"121","inclusion criteria for stratum c female subjects of childbearing potential must not be",1,"women nursing women                                                                                                                                                                                                                                                                                                                                                                                                                      ",2
"122","pregnancy or breast feeding female patients must be surgically sterile be post menopausal or must agree to use effective contraception during the period of therapy and for 90 days following the last dose of ro7009789 all female patients with reproductive potential must have a negative pregnancy test prior to enrollment women or men of reproductive potential may not participate unless they agree to use an effective contraceptive method female patients should not become",1,"women or nursing mothers                                                                                                                                                                                                                                                                                                                                                                                                                             ",2
"125","female patients of childbearing potential must have a negative urine or serum pregnancy within 72 hours before receiving the first dose of study medication if the urine test is positive or cannot be confirmed as negative a serum pregnancy test will be required note women of child bearing potential must agree to use 2 methods of birth control or be surgically sterile or abstain from heterosexual activity beginning with the screening visit and for the duration of study participation through 120 days beyond last dose of mk 3475 administration patients of childbearing potential are those who have not been surgically sterilized or have not been free from menses for > = 1 year should a woman become",1,"or nursing women                                                                                                                                                                                                                                                                                                                                                                                                                              ",2
"129","fcbp should be advised to avoid becoming",1,"or breast feeding females are excluded males or females of reproductive potential may not participate unless they have agreed to use an effective contraceptive method abstinence is an acceptable method of birth control                                                                                                                                                                                                                                                                                                                                                                                                ",2
