"","Blank 1","Frequency","Blank 2","Frequency"
"1","corrected",11,"syndrome                                                                                                                                                                                                                                                                                                    ",5
"6","patients with baseline prolongation of the rate corrected qtc qtc e . g . repeated demonstration of qtc interval > = 480 msecs or history of congenital long",2,"syndrome or torsades de pointes                                                                                                                                                                                                                                                                           ",4
"9","baseline prolongation of the rate corrected qtc qtc > = 480 msecs or history of congenital long",2,"qtc interval = < 480 msecs                                                                                                                                                                                                                                                                                                   ",2
"16","resting electrocardiogram ecg with corrected",2,"qtc = < 480 msec note patients should avoid concomitant medication known or suspected to prolong qtc interval or cause torsades de pointes if possible alternative agents should be considered patients who are receiving drugs that prolong the qtc are eligible if the drug is necessary and no alternatives are available                                                                                                                                                                                                                                                      ",1
"17","congenital long",2,"qtc interval = < 480 msecs note patients should avoid concomitant medication known or suspected to prolong qtc interval or cause torsades de pointes if possible alternative agents should be considered patients who are receiving drugs that prolong the qtc are eligible if the drug is necessary and no alternatives are available                                                                                                                                                                                                                                                     ",1
"43","consistent corrected",2,"/ qtc interval e . g . repeated demonstration of a qtc interval > = 450 msec long qt syndrome the required use of concomitant medication that may cause torsades de pointes or may cause a significant prolongation of the qtc note due to difficulties assessing qtc in patients with heart block they may be eligible if deemed safe by a cardiologist if a patient must take ondansetron as their antiemetic their qtc may not be over 450 no exception for patients with heart block                                                                                                                 ",1
"3","patients with current evidence of significant cardiovascular disease new york heart association class iii or iv cardiac disease symptomatic congestive heart failure dilated / hypertrophic or restrictive cardiomyopathy myocardial infarction within the past 6 months unstable angina unstable arrhythmia or a need for anti arrhythmic therapy use of medications for rate control for atrial fibrillation is allowed such as calcium channel blockers and beta blockers if stable medication for at least last month prior to initiation of romidepsin treatment and medication not listed as causing torsades de pointes or evidence of acute ischemia on electrocardiogram ecg marked baseline prolongation of",1,"/ corrected qt qtc interval e . g . repeated demonstration of a qtc interval > = 450 msec long qt syndrome concomitant use of drugs known to prolong the qtc and / or cause torsades de pointes is not allowed during the study or within 2 weeks of study entry these drugs should also be avoided for up to 4 weeks following discontinuation of study treatment drugs that may be associated with torsades de pointes but lack substantial evidence will be allowed at the discretion of the pi although it is preferable to substitute an alternate medication and patients will be closely monitored                                                                                                                 ",1
"4","patients with significant cardiovascular disease new york heart association class iii or iv cardiac disease symptomatic congestive heart failure myocardial infarction within the past 6 months unstable angina unstable arrhythmia or a need for anti arrhythmic therapy use of frequency adjusting medication for atrial fibrillation is allowed ifstable medication for at least last month prior to initiation of belinostat treatment and medication not listed as causing torsades de pointes or evidence of acute ischemia on electrocardiogram ecg marked baseline prolongation of",1,"syndrome or use of medications that may cause qtc interval prolongation                                                                                                                                                                                                                                                                                           ",1
"5","history of familial long",1,"syndrome or torsades de pointes are ineligible                                                                                                                                                                                                                                                                       ",1
"7","baseline prolongation of the rate corrected qtc qtc e . g . repeated demonstration of qtc interval > = 480 msecs or history of congenital long",1,"/ corrected qt qtc prolongation or torsades de pointes tdp patients who are currently receiving treatment with medication with a known risk to prolong the qtc or inducing torsades de pointes and the treatment cannot either be discontinued or switched to a different medication prior to starting study drugs                                                                                                                                                                                                                                                      ",1
