"","Blank 1","Frequency","Blank 2","Frequency"
"10","prior to",11,"2 registration                                                                                            ",11
"1","",10,"1 registration                                                                                            ",10
"44","eligibility criteria for randomization",7,"1                                                                                             ",7
"36","re registration eligibility criteria",4,"0                                                                                           ",5
"7","registration",3,"2                                                                                           ",3
"16","within 2 weeks prior to screening",3,"0 registration optional                                                                                           ",1
"34","pre registration eligibility criteria",2,"0 patients registered to step 0 will appear on an institutional patient tracking report patients registered to step 0 are not registered to the s0820 protocol to participate in s0820 patients must be registered to step 1 after patient is consented and evaluation of eligibility patients registered to s0820 at step 0 continuing to step 1 registration must use the same southwest oncology group swog patient identification id for registration to s0820 step 1",1
"50","registration eligibility criteria",2,"ii step 2 registration must be within 6 weeks of completing step 1 therapy                                                                                ",1
"2","second registration",1,"1 ï induction / re induction                                                                                       ",1
"4","patients with a primary colon or rectal cancer resection who are potentially eligible for s0820 may be pre registered at",1,"2 ï post remission therapy                                                                                        ",1
"12","documentation of steroid doses within 28 days prior to",1,"3 ï maintenance patients must have adequate marrow function as evidenced by anc > = 750 / mcl within 28 days prior to registration                                                                     ",1
"21","pre registration",1,"registration and within 4 weeks prior to treatment step registration leukocytes > = 3 000 / mcl                                                                       ",1
"24","prostatectomy performed greater than 365 days 1 year prior to",1,"registration and within 4 weeks prior to treatment step registration anc > = 1 500 / mcl                                                                       ",1
"33","financial clearance for proton therapy treatment prior",1,"registration and within 4 weeks prior to treatment step registration Platelets > = 100 000 / mcl                                                                       ",1
"40","induction eligibility criteria",1,"2 patients randomized to arm 1 may opt to switch to the 3 drug regimen following disease progression these patients must be re registered to the study and meet the eligibility criteria below                                                         ",1
"41","post induction therapy eligibility criteria prior to intensification",1,"2 Platelets count > = 50000 / mcL                                                                                  ",1
"42","patients should meet the eligibility criteria for randomization to blinatumomab or no blinatumomab",1,"2 ast and alt < 2 . 5 x uln uln                                                                               ",1
"43","eligibility criteria for screening and molecular profiling",1,"2 note g csf and Platelets transfusions cannot be used to increase counts to meet eligibility criteria                                                                         ",1
"51","eligibility criteria",1,"3                                                                                ",1
"52","eligibility criteria for preregistration",1,"1 ecog performance status 0 or 1 within 2 weeks prior to randomization                                                                             ",1
"54","inclusion criteria for screening",1,"1 patients must have completed treatment with any investigational agent > = 30 days prior to randomization for protocol therapy if applicable                                                                    ",1
"55","inclusion criteria for treatment assignment",1,"1 patients must be randomized within 24 weeks from surgery                                                                                ",1
"56","patients must have met eligibility criteria for the screening",1,"1 Platelets > = 100 000 / mcL                                                                                  ",1
"57","site must verify that there is no known change in the",1,"1 ast ast sgot = < 2 . 5 x mcLn                                                                               ",1
"59","randomization eligibility criteria",1,"1 alanine aminotransferase alt sgpt = < 2 . 5 x mcLn                                                                              ",1
"3","",NA,"0 preregistration                                                                                        ",1
"5","",NA,"                                                                                    ",1
"6","",NA,"1 eligibility since initial registration                                                                              ",1
