"","Blank 1","Frequency","Blank 2","Frequency"
"5","patients with",11,"disorder may be enrolled if on anticonvulsants and well controlled                                                                                                  ",4
"2","active",2,"disorder                                                                                                       ",3
"4","patients with active",2,"disorder may be enrolled if on non enzyme inducing anticonvulsants and well controlled                                                                                               ",3
"1","known central nervous system cns metastases or",1,"disorder patients with known brain metastases that have been successfully treated and stable for > = 6 months without requirement for corticosteroids and without seizure activity will be eligible                                                                          ",1
"3","patients with prior",1,"or history of seizure disorder                                                                                                        ",1
"7","history of intractable epilepsy or uncontrolled",1,"history who have experienced a seizure within the three months prior to enrollment are excluded                                                                                            ",1
"8","step i patients must not have active uncontrolled",1,"or history of seizure are not eligible                                                                                                    ",1
"9","patients receiving glucocorticoids and / or anti",1,"disorder may be enrolled if well controlled                                                                                                     ",1
"10","patients with a history of encephalitis multiple sclerosis or seizures within the last year from",1,"or a history of seizure are not eligible                                                                                                   ",1
"11","comorbid conditions patients are unable to participate due to the following generalized or partial",1,"disorder patients must have had no seizures in the last 6 months                                                                                          ",1
"12","patients with uncontrolled",1,"medications are eligible for this study                                                                                                 ",1
"13","patients considered at poor medical risk due to a serious uncontrolled medical disorder non malignant systemic disease or active uncontrolled infection examples include but are not limited to uncontrolled ventricular arrhythmia recent within 3 months myocardial infarction uncontrolled major",1,"disorder or brain metastasis should be excluded from this clinical trial                                                                                    ",1
"14","uncontrolled",1,"disorder that is uncontrolled at the time of registration the definition of controlled generalized seizures is patients must be on a stable dose of anti seizure medication and without generalized seizures for at least 10 days prior to registration the definition of controlled partial seizures is patients must be on a stable dose of anti seizure medication for at least 10 days prior to registration patients with occasional breakthrough partial seizures are allowed at treating physicianï s discretion grade 3 or 4 thromboembolic disease within 6 months mo of registration known history of prolonged qt syndrome",1
"15","intractable seizures while on adequate anticonvulsant therapyï more than 1",1,"disorder are not eligible patients with seizure disorders that do not require antiepileptic drugs or are well controlled with stable doses of antiepileptic drugs remain eligible                                                                                 ",1
"16","patient has no known history of",1,"disorder extensive bilateral lung disease on high resolution computed tomography scan or any psychiatric disorder that prohibits obtaining informed consent                                                   ",1
"17","patients with a history of uncontrolled",1,"per month for the past 2 months                                                                                             ",1
"18","patients with a high risk of seizures should be excluded from the protocol e . g . those patients with an uncontrolled",1,"disorder including focal or generalized seizure may not have had a seizure within one year prior to registration                                                                                      ",1
"19","patients must not have active",1,"disorder and / or patients who have had a focal or generalized seizure within the last 12 months                                                                      ",1
"22","patients with a",1,"or history of seizure                                                                                                     ",1
"23","patients with active seizures or a history of uncontrolled",1,"disorder uncontrolled by medication                                                                                                         ",1
"25","tumor biopsy sequencing patients with history of central nervous system cns metastases who have received treatment and who either have not had seizures or have been on stable doses of anti",1,"disorder requiring medication                                                                                                         ",1
"26","treatment patients with a history of seizures are not eligible to receive veliparib but patients with a history of cns metastases who have received treatment and who either have not had seizures or have been on stable doses of anti",1,"history will not be permitted on protocol patients on anticonvulsant medications will not be permitted on study                                                                                          ",1
"27","treatment patients with active brain metastases or carcinomatous meningitis are excluded from this clinical trial patients who have a history of seizures are not eligible to receive veliparib but patients who have either not had seizures or who have been on stable doses of anti",1,"disorder including focal or generalized seizure within the past year                                                                                           ",1
"32","central nervous system function defined as patients with",1,"disorder may be enrolled if on non enzyme inducing anticonvulsants and if seizures are well controlled                                                                                            ",1
"34","patients with a known",1,"medicine and had no seizures for 4 weeks will be eligible enzyme inducing anticonvulsants are contraindicated                                                               ",1
"6","",NA,"medicine and had no seizures for > = 4 weeks will be eligible for other study agents enzyme inducing anticonvulsants are contraindicated                                                ",1
"20","",NA,"medicine and had no seizures for 4 weeks will be eligible for other study agents enzyme inducing anticonvulsants are contraindicated                                             ",1
"21","",NA,"disorder may be enrolled if on anticonvulsants and if seizures are well controlled                                                                                               ",1
"24","",NA,"disorder may be enrolled if on anticonvulsants and well controlled patients must not be in status epilepticus a coma or on assisted ventilation at the time of study enrollment                                                                         ",1
"28","",NA,"disorder who are receiving non enzyme inducing anticonvulsants and have well controlled seizures may be enrolled                                                                                          ",1
