"","Blank 1","Frequency","Blank 2","Frequency"
"17","patients must have no concurrent malignancy except curatively treated basal or squamous cell",7,"of the skin or carcinoma in situ of the cervix breast or bladder patients with prior malignancies must be disease free for > = five years                                                                                                                    ",5
"1","patients with the following histologic epithelial cell types are eligible serous adenocarcinoma endometrioid adenocarcinoma mucinous adenocarcinoma undifferentiated",2,"                                                                                                                                                       ",4
"30","patients must not have other current malignancies other than basal cell skin cancer squamous cell skin cancer in situ cervical cancer ductal or lobular",2,"in situ anal carcinoma in situ                                                                                                                                 ",2
"44","any concomitant or prior invasive malignancies with the following curatively treated exceptions treated limited stage basal cell or squamous cell",2,"in situ of any site or any other cancer                                                                                                                ",2
"84","any other prior malignancy from which the patient has been disease free for less than 3 years with the exception of adequately treated and cured basal or squamous cell skin cancer superficial bladder cancer",2,"clear cell adenocarcinoma mixed epithelial carcinoma transitional cell carcinoma malignant brennerï s tumor or adenocarcinoma not otherwise specified n . o . s . however the histologic features of the tumor must be compatible with a primary mï llerian epithelial adenocarcinoma                                                                                                 ",1
"2","patients must have endometrial",1,"including endometrioid adenocarcinoma adenocarcinoma with squamous differentiation mucinous adenocarcinoma squamous cell carcinoma mixed carcinoma undifferentiated carcinoma clear cell adenocarcinoma and serous adenocarcinoma histologies                                                                                                                                ",1
"3","pathologically histologically proven diagnosis of squamous cell",1,"including variants such as verrucous carcinoma spindle cell carcinoma carcinoma not otherwise specified nos etc . of the head / neck oral cavity oropharynx or larynx note hypopharynx primaries are excluded                                                                                                                     ",1
"4","participant with histologic confirmation of newly diagnosed squamous cell",1,"scc of the head and neck                                                                                                                                            ",1
"5","patient with sinonasal",1,"adenosquamous carcinoma or adenocarcinoma initially treated with a standard radical hysterectomy with pelvic lymphadenectomy                                                                                                                                   ",1
"6","patient with nasopharyngeal",1,"clear cell adenocarcinoma mixed epithelial carcinoma transitional cell carcinoma malignant brenner s tumor or adenocarcinoma not otherwise specified n . o . s . however the histologic features of the tumor must be compatible with a primary mï llerian epithelial adenocarcinoma if doubt exists it is recommended that the investigator should have the slides reviewed by an independent pathologist prior to entry patients may have co existing endometrial cancer so long as the primary origin of invasive tumor is ovarian or peritoneal for clarification of synchronous primary endometrial cancer                                                 ",1
"7","pathologically proven primary cervical cancer i iia with squamous cell",1,"in situ bladder carcinoma in situ or carcinoma in situ of the cervix                                                                                                                           ",1
"9","other invasive malignancy = < 5 years prior to registration exceptions are colonic polyps non melanoma skin cancer ductal",1,"of the vulva                                                                                                                                                ",1
"10","patients with locally advanced previously untreated squamous cell",1,"adenocarcinoma or adenosquamous cell carcinoma of the cervix stage ia1 lymph vascular space invasion lvsi ia2 and ib1 tumor size maximum visible or palpable = < 2 cm any grade                                                                                                                     ",1
"11","patients with a histologic diagnosis of squamous cell",1,"of the cervix or basal or squamous cell carcinomas of the skin or surgically treated early stage solid tumors are ineligible to participate in this study                                                                                                                    ",1
"12","patients with other malignancies within the past 2 years except for adequately treated",1,"of the skin or carcinoma ï in situï of the cervix or breast are not excluded                                                                                                             ",1
"13","step i patients with a history of prior malignancy are eligible provided they were treated with curative intent and do not require active therapy currently treated basal cell squamous cell",1,"carcinoma in situ of the cervix anal intraepithelial neoplasia or cutaneous kaposiï s sarcoma ks participants with prior malignancies must have completed all therapy at least 2 years before enrollment with no evidence of disease since therapy completion                                                                                                    ",1
"14","prior malignancy within 2 years before enrollment other than curatively treated cutaneous basal cell or squamous cell",1,"high grade adenocarcinoma or high grade mucoepidermoid carcinoma or salivary duct carcinoma high grade acinic cell carcinoma or high grade > = 30 solid component adenoid cystic carcinoma patients with diagnoses such as undifferentiated or poorly differentiated carcinoma carcinoma ex pleomorphic adenoma carcinoma not otherwise specified nos and others should be considered for this trial                                                                   ",1
"15","pathologically proven diagnosis of a malignant major salivary gland tumor or malignant minor salivary gland tumor of the head and neck of the following histologic subtypes intermediate grade adenocarcinoma or intermediate grade mucoepidermoid",1,"of the skin or carcinoma in situ of the cervix prior early stage breast cancers are also allowed as long as prior treatment did not include aromatase inhibitors                                                                                                     ",1
"16","patients must be disease free of other prior invasive malignancies for > = 5 years with the exception of curatively treated basal cell or squamous cell",1,"of the skin treated with local resection only or carcinoma in situ of the cervix                                                                                                                           ",1
"18","no other malignancy within 5 years of registration with the exception of basal cell or squamous cell",1,"in situ cis squamous cell carcinomas of the skin or basal cell carcinoma of the skin a diagnosis of an invasive malignancy within 3 years is allowed if both the cure rate is felt to be > = 80 and there has been no evidence of disease in the past year                                                                                   ",1
"19","presence of an invasive malignancy other than the study indication under this trial within 3 years of study enrollment except for",1,"renal cell carcinoma sarcoma colon carcinoma non hodgkin lymphoma squamous cell head and neck carcinoma or cutaneous squamous cell carcinoma for which standard curative or palliative measures do not exist or are no longer effective the primary site may be cutaneous or unknown but mucosal and ocular primaries are excluded note patients with non small lung cancer must have had prior epidermal growth factor receptor egfr and anaplastic lymphoma receptor tyrosine kinase alk testing patients with sensitizing mutations in egfr or alk rearrangements should have been treated with prior targeted agents and have had progression or discontinued due to toxicity from these agents                             ",1
"20","patients must have histologically or cytological confirmed malignancy in the following disease groups melanoma that is metastatic or unresectable non small cell lung",1,"intraductal oncocytic papillary neoplasms iopn osteoclast like giant cell tumors acinar cell carcinoma pancreatoblastoma solid pseudopapillary tumors undifferentiated small cell carcinoma and non epithelial tumors sarcomas gastrointestinal gi stromal tumor lymphoma                                                                                              ",1
"21","patients in whom histologic diagnosis is not consistent with ductal adenocarcinoma such as adenosquamous squamous cell colloid islet cell serous or mucinous cystadenoma or cystadenocarcinoma carcinoid small or large cell",1,"that recur as low grade serous carcinoma invasive micropapillary serous carcinoma or invasive grade i serous carcinomas as defined by gog federation of obstetricians and gynecologists figo world health organization who or silverberg patients initially diagnosed with serous borderline ovarian or peritoneal carcinoma that recur as low grade serous carcinoma invasive micropapillary serous carcinoma or invasive grade i serous carcinomas as defined by gog figo who or silverberg                                                                   ",1
"22","patients with the following tumors are included in the study patients initially diagnosed with low grade serous ovarian or peritoneal",1,"in situ of the cervix basal or squamous cell carcinoma of the skin tumors for which no relapse has been observed within 5 years                                                                                                            ",1
"23","patients with a previous or current malignancy at other sites should be excluded with the exception of curatively treated local tumors such as",1,"of the skin or carcinoma in situ of the cervix note if there is a history of prior malignancy patients must not be receiving other specific treatment for that cancer                                                                                                    ",1
"24","patients must be disease free of prior invasive malignancies for > = 5 years with the exception of curatively treated basal cell or squamous cell",1,"of the bladder those with mixed histology including a component of urothelial carcinoma are eligible small cell carcinoma pure adenocarcinoma and pure squamous cell carcinoma are excluded                                                                                                                          ",1
"25","patients must have histologically proven urothelial",1,"of the skin or carcinoma in situ of the cervix breast or bladder patients with prior malignancies must be disease free for > = three years prior to registration                                                                                                                 ",1
"28","solid tumor patients in stage 2 must have a diagnosis of papillary serous endometrioid or clear cell endometrial",1,"or high grade serous clear cell endometrioid or mucinous ovarian fallopian or primary peritoneal carcinoma                                                                                                                          ",1
"29","no concurrent malignancy other than non melanoma skin cancer superficial noninvasive pta or pt in situ is transitional cell",1,"tcc of the bladder contralateral gct or intratubular germ cell neoplasia patients with a prior malignancy but at least 2 years since any evidence of disease are allowed                                                                                                            ",1
"31","adequately treated",1,"in situ of the breast                                                                                                                              ",1
"32","has a known additional malignancy that is progressing or requires active treatment exceptions include basal cell",1,"in situ without current evidence of disease                                                                                                                                                  ",1
"34","patients with any component of small cell",1,"of the skin squamous cell carcinoma of the skin or in situ cervical cancer that has undergone potentially curative therapy                                                                                                                       ",1
"35","patients in the expansion portion must have histologically confirmed diagnosis of metastatic urothelial",1,"are not eligible other variant histologies are permitted provided the predominant > = 50 subtype is urothelial carcinoma                                                                                                                                  ",1
"37","patients with brain metastases from primary germ cell tumors small cell",1,"of the bladder urethra ureter renal pelvis or clear cell renal cell carcinoma or adenocarcinoma of the bladder or non resectable squamous cell carcinoma of the penis or squamous cell carcinoma of the bladder and patients with urothelial cancer or renal cell carcinoma must have progressive metastatic disease defined as new or progressive lesions on cross sectional imaging patients must have at least one measurable site of disease according to recist criteria or bone disease by naf pet / ct                                                              ",1
"38","participant is = < 2 years free of another primary malignancy exceptions include the following basal cell skin cancer cervical",1,"in situ of the breast patients with other malignancies are eligible if they have been continuously disease free for > = 3 years prior to the time of randomization                                                                                                      ",1
"39","must have a histologically confirmed transitional cell",1,"unknown primary or lymphoma                                                                                                                                            ",1
"40","patients with a history of another malignancy except for those who have been disease free for 2 years patients with a history of definitively treated non melanoma skin cancer or squamous cell",1,"tcc also known as urothelial carcinoma locally advanced or metastatic                                                                                                                                          ",1
"41","diagnosis or treatment for another malignancy within 3 years of enrollment with the exception of complete resection of basal cell",1,"of the cervix are eligible patients with definitively treated in situ cancers are eligible regardless of timeframe                                                                                                          ",1
"42","if history of prior malignancy subject should be in complete remission for > = 5 years at the time of registration with the exception of basal cell or squamous cell",1,"or squamous cell carcinoma of the skin any in situ malignancy or low risk prostate cancer after curative therapy                                                                                                                    ",1
"46","patients with concomitant or prior invasive malignancies within the past 3 years subjects with treated limited stage basal cell or squamous cell",1,"of the skin treated with local resection                                                                                                                      ",1
"47","patients with previous or concomitant non breast invasive malignancy exceptions are limited exclusively to patients with the following previous malignancies if adequately treated basal or squamous cell",1,"of the skin carcinoma in situ of the breast or cervix primary endometrial cancer meeting the following conditions stage not greater than ia grade 1 or 2 no more than superficial myometrial invasion without vascular or lymphatic invasion no poorly differentiated subtypes including papillary serous / serous clear cell or other international federation of gynecology and obstetrics figo grade 3 lesions prior cancer treated with a curative intent with no evidence of recurrent disease 3 years following diagnosis and judged by the investigator to be at low risk of recurrence                                             ",1
"48","patients with a history of any active malignancy requiring on going treatment except basal cell",1,"of the skin carcinoma in situ of the breast or cervix primary endometrial cancer meeting the following conditions stage not greater than ia grade 1 or 2 no more than superficial myometrial invasion without vascular or lymphatic invasion no poorly differentiated subtypes including papillary serous / serous clear cell or other federation of gynecology and obstetrics figo grade 3 lesions prior cancer treated with a curative intent with no evidence of recurrent disease 5 years following diagnosis and judged by the investigator to be at low risk of recurrence                                              ",1
"49","patients with nasopharyngeal",1,"of the skin or carcinoma in situ of the breast or cervix are eligible                                                                                                                       ",1
"50","history of other prior malignancy except squamous cell",1,"of the skin in situ non breast carcinoma contra or ipsilateral in situ breast carcinoma stage ia carcinoma of the cervix                                                                                                           ",1
"51","pathologically proven diagnosis of squamous cell",1,"or squamous cell carcinoma of the skin                                                                                                                                     ",1
"52","prior systemic therapy for renal cell",1,"skin squamous cell carcinoma scc and salivary gland carcinomas are not eligible                                                                                                                                            ",1
"53","diagnosis of any second malignancy within the last 5 years prior to cycle 1 day 1 with the exception of those with a negligible risk of metastasis or death per investigatorï s discretion such as adequately treated",1,"of the cervix or anus superficial basal cell or squamous cell skin cancer or other malignancy curatively treated more than 5 years ago before enrollment                                                                                                                          ",1
"54","participant is < 2 years free of another primary malignancy exceptions include basal cell skin cancer stage 0 i squamous cell cancer of the skin cervical",1,"including variants such as verrucous carcinoma spindle cell carcinoma carcinoma not otherwise specified nos of the head / neck oral cavity oropharynx hypopharynx or larynx pathologic stage iii or iva american joint committee on cancer ajcc 8 t3 t4a n0 3 m0 or t1 t2 n1 3 m0                                                                                                     ",1
"55","institutional confirmation of mullerian epithelial adenocarcinoma on core biopsy not cytology or fine needle aspiration or laparoscopic biopsy for phase ii of the study formalin fixed paraffin embedded ffpe tissue should be available for laboratory analysis patients with the following histologic epithelial cell types are eligible high grade serous",1,"in situ of the cervix basal or squamous cell skin cancer localized prostate cancer treated surgically with curative intent ductal carcinoma in situ treated surgically with curative intent                                                                                          ",1
"56","patients with mucinous",1,"high grade endometrioid carcinoma clear cell carcinoma or a combination of these                                                                                              ",1
"57","rectal cancer histology other than adenocarcinoma i . e . sarcoma lymphoma squamous cell",1,"low grade endometrioid carcinoma low grade serous carcinoma or carcinosarcoma                                                                                                                                              ",1
