"","Blank 1","Frequency","Blank 2","Frequency"
"13","major",8,"                                                                                                                                                                                                ",5
"2","no major",5,"within a minimum of 4 weeks prior to starting study treatment with the exception of surgical placement for vascular access                                                                                                                                                                                 ",3
"1","any major",4,"= < 14 days prior to registration                                                                                                                                                                                            ",2
"5","no history of major",2,"within 21 days of starting protocol treatment                                                                                                                                                                                               ",2
"10","patients must not have had major",2,"extensive radiotherapy chemotherapy with delayed toxicity biologic therapy or immunotherapy within 21 days prior to enrollment                                                                                                                                                                                     ",1
"19","patients must have completed any chemotherapy radiation therapy",2,"within 28 days prior to registration                                                                                                                                                                                               ",1
"34","patients may have received prior",2,"extensive radiotherapy chemotherapy with delayed toxicity biologic therapy or immunotherapy within 28 days prior to enrollment and / or daily or weekly chemotherapy without the potential for delayed toxicity within 14 days prior to enrollment                                                                                                                                                                  ",1
"50","have had recent major",2,"extensive radiotherapy > = 15 days of treatment chemotherapy with delayed toxicity biologic therapy or immunotherapy within 21 days prior to first dose of study treatment and / or daily or weekly chemotherapy without the potential for delayed toxicity within 14 days prior to first dose of study treatment                                                                                                                                                    ",1
"8","patients must not have received any major",1,"= < 28 days of registration                                                                                                                                                                                             ",1
"9","ibrutinib must be discontinued 7 days before when possible until 7 days after major",1,"or immunotherapy within 28 days prior to registration                                                                                                                                                                                        ",1
"18","patients must have completed any chemotherapy radiation therapy biologic therapy or major",1,"and 3 days before when possible until 3 days after minor surgery thus patients to be enrolled on an ibrutinib trial must have completed major surgery > = 7 days before initiating treatment and / or must have completed minor surgery > = 3 days before initiating treatment                                                                                                                                         ",1
"20","treatment any prior therapy radiotherapy or major",1,"within 28 days prior to registration or be scheduled for surgery during the projected course of protocol treatment tumor biopsy is allowed                                                                                                                                                                           ",1
"21","patients must have completed radiation therapy or major",1,"within 21 days of registration with stabilization or resolution of surgical adverse events                                                                                                                                                                                        ",1
"23","",1,"= < 7 days prior to registration and no minor surgery = < 3 days prior to registration with the exception of intravenous access placement e . g . hickman or peripherally inserted central catheter picc                                                                                                                                                                 ",1
"25","patients should not be randomized less than 3 weeks post",1,"within 30 days prior or during the study period                                                                                                                                                                                             ",1
"26","patients must not have had a previous surgical resection however patients may have undergone exploratory thoracotomy mediastinoscopy excisional biopsy or similar",1,"within 28 days prior to randomization                                                                                                                                                                                               ",1
"27","previous radical",1,"extensive radiotherapy chemotherapy with delayed toxicity e . g . doxorubicin biologic therapy or immunotherapy within 21 days prior to enrollment and / or daily or weekly chemotherapy e . g . sunitinib sorafenib and pazopanib without the potential for delayed toxicity within 14 days prior to enrollment                                                                                                                                                     ",1
"28","bilateral mammogram = < 90 days prior to date of",1,"> = 4 weeks prior to enrollment 6 weeks for nitrosoureas or mitomycin c patients must be > = 2 weeks since any prior administration of a study drug in a phase 0 or equivalent study at the discretion of the principal investigator patients must have recovered to eligibility levels from prior toxicity or adverse events patients with bone metastases or hypercalcemia on intravenous iv bisphosphonate treatment prior to study entry may continue this treatment                                                                                                                ",1
"29","lumbar csf must be obtained prior to study enrollment unless medically contraindicated if a patient undergoes",1,"or biologic therapy > = 3 weeks or > = 5 half lives whichever is shorter prior to entering the study patients must be > = 2 weeks since any prior administration of a study drug in an exploratory investigational new drug ind / phase 0 study or > = 1 week from palliative radiation therapy patients must have recovered to eligibility levels from prior toxicity or adverse events                                                                                                                          ",1
"30","patient must consent for the appropriate",1,"must have been completed > = 3 weeks > = 6 weeks for nitrosoureas or mitomycin c or 5 half lives of the agent whichever is shorter prior to enrollment on protocol and the participant must have recovered to eligibility levels from prior toxicity radiofrequency ablation rfa of localized lesions should have been performed > = 2 weeks prior to treatment                                                                                                                                   ",1
"31","the patient must have recovered from",1,"> = 3 weeks or biologic therapy or chemotherapy > = 5 half lives or 3 weeks whichever is shorter 6 weeks for nitrosoureas and mitomycin c prior to entering the study patients must be > = 2 weeks since any prior administration of a study drug in a phase 0 or equivalent study and be > = 1 week from palliative radiation therapy patients must have recovered to eligibility levels from prior toxicity or adverse events treatment with bisphosphonates is permitted                                                                                                             ",1
"32","patients with microscopic positive margins after definitive",1,"or biologic therapy > = 3 weeks or > = 5 half lives whichever is shorter prior to entering the study patients must be > = 2 weeks since any prior administration of a study drug in an exploratory investigational new drug ind / phase 0 study and > = 1 week since any palliative radiation therapy patients must have recovered to eligibility levels from prior toxicity or adverse events                                                                                                                         ",1
"33","patients with residual macroscopic disease after",1,"partial or gross total resection or biopsy must be performed > = 2 weeks prior to registration patient must have recovered adequately from the effects of surgery                                                                                                                                                                            ",1
"35","recent major",1,"within 6 weeks prior to enrollment on the high risk stratum patients with history of recent minor surgical procedures vascular catheter placement bone marrow evaluation laparoscopic surgery liver tumor biopsy will be eligible                                                                                                                                                                ",1
"37","patients who have received any cytotoxic therapy immunotherapy antitumor vaccines monoclonal antibodies or major",1,"but will not be acceptable for randomization more than 8 weeks post surgery                                                                                                                                                                                ",1
"38","have",1,"for the purpose of determining the diagnosis stage or potential resectability of newly diagnosed lung tumor at least 28 days must have elapsed since thoracic surgery excluding mediastinoscopy or other minor surgeries and patients should have recovered from all associated toxicities at the time of registration patients must not be planning to undergo a minor surgical procedure while on this study                                                                                                                     ",1
"39","patients who are not currently candidates for radical cystectomy e . g . patient refuses",1,"prostatectomy or cryosurgery for prostate cancer                                                                                                                                                                                               ",1
"40","patient must have fully recovered from the effects of prior",1,"note for patients undergoing more than 1 breast operation this is the date of the first breast surgery for breast cancer treatment                                                                                                                                                                       ",1
"41","at least 4 weeks must have elapsed since the patient underwent any major",1,"and lumbar csf cannot be obtained at this time then it should be performed at least 10 days following surgery before study enrollment false positive cytology can occur within 10 days of surgery note patients with positive csf cytology obtained prior to 10 days after surgery may have cytology repeated to determine eligibility                                                                                                                                  ",1
"43","prior",1,"with the incision completely healed and no signs of infection                                                                                                                                                                                       ",1
"44","the patient must have recovered from effects of",1,"for both the primary and stage iv disease all adverse events associated with prior surgery must have resolved to = < grade 1 prior to registration                                                                                                                                                                        ",1
"45","patients must be adequately recovered from",1,"within 4 weeks prior to entry into the study or a surgical incision that is not fully healed                                                                                                                                                                                    ",1
"46","patients must have discontinued radiation therapy prior to registering to step 2 of the study and recovered from any adverse events associated with treatment prior",1,"in the 4 weeks prior to the start of the study                                                                                                                                                                              ",1
"48","patients who are less than 4 weeks post operative op after major",1,"planned within 3 months of consent patients who have previously received surgery are eligible                                                                                                                                                                                        ",1
"49","no clinically significant bleeding i . e . gastrointestinal gi bleed intracranial bleeding within 6 months or major",1,"comorbidities preclude major surgery etc .                                                                                                                                                                                  ",1
"51","patients who have had a major",1,"at least 14 days prior to sub study registration                                                                                                                                                                                    ",1
"53","patients must not have any unresolved wounds from previous",1,"eg . major laparotomy laparoscopy thoracotomy vats video assisted thorascopic surgery there is no restriction on minor procedures eg . central venous catheter placement ureteral stent placement or exchange tumor core or fine needle aspirate fna biopsy                                                                                                                                                     ",1
"54","ibrutinib should be held at least 3 to 7 days pre and post",1,"within 2 weeks prior to randomization patients must have recovered from any effects of any major surgery                                                                                                                                                                                     ",1
"55","at least 4 weeks since major",1,"for the ihc liver resection is not allowed                                                                                                                                                                                              ",1
"56","inability to safely delay",1,"postoperative infection and other complications within 28 days prior to step 2 registration                                                                                                                                                                                  ",1
"57","no prior bariatric",1,"at the time of randomization                                                                                                                                                                                            ",1
"58","prior / concurrent therapy criteria patients must not have had a major",1,"must be > = 2 weeks from registration to step 2 and patients must be fully recovered from post surgical complications                                                                                                                                                         ",1
"59","patients must be enrolled on alte07c1 prior to enrollment on acns1422 patients must be enrolled within 36 days of definitive diagnostic",1,"within 4 weeks of first dose of study drug                                                                                                                                                                                             ",1
"60","patients who are not candidates for major abdominal",1,"within 4 weeks minor surgeries i . e . port placement cataract surgery are allowed within 2 weeks                                                                                                                                                                   ",1
"62","patients must have recovered from effects of recent",1,"or significant traumatic injury within 4 weeks of start of study drug patients who have not recovered from the side effects of any major surgery defined as requiring general anesthesia or patients that may require major surgery during the course of the study                                                                                                                                                      ",1
"63","patients must have fully recovered from any adverse effects of major",1,"at least 28 days must have elapsed since surgery and patient must have recovered from any adverse effects of surgery                                                                                                                                                                              ",1
"65","major surgical procedure as defined by the investigator within 28 days prior to the first dose of ip note local",1,"depending upon the type of surgery and risk of bleeding                                                                                                                                                                                ",1
