"","Blank 1","Frequency","Blank 2","Frequency"
"1","able",16,"oral medications                                                            ",6
"2","patients must be able",9,"and retain oral medication and must not have any clinically significant gastrointestinal abnormalities that may alter absorption such as malabsorption syndrome or major resection of the stomach or bowels                                 ",5
"11","ability",9,"and retain oral medication                                                          ",4
"10","patients must have the ability",3,"and retain orally administered medication and does not have any clinically significant gastrointestinal abnormalities that may alter absorption such as malabsorption syndrome or major resection of the stomach or bowels                                ",4
"7","inability",2,"pills                                                          ",3
"12","patients unable",1,"and absorb the medication                                                          ",2
"15","subjects with any condition that may impair the ability",1,"the drug                                                         ",1
"25","patient is unable",1,"whole capsule                                                         ",1
"26","clinical / laboratory criteria patients must be able",1,"and retain oral medication note for patients unable to swallow tablets an oral suspension preparation is acceptable                                             ",1
"29","subject is able",1,"oral medication                                                        ",1
"32","patients that unable",1,"liquids                                                             ",1
"42","patients with a bowel obstruction or any other gastrointestinal condition that might affect absorption of the oral drug should be excluded this would include patients with inability",1,"orally administered medication and patients with gastrointestinal disorders likely to interfere with absorption of the study medication                                            ",1
"3","",NA,"or absorb oral medications / investigational product including any lesion whether induced by tumor radiation or other conditions which makes it difficult to swallow capsules or pills prior surgical procedures affecting absorption including but not limited to major resection of stomach or small bowel active peptic mcLcer disease malabsorption syndrome    ",1
"4","",NA,"medication by oral route                                                       ",1
"5","",NA,"medication                                                             ",1
"6","",NA,"and retain oral medications and without gastrointestinal illnesses that would preclude absorption of cediranib or olaparib                                           ",1
"8","",NA,"and retain oral medications and without gastrointestinal gi illnesses that would preclude absorption of cediranib or olaparib                                             ",1
"9","",NA,"oral dosage forms                                                       ",1
"13","",NA,"or keep down oral medication                                                       ",1
"14","",NA,"oral medications and must not have a gastro intestinal disorder with diarrhea as a major symptom or that may alter absorption such as malabsorption syndromes or gastric resection                           ",1
"16","",NA,"and retain oral medication and does not have uncontrolled emesis or gastrointestinal disorders likely to interfere with absorption of the study medication                                      ",1
"17","",NA,"oral medications and not have gastrointestinal illnesses that would preclude absorption of cediranib or olaparib                                            ",1
"18","",NA,"oral medications are ineligible                                                        ",1
"19","",NA,"and retain orally administered medication                                                      ",1
"20","",NA,"and retain orally administered medication and does not have any clinically significant gastrointestinal abnormalities that may alter absorption such as malabsorption syndrome bowel obstruction or major resection of the stomach or bowel                              ",1
"21","",NA,"and retain orally administered medication malabsorption syndrome or those with a major resection of the stomach or bowels                  ",1
"22","",NA,"and retain orally administered medication and does not have any clinically significant gastro intestinal abnormalities e . g . malabsorption syndrome or major resection of the stomach or bowel                                 ",1
"23","",NA,"orally administered medication and does not have any clinically significant gastrointestinal abnormalities that may alter absorption such as malabsorption syndrome or major resection of the stomach or small bowel                                 ",1
