"","Blank 1","Frequency","Blank 2","Frequency"
"3","",22,"= < 1 . 5                                                                                                                                                              ",5
"2","prothrombin time pt /",12,"and activated partial thromboplastin time aptt = < 1 . 5 x mcLn this applies only to patients who do not receive therapeutic anticoagulation patients receiving therapeutic anticoagulation such as low molecular weight heparin or warfarin should be on a stable dose                                                                                                                         ",3
"10","the subject has prothrombin time pt /",3,"or partial thromboplastin time ptt test > = 1 . 3 x the laboratory mcLn within 7 days before the first dose of study treatment                                                                                                                                   ",2
"33","hematologic parameters for patients undergoing biopsy only patients should have",3,"established within the therapeutic range                                                                                                                                                     ",2
"4","prothrombin time pt such that",2,"and partial thromboplastin time ptt = < 1 . 5 x institutional mcLn                                                                                                                                                  ",2
"11","patients receiving anticoagulation treatment are allowed to participate with",2,"and partial thromboplastin time ptt = < 1 . 3 x institutional mcLn subjects receiving anticoagulation treatment may be allowed to participate with inr established within the therapeutic range prior to randomization                                                                                                                               ",2
"26","patients must not have any serious or unstable pre existing medical conditions aside from malignancy exceptions specified above including but not limited to ongoing or active infection requiring parenteral antibiotics on day 1 history of bleeding diathesis or need for concurrent anticoagulation",2,"= < 2                                                                                                                           ",2
"1","patients must have the following tests within 28 days prior to registration to obtain baseline measurements prothrombin time pt / partial thromboplastin time ptt /",1,"= < 1 . 4 and partial thromboplastin time ptt = < 40 seconds unless due to lupus anticoagulant in patients not meeting these parameters clearance by hematology will be required prior to undergoing a biopsy                                                                                                                     ",2
"7","patients on warfarin will be excluded from the trial if they cannot be switched to an acceptable alternative medication i . e . low molecular weight heparin lmwh prolongation of prothrombin time pt and",1,"/ fibrinogen all patients neurologic assessment                                                                                                                                    ",1
"9","the participant has prothrombin time pt /",1,"and activated partial thromboplastin time aptt must be < 1 . 5 x the upper limit of the normal range uln except if in the opinion of the investigator the aptt is elevated because of a positive lupus anticoagulant                                                                                                                        ",1
"19","prothrombin time pt partial thromboplastin time ptt and",1,"= < 1 . 4 unless receiving therapeutic doses of coumadin                                                                                                                                                        ",1
