"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency","Blank 4","Frequency"
"3","ast",100,"glutamic oxaloacetic",139,"sgot / alanine aminotransferase alt serum glutamate pyruvate transaminase sgpt =",85,"2 . 5 x institutional upper limit of normal                                       ",29
"1","",48,"glutamate pyruvate",30,"sgpt alanine aminotransferase alt =",22,"3 x institutional upper limit of normal                                    ",10
"67","alanine aminotransferase alt",6,"glutamic pyruvic",5,"sgot =",9,"3 . 0 x institutional upper limit of normal                                       ",6
"8","within 2 weeks prior to screening step registration and within 4 weeks prior to treatment step registration ast",1,"aspartate",1,"sgpt =",7,"135 u / l for the purpose of this study the mcLn for sgpt is 45 u / l                                ",6
"14","if no known liver metastases ast /",1,"",1,"sgot ast ast or serum glutamate pyruvate transaminase sgpt alanine aminotransferase alt",6,"2 . 5 x mcLn                                                     ",6
"19","alanine aminotransferase alt or",1,"",NA,"sgot / alanine aminotransferase alt serum glutamic pyruvic transaminase sgpt =",5,"110 u / l for the purpose of this study the mcLn for sgpt is 45 u / l                                    ",5
"20","within 28 days prior to administration of study treatment ast",1,"",NA,"sgot / alanine aminotransferase alt serum glutamate pyruvate transaminase sgpt",5,"3 x mcLn                                                    ",4
"21","within 28 days prior to administration of therapy ast",1,"",NA,"sgot and alanine aminotransferase alt serum glutamate pyruvate transaminase sgpt =",5,"2 . 5 x upper limit of normal uln for age                                     ",3
"28","ast /",1,"",NA,"sgot ast ast =",5,"3 . 0 x institutional mcLn                                          ",3
"29","obtained within 30 days of registration ast",1,"",NA,"sgot ast ast and serum glutamate pyruvate transaminase sgpt alanine aminotransferase alt =",4,"2 . 5 x institutional mcLn                                          ",3
"32","step i",1,"",NA,"sgot ast ast or serum glutamate pyruvate transaminase sgpt alanine aminotransferase alt =",2,"3 x mcLn ast and / or alt = < 5 x mcLn for patients with liver involvement                              ",2
"46","tumor biopsy sequencing ast",1,"",NA,"sgpt alanine aminotransferase alt or serum glutamic oxaloacetic transaminase sgot ast ast =",1,"3 . 0 x local institutional mcLn                                               ",2
"78","aspartate transaminase",1,"",NA,"sgot",1,"2 . 5 x institutional upper limit of normal uln                                      ",2
"87","within 2 weeks prior to initiation of study treatment ast",1,"",NA,"sgot and alanine aminotransferase alt serum glutamic pyruvic transaminase sgpt",1,"3 x institutional upper limit of normal = < 5 x upper limit of normal uln for patients with liver metastases                           ",2
