"","Blank 1","Frequency","Blank 2","Frequency"
"40","patients who are receiving cyclosporine tacrolimus or other agents to prevent graft versus host disease post bone marrow",7,"                                                                                                       ",11
"1","stem cell",4,"are not eligible for this trial                                                                                  ",7
"2","prior liver",2,"sct patients are eligible 6 weeks after date of autologous stem cell infusion following myeloablative therapy timed from first day of protocol therapy patients are not eligible post allogeneic stem cell transplant patients who have received an autologous stem cell infusion to support non myeloablative therapy such as 131 iodine i mibg are eligible at any time as long as they meet the other criteria for eligibility                                     ",1
"3","step ii patients must not have received any non protocol therapy outside of the assigned induction therapy including stem cell",1,"sct / mibg immunotherapy radiotherapy and retinoids but may not have received second line chemotherapy for resistant / refractory relapsed disease or progressive disease                                                                      ",1
"4","patients must have received frontline therapy including surgery chemotherapy autologous stem cell",1,"patients all patients undergoing planned allogeneic transplant both malignant and non malignant diagnoses                                                                                             ",1
"5","",1,"allogeneic or autologous stem cell rescue during the 3 month study period                                                  ",1
"6","oncology patients patients with an oncology diagnosis that are or will be on a chemotherapy regimen that will last for an additional > = 3 months or are on or will be on a chemotherapy regimen for < 3 months and then proceed to",1,"or have primary refractory disease no upper limit for number of prior therapies if status post allogeneic stem cell transplant no active graft versus host disease                                                               ",1
"7","patients must have relapsed after first line chemotherapy may have relapsed after autologous or allogeneic stem cell",1,"or have primary refractory disease no upper limit for number of prior therapies patient must not have received a prior allogeneic stem cell transplant                                                            ",1
"8","randomized phase ii arms k and l patients must have relapsed after first line chemotherapy may have relapsed after autologous stem cell",1,"or autologous transplant however patients with prior allogeneic bone marrow transplant will be eligible only if both of the following conditions are met the transplant must have been performed > = 90 days prior to registration the patient must not have > = grade 2 acute graft versus host disease gvhd or either moderate or severe limited chronic gvhd within 14 days prior to registration                                   ",1
"9","patients may have received prior allogeneic",1,"at time of registration is not on immunosuppressive therapy to treat / prevent graft versus host disease has no evidence of active graft versus host disease and no evidence of active infection                                                           ",1
"10","allogeneic stem cell transplantation is allowed provided the patient is > = 1 year from",1,"for non aml condition ex . mds mpn lymphoid malignancy aplastic anemia requiring ongoing use of immunosuppressants                                                                               ",1
"11","active graft versus host disease gvhd following allogeneic stem cell",1,"or stem cell infusion                                                                                ",1
"12","stem cell infusion without tbi no evidence of active graft vs host disease and at least 84 days must have elapsed after",1,"or rescue patient has not had a prior stem cell transplant or rescue                                                                                           ",1
"14","prior autologous and / or allogeneic",1,"is permitted although transplant must have occurred greater than 90 days prior to registration                                                                                      ",1
"15","patients must not be candidates for allogeneic hematopoietic stem cell",1,"note subjects up to age 70 years who are considered fit for allogeneic hematopoietic stem cell transplant should be considered for enrollment on e1910 in order to avoid competing with that study if a patient is considered unfit for intensive chemotherapy at the time of initial diagnosis but subsequently achieves a complete remission cr then it will be left to the treating physicianï s discretion to consider hematopoietic stem cell transplant hsct                        ",1
"16","patient is not a candidate for stem cell",1,"due to advanced age or co morbidities or the enrollee does not have donor available or the enrollee declines stem cell transplant due to personal belief or stem cell transplant is not standard of care based on the risk category of disease                                                        ",1
"17","patients with history of organ",1,"hsct for any disease with any graft and any conditioning regimen with at least one manifestation secondary to fibrosis including sclerodermatous skin changes dry mouth dry eye esophageal strictures or vaginal gvhd                                                              ",1
"18","patients with chronic gvhd diagnosed within 3 years after hematopoietic stem cell",1,"prior to enrollment                                                                                         ",1
"19","patient must be > = 12 weeks since autologous bone marrow / stem cell",1,"prior to enrollment > = 5 years since allogeneic bone marrow transplant prior to enrollment with no evidence of active graft versus vs . host disease                                                             ",1
"20","inclusion criteria for stratum c patient must be > = 12 weeks since autologous bone marrow / stem cell",1,"within previous 3 months prior to initiation of study therapy                                                                                              ",1
"22","current candidacy for a potentially curative allogeneic stem cell",1,"unless declined                                                                                               ",1
"23","chl cohort only history of allogeneic",1,"center                                                                                       ",1
"24","patient must be deemed eligible to proceed with high dose chemotherapy and autologous stem cell transplantation by local",1,"if indicated for histology i . e diffuse large b cell lymphoma or autologous stem cell transplant is not feasible                                                                  ",1
"25","alk alcl patients must have disease that has relapsed and or is refractory to prior therapy which must have included a multiagent chemotherapy regimen including an anthracycline if not contraindicated and prior brentuximab prior crizotinib or other alk inhibitor therapy while recommended is not mandatory patients must have relapsed following or be ineligible for or refuse autologous stem cell",1,"sct no evidence of active graft vs . host disease for at least 4 weeks for allogeneic sct patients > = 3 months must have elapsed since transplant must have received no more than 1 prior autologous or allogeneic stem cell transplant . patients must be off all systemic immunosuppressive therapy for at least 2 weeks excluding hydrocortisone for physiologic cortisol replacement                                          ",1
