"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency"
"1","",219,"",186,"100 000 / mcL                                                        ",141
"98","for patients with solid tumors without known bone marrow involvement peripheral absolute neutrophil count anc > = 1000 / mcL",7,"count",66,"100 000 / mcL transfusion independent defined as not receiving Platelets transfusions for at least 7 days prior to enrollment                                       ",13
"91","for patients with solid tumors without known bone marrow involvement",2,"count must be",2,"75 000 / mcL                                                        ",12
"225","obtained within 28 days prior to registration",2,"",NA,"50 000 / mcL                                                        ",10
"226","within 14 days prior to registration",2,"",NA,"100 000 / mcL within 28 days prior to registration                                                  ",3
"64","within 2 weeks prior to initiation of study treatment",1,"",NA,"150 000 / mcL                                                        ",2
"107","for patients with solid tumors without known bone marrow involvement peripheral absolute neutrophil count anc > = 1000 / mcL within 7 days prior to enrollment",1,"",NA,"100 000 / mcL not requiring Platelets transfusions                                                    ",2
"108","general inclusion criteria for subprotocols for patients with solid tumors without known bone marrow involvement peripheral absolute neutrophil count anc > = 1000 / mcL",1,"",NA,"100 000 / mcL transfusion independent                                                     ",2
"119","inclusion criteria for stratum c",1,"",NA,"75 000 cells / mcL unsupported defined as no Platelets transfusion within 7 days                                              ",2
"128","tumor biopsy sequencing",1,"",NA,"100 000 / mcL mcL                                                    ",2
"129","treatment",1,"",NA,"75 000 / mcL within 28 days prior to registration                                     ",2
"148","peripheral",1,"",NA,"75000 / mcL                                                         ",2
"152","step i untransfused",1,"",NA,"100 000 / mcL without transfusion                                                      ",1
"162","patients on part c with acute lymphoblastic leukemia",1,"",NA,"50 000 / mcL 50000 / mcL                                                     ",1
"166","within 6 weeks prior to randomization",1,"",NA,"50 000 / mcL or recovery to the baseline count                                                  ",1
"168","re registration",1,"",NA,"75 000 / mcL unless due to marrow involvement by lymphoma in which case a Platelets count of > = 30 000 / mcL will be used                                 ",1
"169","within 14 days of registration",1,"",NA,"100 000 / mcL without transfusion within 2 weeks prior to cycle 1 day 1                                             ",1
"176","clinical / laboratory criteria",1,"",NA,"75 000 / mcL > = 50 000 for patients with hematologic malignancies                                               ",1
"199","within 60 days prior to registration on study",1,"",NA,"50 000 / mcL transfusion independent no Platelets transfusions within 1 week                                               ",1
"217","registration 2 prior to consolidation chemotherapy",1,"",NA,"100 000 / mcL transfusion independent no Platelets transfusion one week prior to enrollment                                              ",1
"218","obtained within 30 days of registration",1,"",NA,"75 000 and transfusion independent                                                      ",1
"220","obtained = < 7 days prior to registration",1,"",NA,"75 000 / mcL transfusion independent defined as not receiving Platelets transfusions for at least 7 days prior to enrollment                                       ",1
"224","registration step 3 maintenance patients must have adequate marrow function as evidenced by",1,"",NA,"75 000 / mcL transfusion independent defined as not receiving Platelets transfusions for at least 7 days prior to enrollment hemoglobin > = 8 . 0 g / dl at baseline may receive packed red blood cell prbc transfusions",1
"230","within 28 days prior to registration",1,"",NA,"100 000 / mcL transfusion independent defined as not receiving Platelets transfusions within a 7 day period prior to enrollment for patients with solid tumors without bone marrow involvement                              ",1
"232","within 28 days prior to administration of study treatment",1,"",NA,"100 000 / mcL transfusion independent defined as not receiving Platelets transfusions for at least 7 days prior to enrollment hemoglobin > = 8 . 0 g / dl at baseline may receive red blood cell rbc transfusions ",1
"233","within less than or equal to 14 days prior to registration",1,"",NA,"75 000 / mcL transfusion independent                                                     ",1
"234","within 28 days prior to administration of therapy",1,"",NA,"100 000 / mcL note no transfusions are permitted 7 days prior to laboratory studies to determine eligibility                                         ",1
"2","",NA,"",NA,"100 000 / mcL obtained within 4 weeks prior to randomization                                                ",1
"3","",NA,"",NA,"100 000 / mcL untransfused                                                       ",1
